bucket,total,--,AD,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BJ,BM,BN,BO,BR,BW,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GN,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KG,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,ME,MK,MM,MN,MO,MQ,MU,MW,MX,MY,MZ,NA,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PR,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SN,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2022-08-11,1405,10,0,1,0,0,0,19,3,9,0,0,0,3,6,0,0,0,0,0,1,16,1,0,0,41,8,0,0,0,117,5,0,0,0,0,1,136,9,1,1,1,0,2,18,1,2,48,74,0,0,0,6,0,58,0,0,0,5,1,1,15,0,0,62,0,0,10,1,0,3,24,0,0,0,0,0,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0,7,5,0,0,1,0,55,3,0,7,0,0,2,0,0,7,0,5,1,0,2,1,0,0,4,1,16,1,0,0,7,29,0,0,0,1,47,2,7,26,0,3,0,425,1,1,0,11,0,0,0
2022-08-12,1329,16,0,5,0,0,0,15,3,14,0,0,0,1,6,0,0,0,0,0,0,19,0,0,0,48,7,0,2,1,90,6,0,0,0,0,0,146,0,1,2,0,0,4,17,0,1,40,59,0,0,0,5,1,32,0,0,1,5,15,2,17,0,2,55,0,0,13,1,1,0,24,1,0,0,0,0,0,7,0,0,0,2,0,0,1,0,0,0,0,0,0,6,1,1,0,0,0,63,2,1,3,0,1,0,0,1,6,1,3,0,1,4,0,0,0,7,1,15,2,0,1,8,38,2,0,1,0,50,0,10,38,0,1,0,361,1,0,0,8,3,0,0
2022-08-13,1292,18,0,2,0,0,0,21,2,27,1,0,0,1,5,1,0,0,0,0,1,25,0,1,0,32,5,0,2,1,73,3,0,0,0,0,0,126,1,0,1,1,0,4,15,0,4,43,47,0,0,0,2,0,31,0,0,2,5,21,2,13,0,4,53,0,0,13,1,0,0,20,0,0,2,0,0,0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,6,5,0,0,0,0,65,2,0,1,0,0,1,0,0,2,3,5,0,0,0,0,0,0,8,1,20,1,0,0,6,27,1,1,0,0,45,1,8,38,0,4,0,389,2,1,0,8,1,0,1
2022-08-14,1251,9,0,0,0,0,0,11,2,33,0,0,0,0,5,3,0,0,1,0,2,16,0,0,1,54,7,1,1,1,114,0,1,0,0,0,2,141,0,0,0,3,0,4,15,0,1,56,49,1,0,0,1,0,39,1,0,2,8,2,2,14,0,0,42,0,0,11,2,0,0,17,0,0,0,0,0,0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,6,4,0,0,1,0,64,2,0,1,1,0,1,1,0,5,0,3,0,0,1,0,1,0,5,1,12,0,0,0,8,28,2,0,0,1,45,1,4,41,0,1,0,313,2,0,0,11,3,0,0
2022-08-15,1499,16,0,0,0,0,0,11,5,31,0,0,0,0,8,0,0,0,0,0,0,26,0,2,0,69,8,0,2,0,86,2,0,0,0,0,1,134,2,1,0,1,0,1,21,0,0,82,64,0,0,0,0,0,36,0,0,2,10,22,1,31,0,2,47,0,0,16,1,0,0,19,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,4,1,0,1,1,1,79,3,0,9,1,0,0,0,0,3,1,9,0,0,5,0,0,0,7,1,19,1,0,0,8,38,1,0,0,1,45,0,8,29,0,3,0,442,1,0,0,6,4,0,0
2022-08-16,1370,14,0,1,0,0,0,14,3,32,0,0,0,0,6,0,0,1,0,0,2,34,0,3,0,54,6,0,4,1,97,3,0,0,0,0,0,153,4,1,1,1,1,1,17,0,6,50,48,0,0,0,2,0,26,0,1,1,8,2,1,13,0,1,45,0,0,18,2,0,0,22,0,0,2,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,12,3,0,0,2,0,60,3,1,1,2,0,1,0,0,5,3,7,0,0,3,1,0,0,6,1,17,1,0,0,10,31,1,1,0,1,47,1,6,24,0,4,1,395,0,0,2,8,1,0,0
2022-08-17,1562,12,0,2,0,0,0,12,2,9,0,0,0,0,6,0,0,0,0,0,0,10,0,1,0,69,8,0,0,0,121,5,0,0,0,0,3,175,3,1,1,1,0,0,14,0,1,63,52,0,0,1,1,1,36,0,0,0,15,20,1,28,0,2,44,1,0,29,3,0,1,13,0,0,1,0,0,0,4,1,0,0,1,0,2,1,0,1,1,0,0,0,5,1,0,0,1,0,71,3,0,2,1,0,1,0,0,4,3,3,0,2,7,0,0,0,9,0,17,0,0,0,6,46,0,0,0,0,51,1,9,20,0,2,0,506,0,0,0,11,1,0,0
2022-08-18,1466,10,0,2,0,0,0,18,3,14,0,0,0,0,6,1,0,0,0,0,0,15,1,1,0,51,9,0,2,0,88,7,0,0,0,1,1,179,6,1,1,0,0,2,20,0,0,48,67,0,0,0,2,0,43,0,0,3,8,12,1,18,0,2,63,0,1,27,2,0,0,21,0,0,1,0,0,1,3,2,0,0,1,0,0,1,0,0,0,0,0,0,10,4,0,0,2,0,75,4,0,1,0,0,3,0,0,7,2,2,0,0,3,1,0,0,7,1,22,0,0,0,13,32,0,3,0,1,50,0,8,41,0,5,0,390,0,0,0,8,5,0,0
2022-08-19,1404,11,0,7,0,0,0,9,2,27,0,0,0,0,4,1,0,0,0,0,1,21,0,3,0,48,6,0,4,1,77,6,0,0,0,0,0,157,2,1,1,1,0,1,17,0,0,49,48,0,0,0,2,1,35,0,0,1,5,22,3,12,0,2,63,0,0,13,0,0,1,30,0,0,0,0,0,5,6,1,0,0,3,1,0,0,0,0,0,0,0,0,9,6,0,0,0,0,74,2,0,4,1,0,1,0,0,6,2,4,0,0,3,1,0,0,5,0,16,0,0,0,11,35,1,1,0,0,43,1,14,27,0,2,0,412,0,0,1,8,3,0,0
2022-08-20,1258,10,0,0,0,0,0,14,1,12,0,0,1,1,7,0,0,0,0,0,1,16,0,0,0,51,5,0,2,0,94,6,0,0,0,0,1,136,2,0,0,1,0,1,17,1,0,52,51,0,1,0,2,0,59,0,0,2,9,7,1,10,0,2,49,0,0,20,0,0,0,17,0,0,0,0,1,1,3,2,0,0,1,2,0,0,0,1,1,0,0,0,3,1,0,0,0,0,72,1,0,2,0,1,2,0,0,6,2,6,1,1,1,0,0,0,2,0,21,0,0,0,8,20,1,0,0,1,38,0,11,31,0,4,0,338,1,0,2,7,0,0,0
2022-08-21,1336,13,0,1,0,0,0,12,2,14,0,0,0,5,5,3,0,0,1,0,0,16,0,1,0,59,6,0,3,0,62,7,0,0,0,1,2,148,5,0,0,1,0,1,16,0,2,52,57,0,1,0,1,0,55,0,0,2,8,5,0,17,0,2,47,0,0,6,0,1,1,22,0,0,2,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,70,2,0,2,0,0,0,0,0,5,1,5,0,1,3,0,0,0,10,1,15,0,0,0,12,37,0,0,0,0,35,1,7,41,0,2,0,398,0,0,1,7,1,0,1
2022-08-22,1648,14,0,2,0,1,0,19,2,14,1,0,0,1,7,1,0,0,0,0,0,13,0,0,0,74,5,0,1,0,82,8,1,0,0,0,0,195,6,1,0,1,0,2,13,0,2,72,72,0,0,0,3,3,16,0,0,2,7,21,2,13,0,1,49,0,0,36,0,0,3,16,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,11,7,0,1,0,0,66,7,0,11,0,0,2,0,0,11,2,3,0,0,8,0,0,0,7,0,20,3,0,0,14,26,0,0,0,0,46,0,7,45,0,2,0,551,0,0,1,8,2,0,0
2022-08-23,1586,18,0,2,0,0,0,16,5,17,0,0,0,1,3,1,0,0,0,0,1,23,0,1,0,61,5,0,3,0,132,8,0,0,1,0,0,194,2,1,0,2,1,1,21,1,2,57,67,0,0,0,3,0,36,0,0,0,7,16,3,13,0,0,60,0,2,17,2,0,4,14,0,0,0,1,0,0,1,0,0,0,3,4,0,1,1,0,1,0,0,0,11,7,0,1,0,0,48,2,0,7,0,0,2,0,1,11,0,6,0,0,4,0,0,0,6,1,19,2,0,0,11,29,0,5,0,0,39,0,10,17,1,1,0,497,1,1,0,8,2,0,0
2022-08-24,1695,10,0,1,0,1,0,12,6,25,2,2,0,1,4,3,0,0,0,0,0,16,0,0,0,76,7,0,2,0,96,6,0,0,0,0,0,176,6,1,1,0,0,1,23,1,1,80,82,0,0,0,2,0,43,0,1,3,9,19,5,28,0,1,58,0,1,36,1,0,1,18,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,7,3,0,0,1,0,58,3,0,3,0,0,3,0,0,6,1,5,0,0,2,0,0,0,3,1,19,2,1,0,20,34,0,2,0,0,33,1,7,31,0,1,0,560,2,1,1,8,2,0,0
2022-08-25,1511,10,0,0,0,1,0,17,3,25,1,0,0,3,6,1,1,0,0,0,0,26,0,2,0,64,4,0,2,0,66,5,0,0,0,0,0,161,4,1,0,1,0,0,12,0,2,56,81,2,0,0,1,1,92,1,0,2,7,26,0,17,0,4,58,0,0,16,0,0,0,24,0,0,2,0,0,0,4,0,0,0,1,3,0,0,0,1,1,0,0,1,9,4,0,0,1,1,57,6,0,3,0,0,1,0,0,4,2,4,0,1,1,3,0,0,7,0,16,1,1,0,14,46,0,0,0,0,55,0,13,22,2,2,0,406,1,0,0,6,1,2,0
2022-08-26,1514,17,0,9,0,0,0,6,3,27,2,0,0,1,5,0,0,0,0,0,0,17,1,1,0,50,8,0,4,0,118,8,0,0,2,0,0,174,2,2,1,1,0,0,12,0,1,61,54,0,0,0,2,0,45,1,1,0,7,6,0,12,0,2,49,0,0,13,0,0,0,36,1,0,2,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,1,9,4,0,0,1,0,73,3,0,3,0,0,2,0,0,7,5,8,0,0,1,0,0,0,4,0,21,2,0,1,13,47,0,1,0,2,55,0,11,30,0,3,0,424,0,0,0,10,1,0,2
2022-08-27,1545,16,0,0,0,0,1,16,2,22,1,1,0,3,9,0,0,0,0,0,1,20,0,0,0,60,10,0,3,1,95,0,1,0,0,0,1,199,1,0,1,0,0,0,20,0,1,58,60,2,0,0,3,1,100,0,2,0,5,19,1,13,0,1,64,0,1,21,0,0,1,44,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,5,4,0,0,1,0,73,4,0,1,0,0,0,0,0,9,1,4,0,0,2,0,0,0,8,0,15,1,1,0,11,23,0,0,0,0,43,1,14,42,0,5,0,380,3,0,0,5,2,1,1
2022-08-28,331,4,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,29,0,0,2,0,38,2,0,0,0,0,0,20,1,0,0,1,0,0,2,0,1,14,11,0,0,0,1,0,6,0,0,0,4,0,0,2,0,0,5,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,13,0,0,0,1,5,0,2,14,0,2,0,102,0,0,2,1,1,0,1
