bucket,total,--,AD,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CR,CU,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GN,GQ,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KM,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MG,MK,MM,MN,MO,MR,MS,MT,MU,MV,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SN,SY,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZM,ZW
2022-04-11,1625,11,0,2,0,0,0,6,7,7,0,2,0,1,8,2,0,28,4,0,80,8,3,0,116,4,0,0,4,263,2,0,0,1,0,1,17,0,0,48,60,0,0,0,0,0,1,0,93,0,1,3,7,6,1,14,0,2,0,75,0,0,29,0,0,0,0,15,0,0,2,1,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,13,0,0,0,85,2,1,1,0,1,0,4,1,6,0,0,4,0,1,0,9,0,27,4,0,0,0,18,38,1,0,0,0,56,0,11,0,32,0,3,0,344,2,0,1,0,15,1,0,0
2022-04-12,1799,11,0,1,0,0,1,11,8,9,0,2,0,0,3,2,0,29,1,0,103,8,2,0,114,2,0,0,0,262,4,0,1,0,1,0,26,0,2,61,85,0,1,0,0,0,3,0,88,0,0,0,6,1,6,17,0,3,0,96,0,1,34,0,1,1,0,9,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,0,82,4,0,3,0,0,1,12,1,8,0,0,8,0,0,0,8,0,23,6,0,0,0,25,48,0,0,1,0,72,0,13,0,25,0,2,0,404,1,0,0,0,10,3,0,0
2022-04-13,1838,9,0,6,0,0,0,7,8,16,0,3,0,0,4,1,0,21,1,0,113,7,7,0,115,10,0,0,0,279,4,0,0,1,0,0,29,0,1,53,83,0,0,0,0,1,1,0,94,0,0,2,11,3,0,18,0,2,1,78,0,0,35,0,0,4,0,7,0,0,1,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,8,13,0,0,0,87,4,0,10,1,0,0,5,0,7,0,0,6,0,0,0,11,0,21,5,1,0,0,18,30,0,0,0,0,50,0,12,0,42,0,6,0,440,1,0,0,0,16,1,0,1
2022-04-14,1645,12,0,8,0,0,0,7,6,15,0,4,0,0,9,3,0,17,0,0,99,10,6,0,101,3,0,0,1,233,8,0,0,1,0,1,29,0,3,51,71,1,0,0,0,0,2,0,122,0,0,4,5,4,0,18,0,1,1,69,0,0,25,1,0,1,0,14,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,1,2,9,0,0,0,74,1,1,9,0,0,1,5,1,8,0,0,5,0,0,1,8,0,26,9,0,0,0,13,36,1,0,1,0,61,0,11,0,39,0,2,0,332,0,0,0,0,14,1,0,0
2022-04-15,1872,7,0,16,0,0,0,17,4,12,0,1,0,1,6,2,0,22,0,0,82,8,5,0,113,8,0,0,1,207,4,0,0,0,0,0,16,0,1,54,66,1,0,0,0,0,1,0,115,0,2,4,5,5,0,15,0,0,1,87,0,1,25,1,0,1,0,5,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,14,0,0,0,331,4,0,10,0,1,2,9,0,5,0,0,7,0,0,0,6,0,18,5,0,0,0,12,29,0,0,0,0,68,1,18,0,25,0,4,0,350,1,1,0,0,14,1,0,1
2022-04-16,1486,9,0,1,0,0,0,17,6,22,0,1,0,3,4,3,0,14,4,0,69,6,0,1,122,5,0,0,0,176,3,0,0,1,0,0,18,0,3,60,54,0,0,0,0,0,3,0,83,0,2,2,3,3,2,13,0,3,0,84,0,1,39,0,0,1,0,8,0,0,1,0,0,0,2,2,0,0,1,2,0,0,0,1,1,0,0,0,0,0,2,4,0,0,2,67,3,0,2,0,0,4,5,0,7,0,0,4,1,0,0,5,0,24,4,0,0,0,8,21,0,2,0,0,51,1,8,0,26,0,2,0,362,2,0,0,0,9,1,0,0
2022-04-17,1721,7,0,2,0,0,1,14,5,11,0,0,0,0,6,6,1,15,0,0,68,7,3,0,114,3,0,0,0,186,3,0,0,1,0,0,25,0,1,53,73,0,0,0,0,0,1,0,88,0,1,4,5,4,1,12,0,1,1,84,0,0,41,2,0,0,0,15,0,0,1,0,1,0,2,2,0,0,1,1,0,1,0,2,0,0,0,0,0,0,3,11,0,0,0,294,3,0,1,0,1,2,4,0,7,0,0,5,0,0,0,8,0,25,1,0,0,0,14,31,0,0,0,0,50,1,9,0,17,0,1,0,340,1,0,0,0,15,1,0,0
2022-04-18,1589,13,0,0,0,0,0,9,9,16,1,2,0,0,7,3,0,17,1,0,83,6,7,1,108,3,0,0,0,226,3,0,0,0,0,0,30,0,9,62,75,0,0,0,0,0,1,0,79,0,2,0,3,6,1,8,0,0,0,78,0,1,57,1,0,0,0,3,0,0,2,0,1,0,3,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,0,0,85,4,1,2,0,1,0,6,1,5,0,0,6,0,1,1,5,2,26,4,0,0,0,25,24,0,0,0,0,58,1,8,0,19,1,3,1,325,0,1,0,0,16,0,0,0
2022-04-19,1663,14,1,7,0,0,0,9,8,19,0,1,0,0,7,2,0,31,0,0,115,7,2,0,116,4,0,0,0,230,2,0,0,0,0,1,18,1,1,60,63,0,1,0,0,0,2,0,78,0,1,1,7,4,2,18,0,4,0,95,0,0,67,1,0,0,1,9,0,1,2,0,1,0,2,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,4,4,0,1,0,69,1,0,0,0,0,1,7,4,7,0,0,8,0,0,0,8,1,26,4,0,0,0,13,37,1,1,0,0,55,0,8,1,21,0,1,0,338,0,0,0,0,16,2,0,1
2022-04-20,1729,10,0,3,0,0,0,7,8,12,0,3,0,0,6,2,0,25,0,0,98,5,6,0,118,4,0,0,2,265,0,0,0,1,0,0,41,0,2,52,89,0,0,0,0,0,1,0,64,0,2,1,9,2,1,15,0,3,0,91,0,0,62,2,0,0,0,11,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,7,0,0,0,61,4,0,1,0,0,2,4,1,5,0,0,5,0,0,1,7,0,30,3,0,0,0,22,42,0,0,1,1,55,0,5,0,44,0,2,0,368,3,0,1,1,16,2,0,1
2022-04-21,2008,14,0,13,0,0,0,11,5,15,0,1,0,1,9,0,1,24,3,0,87,6,5,1,113,3,0,0,0,253,8,0,0,0,0,1,29,0,3,71,87,0,0,0,0,0,4,0,74,0,0,1,9,9,5,24,0,1,0,93,0,1,76,2,0,1,0,43,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,78,5,1,4,1,0,2,2,1,5,0,0,7,0,0,0,14,1,32,8,0,0,1,26,45,0,0,0,1,38,0,13,0,45,0,5,0,533,0,0,0,0,15,0,0,0
2022-04-22,1812,7,0,10,0,0,0,11,6,20,0,1,0,2,6,2,1,16,1,0,69,5,2,0,124,3,1,0,2,228,3,0,1,0,0,0,33,0,1,65,93,1,0,0,0,0,1,0,75,0,0,0,5,6,2,17,1,1,0,81,0,1,60,1,0,1,0,21,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,76,3,0,0,0,0,0,7,1,5,0,0,5,0,0,0,9,3,22,2,0,0,0,21,39,0,0,0,1,59,0,3,0,61,0,2,1,469,1,0,0,0,14,0,0,0
2022-04-23,1821,11,0,0,0,0,1,8,5,18,0,1,0,2,6,5,0,25,2,0,81,11,5,1,99,5,1,0,2,185,3,0,0,0,0,1,25,0,1,78,90,2,0,0,1,0,0,2,70,0,0,7,6,8,2,19,0,1,0,100,0,0,56,0,0,1,0,15,0,0,0,1,1,1,3,5,1,0,0,0,0,2,0,1,0,0,1,1,0,0,4,9,0,0,0,73,3,1,1,0,1,2,4,0,6,0,0,6,0,0,0,14,2,28,3,0,1,0,27,48,0,2,0,0,52,2,13,0,41,0,3,0,474,3,0,0,0,16,2,0,1
2022-04-24,1780,8,0,1,0,0,0,5,5,8,0,1,0,0,10,0,0,21,0,0,85,9,1,0,89,1,0,0,0,256,0,1,0,0,0,1,34,1,3,69,100,0,0,0,0,0,0,0,66,0,0,3,2,11,4,21,0,1,0,95,0,0,48,1,0,0,0,16,0,0,1,0,0,2,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,15,0,0,0,62,4,0,1,0,0,0,4,0,9,0,0,3,0,0,0,7,0,22,2,0,0,0,36,35,0,1,1,0,45,0,9,0,53,1,2,0,464,1,0,0,0,13,0,0,0
2022-04-25,1872,12,0,7,0,0,0,8,5,21,1,2,0,0,7,4,2,19,1,0,94,6,4,0,90,2,0,0,0,230,2,0,0,0,0,0,31,1,2,63,71,0,0,1,0,0,0,0,67,0,2,1,4,15,3,18,0,3,0,86,0,0,79,0,0,0,0,36,1,0,0,0,0,3,2,3,0,0,0,1,0,2,0,0,0,0,0,1,1,0,3,15,0,0,0,74,5,1,5,0,0,0,5,1,10,0,0,3,1,0,0,15,0,32,4,0,0,0,19,27,0,0,0,1,64,0,10,0,45,0,2,2,490,1,0,0,0,23,0,0,0
2022-04-26,1923,8,0,2,0,0,0,11,4,15,0,1,0,0,5,3,0,31,0,0,95,9,8,0,144,1,0,0,0,259,1,0,0,0,0,1,35,0,1,69,76,0,0,0,0,0,2,0,70,0,1,1,7,11,1,22,0,2,0,83,0,0,50,2,1,0,0,31,0,0,0,0,0,0,5,3,3,0,0,2,0,2,0,1,0,0,0,0,0,0,2,13,0,1,1,70,4,1,4,0,0,0,5,0,3,0,0,9,0,0,0,11,1,24,4,0,0,0,20,26,0,0,0,0,65,0,7,0,53,1,3,0,496,1,0,0,0,18,1,0,0
2022-04-27,2019,16,0,8,0,0,0,9,6,7,0,1,0,1,5,4,0,24,2,0,107,7,3,0,95,0,0,0,0,290,5,0,0,0,0,2,40,0,0,78,99,0,0,0,0,0,4,0,75,1,0,1,5,8,5,21,0,1,0,102,1,0,57,1,0,3,0,24,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,1,0,0,1,0,0,3,13,0,0,0,62,2,0,4,0,2,1,10,2,10,0,0,13,0,0,0,9,2,22,3,0,0,0,22,35,0,0,0,0,65,0,6,0,36,0,1,0,552,2,0,0,0,13,0,0,1
2022-04-28,1900,9,0,1,0,0,0,10,7,11,0,2,0,0,5,1,0,20,1,0,91,7,4,0,115,4,0,0,1,283,7,0,0,0,0,0,34,1,3,68,90,0,0,0,0,0,0,0,91,0,0,3,3,7,3,25,0,1,0,70,0,0,65,2,0,0,0,23,0,0,1,0,0,0,1,2,0,2,0,0,0,2,1,0,1,0,0,1,1,0,3,8,0,0,0,64,3,0,11,0,0,0,9,0,10,0,0,4,0,0,0,10,1,26,2,0,0,0,24,38,2,0,0,0,52,0,6,0,41,0,3,0,478,1,0,0,0,20,4,0,0
2022-04-29,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,8,1,0,0,0,6,0,0,0,0,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,36,0,0,0,0,1,0,0,0
