bucket,total,--,AD,AE,AL,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BM,BO,BR,BT,BW,BY,BZ,CA,CG,CH,CI,CL,CM,CN,CO,CR,CU,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JM,JO,JP,KE,KG,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MG,MK,MM,MN,MO,MQ,MT,MU,MW,MX,MY,MZ,NA,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SL,SN,TH,TJ,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2022-03-11,2121,14,0,11,3,0,9,9,15,1,1,0,2,7,2,0,1,12,1,0,1,0,118,0,7,0,0,0,163,4,2,0,0,1,384,5,0,1,1,0,0,36,0,2,77,110,0,0,2,4,97,0,0,4,11,5,1,22,0,0,94,0,0,30,0,0,0,11,0,0,0,0,1,1,1,1,1,1,0,1,0,2,0,0,1,1,0,0,0,7,11,0,0,0,0,94,4,1,3,0,0,0,12,0,9,0,0,9,0,0,8,0,33,2,0,1,31,34,0,0,0,0,69,0,0,6,1,29,0,6,0,439,1,1,2,16,0,0,0
2022-03-12,2036,12,0,3,0,1,11,6,19,0,2,0,0,6,4,0,2,20,0,0,1,0,95,0,9,0,6,1,188,4,0,0,0,2,231,3,1,1,0,3,0,34,0,1,83,89,0,0,2,0,106,0,0,2,7,3,5,30,0,0,81,0,0,96,1,0,0,9,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,8,5,0,1,0,1,102,1,0,1,1,0,1,11,0,14,0,1,10,0,0,6,1,31,1,0,1,29,30,0,2,0,0,52,0,0,9,1,24,0,4,0,492,2,0,0,5,2,0,0
2022-03-13,2240,11,1,0,0,0,6,9,13,0,2,1,1,9,4,0,1,23,0,0,3,0,128,0,13,0,3,1,172,5,0,0,0,2,332,1,2,0,0,2,1,50,2,7,112,110,0,0,3,1,126,3,0,1,16,6,2,24,2,0,84,0,0,54,0,0,1,15,0,0,1,0,0,0,1,2,0,0,0,2,0,2,0,1,1,0,0,0,0,4,3,0,0,0,0,96,3,2,1,0,2,0,9,3,7,0,0,15,1,2,13,3,35,3,0,0,39,30,0,1,0,0,42,0,0,7,0,24,0,3,0,499,0,1,1,13,3,0,0
2022-03-14,2096,10,0,5,0,0,8,6,19,1,1,0,2,6,1,0,1,9,0,0,1,0,88,0,8,0,3,0,118,5,0,0,0,0,421,8,0,0,0,0,0,31,1,4,83,92,0,0,5,0,102,1,0,0,6,5,0,30,0,1,74,0,0,60,0,0,0,16,0,0,3,0,0,1,0,1,0,0,0,0,0,2,1,3,0,0,0,0,0,2,6,0,0,0,0,111,6,1,1,0,0,1,2,0,6,0,0,2,0,0,9,0,38,2,0,0,34,34,1,1,0,0,44,0,0,5,0,20,0,3,0,511,0,0,0,11,2,0,0
2022-03-15,2193,10,0,3,0,0,8,10,13,0,3,0,0,10,2,0,0,37,0,0,1,0,131,0,12,0,4,0,135,5,0,0,0,2,414,4,0,0,1,0,1,24,0,2,92,106,0,0,1,1,99,1,0,0,11,9,0,37,2,0,97,0,1,67,0,0,0,17,0,0,0,0,0,6,4,1,1,1,0,1,0,3,0,0,1,0,0,0,0,7,2,0,0,0,0,96,6,1,2,0,1,0,14,3,7,0,0,4,1,0,8,0,36,1,0,0,19,24,0,0,0,0,47,0,0,8,0,7,0,5,0,489,1,0,0,11,2,0,0
2022-03-16,2296,14,0,3,0,0,7,9,11,0,2,0,0,5,2,0,1,18,0,0,1,0,81,0,10,0,7,0,136,1,0,0,0,2,395,4,0,0,0,1,1,24,0,2,83,132,0,0,3,0,84,5,0,2,8,2,0,37,1,1,90,0,0,52,2,0,1,12,0,0,0,1,0,3,5,1,0,0,0,1,0,3,0,1,1,0,0,0,0,7,8,0,0,0,0,107,3,1,3,0,0,4,13,0,8,0,1,6,0,0,8,1,26,1,0,0,28,27,0,1,0,0,67,0,1,8,0,31,0,3,0,641,1,0,1,19,3,0,0
2022-03-17,2317,11,0,12,0,1,11,8,13,0,2,0,0,8,0,0,0,22,0,0,1,0,93,0,9,0,4,0,134,2,0,0,0,2,469,12,0,0,0,0,0,25,0,0,72,93,0,0,6,0,116,1,0,5,3,13,2,15,1,0,86,1,0,51,1,1,2,14,0,0,0,1,0,0,1,0,0,1,0,0,4,4,0,0,0,0,0,0,0,10,7,0,0,0,0,98,3,0,3,0,0,1,6,0,3,1,0,6,0,0,3,1,37,1,0,0,34,34,0,1,0,0,87,0,0,9,0,18,0,2,0,588,6,0,0,19,3,2,1
2022-03-18,2108,14,0,8,0,0,5,10,17,0,1,0,0,7,0,0,0,17,0,0,0,0,82,0,9,0,6,1,124,1,0,0,0,1,371,2,1,0,0,0,0,28,0,0,65,81,1,0,2,4,117,0,0,3,10,6,0,21,1,0,99,0,0,43,1,0,2,10,2,0,1,1,1,0,3,1,0,0,0,0,0,3,0,0,2,0,0,0,0,3,19,0,0,0,0,90,1,1,1,0,0,2,9,1,9,0,0,5,0,0,7,1,29,1,0,0,18,32,0,0,0,0,70,0,1,8,0,23,1,2,1,572,4,0,0,11,0,1,0
2022-03-19,1808,6,0,10,2,0,6,9,10,0,1,0,0,4,2,0,0,15,0,0,2,0,85,0,12,0,4,0,124,3,1,0,0,0,238,3,0,0,0,0,1,23,0,0,70,81,0,0,3,4,116,0,0,1,6,4,0,17,0,1,84,0,0,32,0,0,0,11,0,0,1,0,0,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,3,11,0,0,0,0,88,5,0,3,0,1,2,7,0,10,0,0,7,0,0,5,0,28,1,0,0,18,29,1,0,0,2,59,0,0,4,1,23,0,3,0,473,7,0,0,16,2,0,0
2022-03-20,2215,8,0,4,0,0,6,5,10,0,1,1,0,8,1,0,1,19,0,0,0,0,112,0,10,0,2,0,136,4,0,0,0,0,302,5,0,0,0,1,0,34,0,1,84,118,0,0,3,0,102,2,0,1,14,14,3,20,1,0,101,0,0,66,1,0,0,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,10,0,0,0,0,81,8,0,2,0,0,1,6,3,9,0,0,5,0,1,4,0,152,3,0,0,41,26,1,0,0,0,40,0,0,2,0,20,0,0,0,570,0,0,1,10,1,1,0
2022-03-21,103,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,1,0,8,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,2,0,0,0,0,3,0,1,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,7,0,0,0,0,1,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0
