bucket,total,--,AE,AF,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BM,BN,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JO,JP,KE,KG,KH,KM,KR,KW,KZ,LA,LB,LK,LR,LT,LU,LV,LY,MA,MD,ME,MK,MM,MN,MO,MT,MU,MW,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SN,SR,SX,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,XK,ZA,ZM,ZW
2022-11-11,1932,23,0,0,0,0,0,8,6,9,1,1,0,3,4,0,0,0,0,1,23,5,1,57,6,0,5,1,129,15,0,0,0,1,204,4,1,0,0,0,0,18,1,1,57,77,1,1,1,33,1,1,9,21,2,38,0,0,0,75,0,0,64,0,0,5,0,24,0,2,2,0,0,0,0,3,1,0,1,0,0,1,2,1,2,0,1,0,16,13,1,0,1,85,1,1,8,0,0,0,14,1,7,0,0,2,3,0,7,2,27,3,0,1,15,40,0,1,1,0,0,68,0,10,22,0,3,0,606,1,1,0,0,13,0,4,0,0
2022-11-12,1655,12,4,0,0,0,0,11,4,24,0,1,1,1,6,1,0,0,1,1,25,0,0,76,6,0,3,0,100,7,0,0,0,1,187,2,0,0,0,0,0,18,0,2,49,81,0,0,2,41,0,1,12,18,0,25,0,1,0,82,0,1,37,0,0,1,0,24,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,8,10,1,0,0,74,4,1,6,0,0,2,8,1,7,0,0,3,1,1,8,0,12,1,0,0,11,38,1,0,0,0,0,49,0,6,22,0,3,0,481,0,0,0,0,14,0,5,1,0
2022-11-13,1376,13,0,0,0,1,0,8,7,22,1,0,0,0,7,0,0,0,0,0,15,1,0,62,10,0,2,0,69,4,0,0,0,1,210,2,0,0,0,0,0,26,0,1,61,78,1,0,2,34,0,2,5,3,0,12,0,2,0,85,0,1,15,0,0,2,0,20,0,1,0,0,1,1,0,2,1,1,0,1,0,1,0,0,0,0,0,0,2,7,0,0,0,72,5,0,5,1,2,0,6,1,7,1,1,8,0,0,7,1,16,2,1,0,11,23,0,2,1,1,0,31,0,9,23,0,2,0,323,1,0,1,0,6,0,3,0,0
2022-11-14,1592,15,2,0,3,0,0,10,4,10,0,0,0,1,5,2,0,0,0,0,15,4,0,66,6,0,1,0,76,4,0,0,1,0,202,2,1,0,1,0,0,23,0,3,57,75,0,0,0,18,0,1,9,18,0,16,0,1,0,69,1,1,19,0,0,4,0,30,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,8,3,2,0,0,94,7,2,3,0,0,0,8,1,6,1,0,3,0,0,11,1,20,2,0,0,18,34,0,4,0,0,1,33,1,11,29,0,2,1,496,0,0,0,0,8,0,0,1,0
2022-11-15,1874,19,3,0,0,0,0,8,2,17,0,0,0,1,5,2,0,0,0,1,23,3,0,95,6,0,1,0,118,4,0,0,0,1,215,0,1,0,0,0,1,27,0,0,80,83,0,0,2,21,0,2,7,29,0,27,0,3,0,80,0,0,36,0,0,2,0,13,0,0,2,0,0,0,1,3,1,0,1,0,0,0,2,0,5,0,0,0,8,9,5,0,0,70,8,1,12,0,0,0,9,1,5,1,1,7,0,0,8,0,20,2,0,0,32,34,0,2,0,0,1,54,1,12,24,0,1,0,574,0,0,1,0,13,0,5,0,0
2022-11-16,1712,14,0,0,0,0,0,10,5,5,0,1,0,1,5,3,0,1,0,1,18,1,0,101,10,0,2,2,99,3,0,1,0,0,181,1,1,0,0,0,1,25,0,2,72,68,1,1,1,31,0,1,5,3,1,27,1,3,0,71,0,0,47,0,0,5,0,19,0,0,1,1,0,0,1,2,1,0,1,0,0,1,2,0,1,0,1,0,3,9,3,0,2,55,5,1,8,0,0,1,13,1,11,1,0,6,0,0,8,2,14,2,0,0,14,27,0,0,0,0,1,50,1,4,19,1,3,0,568,0,1,2,0,11,0,2,0,0
2022-11-17,1798,22,2,0,0,0,0,5,1,21,0,0,0,0,6,0,1,0,0,0,8,0,0,74,7,0,3,0,116,9,2,0,1,2,213,5,1,0,0,0,1,16,0,3,75,90,0,0,1,52,0,2,4,21,0,24,0,0,0,76,0,0,35,1,0,7,0,13,0,1,0,0,0,0,5,4,0,0,1,0,0,1,1,0,2,0,0,0,5,11,0,0,1,62,2,0,15,0,0,0,14,1,7,1,1,7,0,0,7,1,23,4,0,0,16,39,1,3,0,0,0,50,0,6,22,1,2,0,542,0,2,1,0,8,0,6,1,1
2022-11-18,1708,14,2,0,0,1,0,7,2,31,0,0,0,0,5,0,0,0,0,0,13,0,0,68,7,0,0,0,103,3,1,0,0,2,211,2,1,0,0,0,0,27,1,2,72,66,1,1,2,45,1,1,4,17,1,25,0,0,2,66,0,0,38,0,0,3,0,13,0,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,3,0,0,0,7,11,2,0,0,76,3,0,17,0,0,0,15,0,5,0,0,5,0,0,8,0,17,1,0,0,13,28,0,1,0,0,0,45,0,8,13,0,2,0,539,0,1,0,0,10,0,7,1,0
2022-11-19,1624,14,2,0,0,0,1,12,2,38,0,0,0,1,5,2,0,0,0,2,13,1,0,67,10,0,7,1,85,4,0,0,0,2,186,2,0,0,0,0,0,25,0,4,56,66,1,0,2,86,1,1,6,10,1,11,0,1,0,94,0,0,23,0,2,0,0,18,0,1,0,0,0,0,2,4,0,0,1,0,0,0,0,0,2,0,0,0,1,7,1,0,1,75,2,0,10,0,0,1,6,0,11,0,0,4,0,0,3,0,18,1,0,0,14,21,0,2,0,0,0,39,0,8,13,0,2,0,496,0,0,1,0,11,0,1,0,0
2022-11-20,1518,10,1,0,0,1,0,7,5,6,0,0,0,1,6,0,0,1,0,0,14,0,0,56,7,0,2,1,73,4,0,0,0,1,233,1,0,1,0,0,0,26,0,1,63,63,1,0,1,22,1,1,3,0,0,18,0,0,0,85,0,1,15,0,0,0,0,17,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,5,12,1,0,1,82,2,1,12,0,1,1,7,1,12,0,0,8,0,0,8,0,14,1,0,0,15,24,1,2,1,1,0,37,2,7,21,0,4,0,461,0,0,1,0,9,0,6,0,1
2022-11-21,1716,14,4,0,0,0,0,9,2,35,0,0,0,2,5,0,0,0,0,0,23,1,0,64,3,1,2,0,90,4,0,0,0,0,199,4,1,0,0,0,0,18,0,3,68,77,0,0,3,28,0,0,8,22,1,47,0,1,0,58,0,0,44,0,0,1,1,21,0,0,0,0,0,0,1,1,0,0,2,0,0,1,2,3,1,0,1,0,8,12,2,0,1,83,3,0,12,0,0,2,7,1,8,1,0,9,2,0,3,2,13,2,1,1,24,26,0,3,0,0,0,43,1,9,21,1,4,0,519,0,0,0,0,10,0,6,0,0
2022-11-22,1724,10,0,0,0,0,0,8,3,43,1,0,0,1,5,3,1,0,0,0,24,0,0,84,2,1,5,1,82,7,0,0,0,1,195,1,1,0,0,0,0,19,0,1,67,74,1,0,4,23,0,0,7,21,0,36,0,1,0,64,0,1,50,0,0,2,0,12,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,10,11,1,1,1,71,12,2,14,0,0,3,3,2,11,0,0,5,0,0,6,0,20,3,0,0,22,28,1,0,0,0,0,47,1,6,36,0,7,0,514,0,0,1,0,12,0,6,0,0
2022-11-23,411,5,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,8,0,0,57,1,0,1,0,39,1,0,0,0,0,13,0,0,1,0,0,0,1,1,0,6,9,0,1,0,2,0,1,1,0,0,4,1,0,0,7,0,0,6,1,0,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3,2,0,0,0,5,0,0,3,0,0,2,4,1,0,0,0,2,0,0,2,0,6,0,0,0,1,8,0,1,0,0,1,8,0,0,1,0,3,0,173,0,0,0,0,1,0,0,0,0
