bucket,total,--,AE,AO,AR,AT,AU,BB,BD,BE,BG,BH,BM,BR,BW,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,EG,ES,ET,FI,FR,GB,GE,GH,GN,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JE,JM,JP,KE,KG,KH,KR,KZ,LA,LK,LU,LY,MA,MC,MK,MM,MN,MO,MR,MU,MX,MY,MZ,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SZ,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2022-12-01,1477,11,1,0,8,7,43,0,0,3,0,0,1,11,0,1,56,9,2,1,93,3,1,170,4,1,1,16,0,1,44,72,0,1,0,6,0,48,1,2,20,1,15,1,60,1,0,25,2,0,2,13,2,1,0,0,0,1,0,0,0,0,1,0,0,4,11,1,58,2,0,2,0,0,8,0,3,0,0,6,0,6,3,14,4,0,16,18,1,4,0,47,8,21,2,0,468,0,1,0,4,1,1
2022-12-02,1651,11,3,0,6,2,45,0,2,5,1,0,0,25,0,0,73,6,6,1,67,3,5,210,4,1,0,13,0,4,62,67,1,0,0,3,0,28,0,3,28,0,44,2,65,0,1,52,2,1,3,11,0,2,0,2,0,0,0,0,1,1,0,0,0,8,10,2,76,2,0,6,0,1,9,2,8,0,0,5,1,12,1,18,1,2,17,32,0,0,0,27,12,20,2,0,494,1,1,0,5,4,0
2022-12-03,1597,19,8,0,8,3,7,1,2,6,1,0,0,15,0,0,66,7,5,0,49,3,8,184,2,1,2,14,1,5,69,70,0,1,0,0,1,38,4,3,30,1,18,1,63,0,0,23,1,0,2,10,2,1,1,1,1,0,0,1,1,0,0,1,1,5,8,2,66,4,0,4,0,1,9,2,11,0,0,8,0,5,0,17,1,2,11,24,0,2,0,30,6,21,2,0,571,0,0,0,13,9,1
2022-12-04,1605,18,2,1,4,5,41,0,0,5,1,0,0,24,1,0,62,11,1,0,60,2,0,205,3,0,0,27,2,2,62,62,0,0,0,3,0,23,0,5,22,2,35,5,80,0,0,41,0,0,0,9,2,0,0,0,0,0,1,1,1,0,0,0,1,7,15,1,66,4,2,4,1,0,6,0,11,0,1,6,0,6,0,24,1,0,20,22,0,2,1,34,5,31,3,0,491,0,0,2,5,2,0
2022-12-05,687,8,0,0,2,0,8,0,1,0,0,1,0,7,0,1,38,2,2,0,67,1,1,64,1,1,0,5,0,0,21,31,0,0,1,1,0,10,0,6,0,2,6,1,26,0,0,9,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,27,0,0,2,0,1,3,0,5,1,0,0,0,4,0,15,1,0,2,19,1,0,0,9,2,9,2,1,235,0,0,1,4,0,0
