bucket,total,--,AD,AE,AF,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GG,GH,GM,GN,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JM,JO,JP,KE,KG,KH,KR,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MN,MO,MU,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SN,SO,SR,SV,TG,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,VE,VN,ZA,ZM,ZW
2022-02-01,2506,7,1,4,0,8,7,10,0,1,0,1,6,1,0,1,21,0,0,0,138,18,0,9,0,137,4,0,0,1,821,0,0,0,1,0,22,1,29,56,88,0,0,0,0,0,1,0,17,0,0,0,0,9,5,2,9,1,0,89,0,0,42,0,0,1,19,1,0,0,1,7,4,1,0,0,0,0,0,0,2,0,13,6,0,0,0,133,3,0,4,0,1,1,15,0,15,0,6,0,0,0,11,1,29,0,0,0,0,70,34,0,0,0,0,0,0,0,40,0,3,0,11,0,4,0,479,2,1,18,1,1,0
2022-02-02,2672,19,1,2,0,6,10,27,0,0,0,0,6,1,0,0,17,0,0,0,186,19,1,2,0,154,3,0,0,3,877,4,0,0,0,0,26,0,2,49,93,1,0,0,0,0,2,0,20,0,0,0,0,11,5,1,13,1,1,100,0,0,33,0,0,0,10,0,0,1,0,0,1,1,0,0,1,2,0,0,1,0,7,9,0,0,1,129,1,0,1,0,0,1,7,0,11,0,6,0,0,0,10,0,27,0,0,0,1,37,29,0,0,0,0,0,0,0,98,0,7,0,13,0,9,0,537,0,1,13,4,0,0
2022-02-03,2510,14,0,8,0,2,8,6,0,2,0,0,5,3,0,0,15,0,2,0,144,12,0,3,0,147,5,0,0,3,844,2,1,0,0,1,32,0,11,61,112,0,0,0,0,0,0,0,19,0,0,0,2,4,6,2,9,2,0,91,0,0,38,2,0,1,11,0,0,1,0,0,1,0,0,0,0,2,0,0,4,1,3,7,0,1,0,127,3,0,4,0,0,2,11,0,13,0,8,0,0,0,9,0,29,0,0,1,0,66,24,0,0,0,0,1,0,0,43,0,6,0,16,0,4,1,475,1,0,14,2,0,0
2022-02-04,2366,19,0,15,0,2,7,16,0,2,0,0,9,2,0,0,11,0,0,1,122,17,0,3,0,121,6,0,0,2,624,2,0,0,0,0,37,0,0,64,100,0,0,0,0,0,1,1,13,0,1,0,2,6,4,3,9,3,0,92,0,0,36,0,0,0,13,0,1,0,0,0,3,0,0,0,0,2,0,0,3,0,8,8,0,0,0,118,0,1,6,0,1,0,15,1,13,0,12,0,1,0,8,0,150,1,0,1,1,22,24,0,2,0,0,0,0,0,62,0,2,1,16,0,7,0,488,2,1,16,2,0,1
2022-02-05,2076,6,0,9,0,11,7,7,0,1,0,0,7,2,0,0,11,0,2,3,108,12,1,2,1,157,4,0,0,4,421,3,1,0,0,1,28,0,3,71,91,1,0,0,0,0,4,2,15,0,7,0,4,13,10,3,14,1,0,101,0,0,31,2,0,0,18,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,5,2,0,0,1,123,2,1,3,0,0,2,8,0,12,0,7,1,0,0,5,2,29,0,0,0,0,25,36,0,1,0,0,0,0,0,36,1,9,1,34,0,16,0,493,1,0,14,1,0,0
2022-02-06,2365,20,0,5,0,9,7,15,0,1,0,0,6,2,1,1,19,0,1,1,113,15,0,5,0,178,6,0,1,5,550,3,0,1,5,1,28,0,4,75,97,0,1,0,0,0,1,0,12,0,2,0,3,7,4,1,19,1,0,135,0,0,33,3,0,1,16,0,1,1,1,0,0,0,1,0,0,2,0,4,0,0,10,4,0,0,1,125,5,0,6,0,0,0,4,0,14,0,4,1,0,0,8,0,38,0,0,0,0,46,42,0,0,1,0,0,0,0,34,0,10,0,48,0,11,0,507,3,1,16,2,0,0
2022-02-07,2523,21,0,1,0,4,11,8,0,2,0,0,9,1,0,0,31,0,1,1,103,15,0,5,0,174,3,0,0,3,890,6,0,0,0,0,30,0,2,65,99,0,0,0,0,0,2,2,17,0,1,0,2,3,13,2,19,4,0,82,0,0,50,0,0,0,21,0,0,0,0,0,0,2,2,0,0,2,0,1,0,1,11,2,0,0,0,129,9,0,11,0,0,1,11,1,10,0,8,1,0,0,4,1,39,1,1,0,0,36,46,0,4,0,0,0,0,1,25,1,5,0,22,0,7,0,403,0,2,14,6,0,0
2022-02-08,2327,9,0,0,1,3,10,6,0,0,0,2,7,1,0,1,26,0,0,0,138,11,0,1,0,145,3,0,0,1,763,4,0,0,0,0,28,0,2,49,101,0,0,0,0,0,3,0,33,0,0,0,1,7,7,1,13,1,1,93,0,1,36,0,0,2,17,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,5,7,0,0,0,109,2,0,2,0,0,1,16,2,11,1,8,1,0,0,9,3,27,1,0,0,0,49,41,0,2,0,1,0,0,0,34,0,5,0,24,0,5,0,410,0,0,17,2,0,0
2022-02-09,2465,10,0,1,0,6,10,13,0,2,0,0,8,0,0,0,23,0,2,0,159,16,0,1,0,144,4,1,0,1,794,3,0,0,0,1,28,0,1,54,106,1,0,0,0,0,1,0,44,1,0,0,1,13,12,2,16,0,0,108,1,0,35,0,0,0,9,0,0,0,0,2,1,0,0,1,0,2,1,0,1,0,11,5,0,0,0,119,1,0,0,0,0,0,5,0,6,0,7,0,0,0,9,1,35,1,0,0,0,40,33,0,0,0,0,0,0,0,55,1,5,0,21,0,7,0,440,0,1,20,2,0,0
2022-02-10,2396,11,0,3,0,7,9,7,0,1,0,0,6,3,0,0,27,0,2,0,125,14,0,1,0,129,6,1,0,0,733,6,0,0,3,1,35,0,0,55,107,0,0,0,0,0,0,1,62,0,1,0,0,4,3,1,18,2,0,112,0,0,47,0,0,0,18,0,0,0,1,1,4,2,0,0,0,2,1,0,0,0,15,7,0,1,0,96,0,0,3,0,1,0,10,0,14,0,5,0,0,0,11,1,24,1,1,0,1,47,48,0,1,0,0,0,1,0,44,0,2,0,30,0,7,1,439,0,1,10,2,0,0
