bucket,total,--,AD,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BJ,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LR,LT,LU,LV,LY,MA,MD,MK,MM,MN,MO,MQ,MW,MX,MY,MZ,NA,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SL,SN,SV,SX,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZM,ZW
2022-09-11,1547,14,0,1,0,1,0,8,2,11,1,0,0,0,5,1,0,0,2,17,0,3,64,8,3,0,109,2,0,0,1,2,178,4,0,1,0,0,1,30,0,2,74,66,0,0,0,2,1,32,0,1,4,4,26,4,20,0,0,63,0,0,35,0,0,2,13,1,0,0,0,0,3,1,0,0,4,0,0,0,0,0,0,0,4,6,0,0,1,0,67,4,0,2,0,0,2,3,0,6,0,6,0,0,7,1,19,1,0,0,0,21,24,0,2,0,1,0,0,0,47,0,7,21,0,3,0,449,0,1,0,0,11,4,0,0
2022-09-12,1618,14,0,1,0,0,0,14,1,34,1,1,0,3,6,1,0,0,0,16,0,1,66,6,3,0,125,5,0,1,0,1,180,4,1,0,1,0,0,18,0,1,66,67,1,0,0,4,1,23,0,1,4,2,22,1,34,0,2,55,0,0,49,0,0,0,25,1,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,11,3,0,1,2,3,58,4,1,3,0,0,0,6,0,6,0,6,0,0,12,0,25,2,0,0,0,11,20,0,1,0,0,0,0,0,38,0,9,24,0,1,1,490,1,0,0,0,8,1,0,1
2022-09-13,1504,15,0,4,0,0,0,6,3,29,0,0,0,1,3,1,0,0,0,16,0,2,67,9,3,1,72,4,0,0,0,0,191,6,1,0,1,0,1,20,0,1,63,67,2,0,0,4,2,22,0,1,3,7,23,4,9,0,3,50,0,0,22,0,0,0,11,0,1,0,0,0,0,0,0,0,4,1,1,0,0,1,0,0,6,1,0,0,1,0,74,2,0,3,0,0,0,4,0,6,0,6,0,0,8,0,33,2,0,0,0,19,27,0,1,0,0,0,0,0,59,0,5,30,0,3,1,444,1,1,0,0,8,1,0,0
2022-09-14,1584,14,0,2,0,0,0,4,2,32,0,0,0,0,7,1,0,0,2,18,0,4,75,9,1,1,141,6,0,0,0,0,190,2,1,0,0,0,0,23,0,2,71,66,0,0,0,3,1,22,0,1,3,2,3,1,27,0,2,49,0,0,53,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,8,6,0,0,0,0,62,2,0,4,0,0,2,3,0,7,0,2,1,0,9,1,28,1,0,0,0,13,27,0,1,0,0,0,0,0,46,0,7,17,0,0,0,478,0,0,0,0,8,0,0,0
2022-09-15,1419,15,0,1,0,0,0,4,8,27,1,0,0,0,9,0,0,0,0,12,0,2,59,9,2,0,70,2,0,0,0,1,175,5,1,1,1,1,0,15,0,2,54,74,0,0,0,2,0,48,0,0,3,2,18,2,15,0,0,58,0,0,25,1,0,0,20,0,1,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,7,10,0,0,0,0,67,4,0,2,0,0,0,5,1,13,0,9,0,0,9,0,23,1,0,0,0,13,32,0,2,1,0,0,0,0,49,1,13,35,0,2,0,361,0,0,0,0,7,1,0,0
2022-09-16,1682,20,0,3,0,0,0,6,3,31,1,0,0,1,5,0,0,0,0,19,0,0,64,5,5,0,102,1,0,0,0,0,152,0,1,0,1,1,0,24,0,3,75,82,0,0,0,0,0,24,0,0,1,7,23,1,26,0,5,66,0,0,52,1,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,6,0,0,0,0,67,4,0,2,0,0,3,4,2,3,0,9,2,0,3,0,19,2,0,0,0,8,39,0,1,0,0,0,0,0,59,0,7,33,0,0,0,555,0,0,1,1,6,1,0,0
2022-09-17,1329,19,0,3,0,0,0,7,5,26,1,0,0,2,5,0,1,0,1,22,1,0,43,8,2,0,110,3,1,0,0,1,151,4,0,0,2,0,2,29,0,3,52,56,0,0,0,1,0,44,0,0,2,3,4,4,14,0,1,79,0,0,29,0,2,0,17,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5,7,0,0,0,0,64,2,1,6,0,0,1,3,1,9,0,4,1,0,5,1,23,2,1,0,0,6,21,2,2,0,0,0,0,0,53,0,6,22,1,1,0,304,0,1,1,0,7,2,0,0
2022-09-18,1592,14,0,0,0,0,0,7,3,34,0,1,1,1,6,2,0,0,0,17,0,0,62,5,1,0,100,2,1,0,0,2,189,6,0,1,2,0,1,23,0,3,82,74,0,1,0,0,0,41,1,0,2,5,17,0,19,0,2,67,0,0,41,1,0,0,11,1,0,1,0,0,1,0,1,0,2,0,1,1,1,0,0,0,9,6,0,0,0,0,72,2,0,2,0,0,0,7,0,9,1,4,0,0,5,0,23,2,0,0,0,18,30,0,0,0,0,0,1,0,49,0,8,27,0,2,0,443,0,1,1,0,9,4,0,0
2022-09-19,1452,16,0,1,0,0,0,11,1,21,0,0,0,1,4,0,0,0,0,13,0,1,76,2,4,1,96,2,0,0,0,0,179,6,1,0,0,0,0,19,0,4,54,51,0,1,1,1,0,34,0,2,3,1,21,0,24,0,1,61,0,0,25,1,0,0,15,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,2,0,84,2,0,6,0,0,1,3,0,4,0,7,0,0,5,0,26,0,0,0,0,16,26,0,1,0,0,0,0,0,42,1,7,19,1,2,0,418,0,0,1,0,13,1,0,0
2022-09-20,1350,13,0,8,0,1,1,4,2,14,0,0,0,1,5,0,0,0,0,15,0,2,80,4,5,1,69,3,0,0,0,0,172,6,1,0,1,0,0,19,0,8,53,81,3,0,0,2,0,25,0,0,0,5,0,1,17,0,0,55,0,0,19,0,0,0,14,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,3,6,0,0,1,0,68,5,0,1,0,1,0,4,0,5,0,7,0,0,11,0,22,1,0,0,0,27,38,0,0,0,0,0,1,0,43,0,12,24,0,0,1,343,0,0,1,0,9,1,0,0
2022-09-21,1663,16,0,3,0,0,0,10,3,33,0,0,0,4,5,0,0,1,0,19,0,4,91,7,6,1,81,0,1,0,0,2,180,6,1,1,3,0,0,21,0,2,80,86,0,0,0,2,0,31,0,0,0,5,15,2,25,0,0,65,0,2,61,0,0,1,21,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,4,5,0,0,1,0,61,3,2,4,0,0,0,7,1,7,0,7,1,0,6,0,21,0,0,0,0,18,26,0,0,0,0,0,0,0,67,0,9,17,0,2,0,485,0,1,0,0,6,1,0,0
2022-09-22,1431,12,0,6,0,0,0,13,2,29,0,0,0,1,3,0,0,0,0,22,1,2,63,6,2,0,64,7,0,0,0,0,150,5,1,0,0,0,0,23,0,1,48,81,0,0,0,0,2,52,0,0,4,4,3,2,7,0,0,72,0,0,20,1,0,0,20,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,10,6,0,0,1,0,70,4,0,1,0,1,0,7,2,8,0,3,0,0,4,0,18,3,0,0,0,19,34,0,1,0,0,0,1,0,62,0,10,30,0,2,0,389,0,0,0,0,8,2,0,1
2022-09-23,1515,10,0,6,0,1,0,14,2,26,0,0,0,0,5,0,0,0,0,19,0,0,59,3,3,0,79,3,0,0,0,2,182,6,1,1,1,1,0,20,0,3,61,61,1,0,0,2,1,53,0,0,5,6,19,0,33,0,0,64,0,0,38,2,0,3,15,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,9,1,0,0,0,67,2,0,4,0,0,2,5,0,5,0,5,0,0,3,0,16,1,0,0,0,10,27,0,1,0,0,0,0,0,58,1,8,28,1,3,0,422,0,0,0,0,13,5,0,1
2022-09-24,1498,13,0,0,0,0,0,10,8,23,0,0,0,0,4,0,0,0,1,17,0,3,61,9,3,0,88,0,0,0,0,1,153,2,0,0,1,0,2,21,0,3,74,60,0,0,0,0,3,34,0,1,2,4,0,1,13,0,2,66,0,0,37,3,0,3,22,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,8,9,0,0,0,0,66,1,0,8,0,0,1,8,0,6,0,2,0,0,6,0,20,0,0,0,0,15,23,0,0,0,0,0,1,1,61,1,9,23,0,3,1,456,0,1,0,0,9,7,0,0
2022-09-25,1421,15,0,0,0,1,0,10,6,9,0,1,0,0,9,1,0,0,0,15,1,2,49,9,2,1,66,1,1,0,0,3,192,1,0,0,0,2,0,26,0,5,76,51,0,1,0,1,3,26,0,0,0,5,11,0,12,0,2,65,0,0,11,1,0,1,16,3,0,0,0,0,0,0,0,0,3,1,1,0,1,2,0,0,2,9,0,0,0,0,77,3,1,4,0,0,2,6,0,9,0,6,0,0,4,0,15,2,0,0,0,20,17,0,2,0,0,0,0,0,50,1,4,25,0,7,0,418,0,0,1,0,11,4,0,0
2022-09-26,1558,13,0,0,0,0,0,5,4,22,0,0,0,2,7,0,0,0,1,21,1,0,62,9,4,1,109,1,0,0,0,0,187,3,1,3,0,0,1,21,0,4,59,69,0,0,0,2,1,41,0,2,1,6,21,3,28,0,0,53,0,0,45,1,0,0,9,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,5,6,1,0,2,0,72,4,0,0,0,0,0,5,1,7,0,5,0,0,4,1,11,1,2,0,0,16,25,0,3,0,0,0,0,1,46,0,2,20,0,3,0,476,0,0,0,0,7,3,0,0
2022-09-27,322,6,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,6,0,0,34,1,0,1,33,1,0,0,0,0,13,0,0,0,0,0,0,2,0,1,10,9,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,7,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,3,12,0,0,0,0,0,0,0,4,0,1,3,0,1,0,122,0,0,0,0,2,0,0,0
