bucket,total,--,AD,AE,AM,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BS,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GN,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KG,KH,KM,KR,KW,KZ,LA,LB,LK,LT,LV,LY,MA,MD,MK,MM,MN,MO,MQ,MT,MU,MW,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,OM,PA,PE,PF,PH,PK,PL,PR,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SN,SV,SY,TG,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2022-07-01,1401,10,0,5,0,10,6,10,0,0,0,0,3,4,0,0,0,17,0,3,51,7,3,0,74,5,0,0,0,1,175,2,1,1,4,0,2,18,0,0,38,84,0,0,0,0,3,0,45,1,2,0,2,2,5,0,9,5,0,61,0,2,35,2,0,0,0,48,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,6,8,0,0,1,67,0,0,1,1,1,1,1,5,0,8,0,0,4,1,2,0,5,1,15,2,0,1,9,40,1,0,1,0,0,0,43,1,8,0,56,0,10,0,335,0,0,0,5,1,0,0
2022-07-02,1474,13,0,1,2,13,6,12,0,1,2,0,3,6,1,1,0,27,0,1,40,8,7,0,90,6,3,1,0,2,148,5,0,0,3,0,6,11,0,4,41,74,3,1,0,1,7,0,65,1,1,1,2,8,1,4,14,4,2,70,1,1,28,4,0,0,0,51,1,2,0,1,1,3,1,0,0,0,1,0,2,3,0,0,1,3,7,5,0,1,0,68,4,0,4,0,0,2,1,9,1,6,0,1,4,2,1,0,4,1,27,4,2,1,12,24,0,1,1,1,1,1,30,1,9,2,75,0,7,0,314,1,1,1,6,4,0,0
2022-07-03,1401,12,0,1,0,10,10,16,1,0,0,0,1,10,0,0,1,19,0,1,50,7,5,0,76,2,3,1,0,0,148,2,2,1,0,0,0,27,0,2,51,76,0,1,0,0,0,0,40,0,0,0,1,7,3,1,10,0,0,50,0,1,35,0,0,0,0,46,0,0,0,0,0,1,1,0,1,1,0,0,0,8,0,0,0,0,7,3,0,0,1,67,0,0,4,1,0,0,0,11,2,5,1,0,8,0,0,0,3,0,23,5,0,0,14,32,0,1,0,0,0,0,27,0,11,1,77,0,3,0,338,2,0,0,10,0,2,0
2022-07-04,1426,12,0,2,0,9,4,10,0,0,1,0,0,6,2,0,1,33,0,1,69,5,8,0,66,2,0,0,0,0,185,3,0,0,0,0,0,18,0,3,45,74,0,0,0,0,4,0,33,1,0,0,0,7,9,2,9,0,1,51,0,1,18,2,0,0,0,47,0,1,0,0,0,4,1,0,1,0,0,0,0,10,0,0,0,0,10,6,1,0,0,74,2,0,1,0,0,0,0,6,1,8,0,0,5,1,1,0,6,0,24,3,0,0,15,27,0,0,0,0,1,0,26,0,7,2,59,0,6,0,364,1,0,0,8,0,0,0
2022-07-05,1389,7,0,1,0,13,5,5,0,0,2,0,0,5,2,0,1,21,1,0,66,7,8,0,67,2,0,0,1,0,194,4,0,0,0,0,0,16,0,0,46,70,0,0,0,0,1,1,44,1,1,0,3,7,5,2,7,0,1,60,0,1,28,3,0,0,0,36,0,0,0,0,0,3,4,0,0,0,2,0,1,1,0,0,1,0,12,2,0,1,1,53,1,0,3,0,0,1,0,6,0,5,0,0,7,0,2,0,10,0,30,1,0,0,10,29,0,0,0,0,1,0,25,0,9,0,75,1,5,0,332,0,1,0,7,2,0,0
2022-07-06,1460,13,0,3,0,10,7,15,0,0,0,0,2,4,0,0,0,24,0,0,67,7,8,0,82,4,1,0,0,1,183,2,0,0,1,0,1,20,0,0,59,73,1,0,0,0,2,1,29,2,0,0,1,3,3,2,10,0,0,65,0,0,23,2,0,0,0,40,0,3,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,8,6,0,0,0,67,1,0,2,0,1,1,0,5,1,10,0,0,7,0,1,0,5,0,19,0,0,0,12,31,0,0,0,0,0,0,27,0,11,0,53,0,5,0,396,1,1,0,10,0,0,0
2022-07-07,1465,8,0,3,0,14,4,10,0,0,0,0,0,3,0,0,0,22,0,0,63,5,2,0,51,1,0,0,0,2,183,3,0,0,0,0,0,22,0,0,55,86,0,0,0,0,3,0,65,0,0,0,2,6,5,1,20,0,0,53,0,0,20,0,0,4,0,34,0,1,0,0,0,2,0,1,0,0,2,1,0,2,0,0,0,0,10,5,0,0,0,75,1,0,7,0,0,0,0,6,1,8,0,0,10,1,0,0,3,0,19,3,0,0,8,37,0,1,0,0,0,0,41,1,13,0,50,0,4,0,387,2,1,0,12,0,0,0
2022-07-08,1369,10,0,6,1,11,4,10,0,0,1,0,3,4,1,0,0,14,0,0,37,5,5,1,43,2,0,0,0,0,153,1,0,0,0,0,0,22,0,2,38,56,0,0,0,0,2,0,42,0,0,0,1,4,2,1,12,0,0,68,0,0,23,3,0,5,0,30,0,1,1,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,9,10,0,0,0,69,3,1,11,0,0,0,0,9,1,4,0,0,5,1,2,0,4,0,14,2,0,0,8,35,0,0,0,0,1,0,43,0,6,0,44,0,1,0,438,0,0,0,13,4,0,0
2022-07-09,1308,12,0,4,0,5,8,8,1,0,0,0,2,5,0,0,1,16,0,0,57,10,5,0,42,2,0,0,0,1,159,3,0,1,0,0,0,17,1,0,56,56,0,0,0,0,1,0,40,0,1,0,1,7,2,1,7,0,0,46,0,0,18,4,0,3,1,39,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,7,4,0,0,1,78,2,0,8,0,1,1,0,5,0,5,0,0,3,0,1,0,2,0,15,5,0,0,8,23,0,2,0,0,0,0,33,0,7,0,43,0,4,0,383,1,0,0,13,2,0,1
2022-07-10,1254,9,0,2,1,10,2,14,0,0,0,0,0,6,2,0,1,14,0,0,48,3,1,0,39,2,0,0,0,1,170,3,1,0,0,0,0,22,2,2,52,51,0,0,0,0,1,0,36,0,1,0,0,5,1,2,16,0,0,58,0,0,18,2,1,1,0,45,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,0,0,0,73,2,0,2,0,0,0,0,5,0,10,0,1,4,0,0,0,3,0,19,3,0,0,6,28,0,0,0,0,0,0,23,0,6,0,53,0,4,0,345,1,0,1,6,2,0,0
2022-07-11,1350,10,0,1,0,2,3,8,0,0,1,0,2,7,0,0,0,25,0,0,59,6,3,0,54,2,0,0,0,0,161,5,1,0,0,0,0,23,0,1,53,58,0,0,0,1,4,0,23,0,0,0,1,5,6,0,15,0,2,64,0,0,18,2,0,3,0,28,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,3,3,0,0,0,81,1,0,7,0,0,1,0,6,1,9,1,0,3,0,1,0,9,0,20,4,0,0,7,32,0,1,0,0,1,0,38,0,4,0,64,0,3,0,373,0,1,2,9,2,0,0
