bucket,total,--,AE,AR,AT,AU,BE,BG,BJ,BM,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JM,JP,KE,KR,KZ,LA,LT,LU,LV,MA,MK,MN,MW,MX,MY,NA,NG,NI,NL,NO,NP,NZ,OM,PE,PF,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SE,SG,SI,SK,SY,TH,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA
2022-08-16T13,125,1,0,2,0,1,0,0,0,0,1,2,0,0,4,0,0,0,0,3,1,0,0,12,0,0,0,0,0,0,4,0,8,3,0,0,0,3,0,1,0,0,0,0,2,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,11,0,1,0,11,0,1,7,1,0,23,0,0,1,1
2022-08-16T14,130,2,0,2,1,1,0,0,0,0,0,3,0,0,3,1,0,0,0,3,0,0,0,13,0,1,0,0,0,0,3,0,4,2,0,0,0,4,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,8,0,0,0,9,0,0,7,0,0,40,0,0,0,1
2022-08-16T15,177,3,0,1,0,9,1,0,0,0,0,6,0,0,5,1,0,0,0,16,0,0,0,24,2,0,0,0,0,0,4,4,7,6,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,16,0,0,5,0,0,36,0,2,0,0
2022-08-16T16,144,3,0,1,0,9,1,0,0,0,0,3,3,0,4,0,0,0,0,3,1,0,0,29,1,0,1,0,0,0,2,1,10,3,0,0,0,2,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,5,0,0,0,13,0,0,3,0,0,19,0,2,1,0
2022-08-16T17,148,6,0,1,0,1,1,0,0,0,0,2,0,0,5,1,0,0,0,3,1,0,0,31,2,0,0,0,0,0,3,0,4,11,0,0,0,2,0,0,0,1,0,1,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,1,0,0,1,0,0,1,0,2,0,1,0,0,1,0,1,0,2,5,0,0,0,7,0,2,2,0,0,22,0,0,0,0
2022-08-16T18,152,2,0,1,0,0,4,0,0,0,0,3,0,0,3,1,0,0,0,5,0,0,0,34,2,0,0,0,1,0,3,3,8,10,0,0,0,3,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,18,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,0,0,0,4,0,0,1,0,0,25,0,0,0,0
2022-08-16T19,179,3,0,1,2,0,2,0,0,0,0,1,0,0,4,1,0,0,0,35,0,0,0,35,0,0,0,0,0,0,4,0,6,14,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,5,0,0,0,4,0,3,1,0,0,21,0,0,1,0
2022-08-16T20,174,2,1,1,1,0,1,0,0,0,0,4,0,0,5,1,0,0,0,5,0,0,0,29,0,0,0,0,0,0,2,0,9,11,0,0,0,1,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15,1,0,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,3,5,1,0,0,2,1,4,0,0,0,45,0,0,1,0
2022-08-16T21,129,3,0,1,0,1,2,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,18,1,0,0,0,0,0,3,0,10,9,0,0,0,0,0,0,0,0,1,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,1,0,2,0,1,0,32,0,0,0,0
2022-08-16T22,112,2,0,3,0,1,1,0,0,0,0,4,0,0,8,1,0,0,0,2,0,0,0,12,0,0,0,0,0,1,5,0,6,6,0,0,0,1,0,0,0,1,1,0,1,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,0,0,0,0,0,0,0,1,0,28,0,0,0,0
2022-08-16T23,91,3,0,0,0,3,0,0,0,0,0,1,0,0,13,0,0,3,0,4,0,0,0,9,0,0,0,0,0,0,3,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,26,0,0,0,0
2022-08-17T00,122,2,0,1,0,0,1,0,0,0,0,1,0,0,12,2,0,0,0,19,0,0,1,8,0,0,0,0,0,0,2,0,3,1,0,0,0,3,0,0,0,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,0,47,0,0,0,0
2022-08-17T01,123,3,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,0,8,0,0,0,7,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,7,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,9,0,0,0,2,0,0,4,0,0,47,0,0,1,0
2022-08-17T02,139,4,0,1,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,2,0,10,2,0,0,0,1,0,0,0,1,0,1,7,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,1,0,3,0,0,66,0,0,0,0
2022-08-17T03,95,4,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,1,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,1,0,40,0,0,0,0
2022-08-17T04,85,2,0,3,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,0,6,2,0,0,0,3,0,0,0,0,10,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,21,0,0,2,0
2022-08-17T05,89,3,0,0,0,3,0,0,0,0,0,0,0,0,8,1,0,0,0,13,0,0,0,6,0,0,0,0,0,0,1,0,6,2,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,7,0,0,0,3,0,0,0,0,0,21,0,0,1,0
2022-08-17T06,65,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,1,0,0,7,0,0,0,0,0,0,1,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,9,0,0,0,1,0,0,0,0,0,16,0,0,0,0
