bucket,total,--,AD,AE,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KM,KR,KY,KZ,LB,LK,LT,LU,LV,MA,MC,MD,MK,MN,MS,MT,MV,MX,MY,NA,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PT,QA,RE,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SN,SY,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZW
2022-04-17T12,154,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5,4,0,0,22,0,0,0,17,0,0,0,0,2,0,0,8,13,0,0,0,0,14,0,0,1,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,2,0,1,1,0,0,0,0,4,0,0,0,0,8,0,0,0,0,8,1,2,0,1,0,0,0,16,0,0,0,0,1,0,0
2022-04-17T13,163,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,18,0,0,0,0,1,0,0,7,12,0,0,0,0,21,0,0,1,0,0,2,0,0,0,7,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,1,8,0,0,0,0,17,1,4,0,2,0,0,0,15,0,0,0,0,0,0,0
2022-04-17T14,185,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,4,0,1,0,11,0,0,0,19,0,0,0,0,0,0,0,10,12,0,0,0,0,19,0,1,2,0,0,1,0,0,0,14,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,0,0,0,1,0,2,0,0,0,0,0,3,0,11,0,0,0,1,7,0,0,0,0,13,0,3,0,2,0,0,0,25,0,0,0,0,0,0,0
2022-04-17T15,223,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,8,1,0,0,16,1,0,0,29,0,0,0,0,4,0,0,11,7,0,0,0,0,16,0,1,2,0,0,3,0,0,0,19,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,1,0,0,0,1,0,3,0,2,0,0,0,2,0,7,1,0,0,3,8,0,0,0,0,17,0,1,0,1,0,0,0,30,0,0,0,0,1,0,0
2022-04-17T16,190,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,0,0,12,1,0,0,32,0,0,0,0,2,0,0,9,7,0,0,0,0,14,0,1,0,0,0,1,0,0,0,14,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,2,0,3,0,0,0,2,0,5,0,0,0,1,7,0,0,0,0,14,0,1,0,0,0,0,0,27,0,0,0,0,3,0,0
2022-04-17T17,201,0,0,0,0,0,2,0,0,0,0,2,1,0,3,0,7,1,0,0,5,0,0,0,41,0,0,0,0,4,0,0,8,11,0,0,0,0,11,1,1,0,0,0,1,0,0,0,18,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,1,0,2,0,0,0,2,0,7,0,0,0,2,5,0,0,0,0,13,0,2,0,1,0,0,0,28,0,0,0,0,2,0,0
2022-04-17T18,193,1,0,0,0,0,2,1,0,0,0,1,0,0,4,0,7,1,0,0,7,0,0,0,42,1,0,0,0,8,0,0,10,14,0,0,0,0,7,0,1,0,0,0,1,0,1,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,1,0,3,1,0,0,1,0,1,0,0,0,2,6,0,0,0,0,7,0,1,0,2,0,0,0,25,0,0,0,0,1,0,0
2022-04-17T19,219,2,0,0,0,1,2,0,0,0,0,3,0,0,2,0,4,2,0,0,11,0,0,0,45,0,0,0,0,6,0,0,10,17,0,0,0,0,6,0,1,0,0,0,0,0,1,0,22,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,0,0,0,4,5,0,0,0,0,6,0,1,0,0,0,1,0,30,0,0,0,0,2,0,0
2022-04-17T20,206,1,0,0,0,1,1,0,0,0,0,1,1,0,2,0,7,4,0,0,7,0,0,0,32,0,0,0,0,4,0,0,10,14,0,0,0,0,5,0,0,0,1,0,0,0,1,1,19,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,7,0,0,0,0,2,0,0,0,0,0,0,0,59,0,0,0,0,1,1,0
2022-04-17T21,156,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,6,2,0,0,6,0,0,0,23,0,0,0,0,3,0,0,6,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,3,8,0,0,0,0,1,0,2,0,0,0,0,0,28,0,0,0,0,0,0,0
2022-04-17T22,135,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,8,1,0,0,8,0,0,0,23,0,0,0,0,2,0,1,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,2,6,0,0,0,0,2,0,2,0,1,0,0,0,27,0,0,0,0,0,0,0
2022-04-17T23,120,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,1,0,0,7,0,0,0,12,0,0,0,0,1,0,1,4,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
2022-04-18T00,90,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,13,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
2022-04-18T01,115,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,21,0,0,0,13,0,0,0,8,0,0,0,0,0,0,0,2,8,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
2022-04-18T02,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,3,0,7,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,10,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,0,1,0,0
2022-04-18T03,106,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,3,1,12,1,0,0,5,0,0,0,0,1,0,0,4,3,0,0,0,0,14,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,22,0,0,0,0,5,0,0
2022-04-18T04,91,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,1,0,10,1,0,0,7,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,2,0,0,0,1,0,0,0,24,0,0,0,0,1,0,0
2022-04-18T05,88,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,4,0,0,0,0,1,0,0,2,2,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,8,0,0,0,0,5,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0
2022-04-18T06,92,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,1,0,13,0,0,0,8,0,0,0,0,0,0,0,3,2,0,0,0,0,7,1,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0
