bucket,total,--,AE,AO,AR,AT,AU,BE,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DO,EC,EE,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KM,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PL,PR,PS,PT,RO,RS,RU,RW,SC,SE,SG,SI,SX,SY,TH,TR,TW,UA,US,UZ,VN,ZA
2022-10-09T16,186,1,0,0,0,0,0,1,0,0,3,3,1,13,0,2,38,0,0,0,0,4,0,13,10,0,4,0,0,0,0,1,0,15,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,9,0,0,0,0,1,2,0,0,0,0,0,7,0,0,3,9,0,0,0,10,3,1,0,25,0,1,0
2022-10-09T17,164,2,0,0,0,0,0,1,1,0,3,3,1,15,0,0,36,0,1,0,0,6,0,11,14,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,5,0,0,2,6,0,0,0,6,2,2,0,17,0,0,0
2022-10-09T18,209,3,0,0,0,0,0,4,2,0,3,2,1,16,0,0,45,0,0,0,0,5,1,3,14,0,1,2,0,0,0,0,0,12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,2,0,0,0,0,0,4,0,0,4,6,2,0,0,1,1,2,0,52,0,0,0
2022-10-09T19,231,4,0,0,3,0,0,1,1,0,13,2,0,21,0,0,39,0,0,0,0,5,1,14,13,0,0,1,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12,1,0,0,0,0,2,0,0,1,2,0,3,0,0,2,8,0,0,0,1,2,2,0,53,0,0,0
2022-10-09T20,216,1,0,0,1,0,0,0,0,0,11,2,0,19,0,0,32,0,0,0,0,1,0,3,16,0,2,0,1,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,2,0,0,1,1,1,3,0,0,2,8,0,0,0,0,1,2,0,60,0,0,0
2022-10-09T21,207,4,0,0,0,0,0,1,0,0,11,1,1,17,0,0,22,0,0,0,0,3,0,9,8,0,0,0,1,12,1,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,1,0,0,3,0,0,0,1,1,5,0,0,2,7,0,0,0,1,0,3,0,64,0,0,0
2022-10-09T22,136,5,0,0,0,0,0,0,0,0,9,0,1,4,0,0,16,0,0,0,0,3,0,2,7,0,2,0,1,0,1,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,1,0,0,1,0,0,0,0,0,4,1,0,1,7,0,0,0,1,0,2,0,52,0,0,0
2022-10-09T23,68,3,0,0,2,0,0,0,1,0,4,1,0,3,1,0,7,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,4,0,0,1,5,0,0,0,1,0,2,0,18,0,1,0
2022-10-10T00,79,2,0,0,0,0,1,0,0,0,8,1,0,2,1,0,3,0,0,0,0,2,0,1,2,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,6,0,0,0,0,0,1,0,34,0,0,0
2022-10-10T01,84,3,0,0,0,0,0,0,0,0,11,0,0,5,1,0,5,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,6,0,0,0,1,0,1,0,35,0,0,0
2022-10-10T02,96,2,0,0,0,0,2,0,1,0,10,0,0,1,1,1,2,0,0,0,0,2,0,1,2,0,1,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,3,1,40,0,0,0
2022-10-10T03,79,3,0,0,0,0,0,0,0,0,4,0,0,3,1,0,4,0,0,0,0,1,0,3,1,0,1,1,1,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,3,0,27,0,0,0
2022-10-10T04,81,4,0,0,1,0,0,0,0,0,4,0,0,0,1,0,4,0,0,0,0,1,0,5,3,0,1,1,0,0,0,5,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,6,0,0,0,0,0,3,0,30,0,1,0
2022-10-10T05,69,2,0,0,0,0,0,0,0,0,5,0,0,4,1,0,3,0,0,0,0,1,1,1,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,5,0,0,0,1,0,1,0,27,0,0,0
2022-10-10T06,113,4,0,1,0,0,0,0,0,0,2,1,0,11,0,0,8,0,0,0,0,1,0,9,2,0,3,0,0,0,0,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,7,0,0,0,3,0,3,0,44,0,0,0
2022-10-10T07,89,3,0,0,1,0,1,1,1,0,3,0,0,4,0,0,14,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7,0,0,1,7,0,1,0,4,0,2,0,26,0,1,0
2022-10-10T08,105,2,0,0,0,0,0,0,0,0,3,0,0,4,0,0,10,0,0,0,0,3,0,4,6,0,3,0,0,0,0,1,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,4,1,0,1,5,0,0,0,0,1,2,0,44,0,0,0
2022-10-10T09,145,3,0,0,1,0,0,1,0,0,1,0,0,7,0,0,18,0,0,0,0,2,0,5,9,0,0,0,0,12,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,5,0,0,0,2,0,3,0,60,0,0,0
2022-10-10T10,105,3,0,0,0,0,0,0,0,0,2,0,0,6,0,0,9,0,0,0,0,3,1,5,4,0,5,0,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,6,0,0,0,2,0,2,1,28,0,0,0
2022-10-10T11,118,4,0,0,0,0,0,0,1,0,3,0,0,5,0,0,11,0,1,0,0,5,0,3,7,0,0,0,0,0,0,12,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,5,0,0,3,11,0,0,0,2,0,8,1,24,0,0,0
2022-10-10T12,144,1,0,0,0,0,0,0,0,0,2,0,0,7,0,0,12,0,0,0,0,2,0,16,14,0,4,0,0,0,0,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,3,0,0,2,11,0,0,0,4,1,3,0,48,0,1,0
