bucket,total,--,AE,AR,AT,AU,AZ,BA,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,DE,DK,DO,EG,ES,ET,FI,FR,GB,GM,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,KW,KZ,LK,LT,LU,LV,MD,MK,MM,MT,MU,MX,MY,NL,NO,NP,NZ,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SK,SN,SY,TH,TR,TW,TZ,UA,UG,US,UY,VN
2022-04-24T17,247,3,0,0,1,1,0,1,2,0,0,1,0,15,2,1,6,0,46,0,0,1,11,0,2,13,12,0,10,0,1,0,0,0,1,0,15,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,11,0,0,0,0,0,3,0,0,2,0,4,0,8,7,0,0,0,11,2,2,0,1,0,40,0,0
2022-04-24T18,222,2,0,0,1,0,0,1,4,0,0,2,0,11,2,0,8,0,57,0,1,0,10,0,0,6,19,0,2,0,1,0,0,0,0,0,16,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,3,0,4,6,0,0,0,8,2,0,0,0,0,25,0,0
2022-04-24T19,206,3,0,0,2,0,0,1,3,0,0,1,0,15,3,0,8,0,45,0,1,0,5,0,0,7,15,0,3,0,0,0,1,1,0,0,13,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,2,0,0,1,0,1,0,4,8,0,0,0,8,1,0,0,0,0,33,0,0
2022-04-24T20,173,1,0,0,1,0,0,1,0,0,0,0,0,14,3,0,9,0,30,0,0,0,1,0,0,7,13,0,3,0,0,0,1,1,0,0,20,1,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,0,3,0,1,7,0,0,0,4,0,1,0,0,0,24,0,0
2022-04-24T21,141,2,0,1,1,0,0,1,0,0,0,1,0,9,3,0,8,0,10,0,0,0,2,0,0,7,12,0,3,0,0,1,1,0,2,0,16,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,5,0,0,7,0,0,0,1,0,1,0,1,0,28,0,2
2022-04-24T22,164,1,0,1,0,0,0,0,0,0,0,5,0,4,2,0,12,0,10,0,0,0,4,0,0,11,9,0,1,0,0,0,4,0,8,0,24,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1,0,0,0,0,3,1,0,1,0,2,0,0,8,0,0,0,1,1,2,0,0,0,36,0,0
2022-04-24T23,121,2,0,0,0,0,0,0,0,0,0,0,0,11,1,0,10,0,6,0,0,0,3,0,0,1,8,0,2,0,0,0,4,1,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,4,0,0,7,0,0,0,2,0,3,0,0,0,41,0,2
2022-04-25T00,131,1,0,0,1,3,0,0,0,0,0,1,0,18,0,2,9,0,8,0,0,0,1,0,0,3,2,0,2,0,0,0,0,0,2,0,2,7,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,1,0,5,0,0,5,0,0,0,2,0,4,0,0,1,39,0,4
2022-04-25T01,122,2,0,0,0,0,0,0,0,0,0,1,0,11,1,1,6,0,8,0,0,0,1,0,0,3,3,1,1,0,0,1,0,0,3,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,0,0,1,0,2,0,0,1,50,0,5
2022-04-25T02,136,3,0,1,1,1,0,0,0,0,0,2,0,18,0,0,8,0,6,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,2,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,5,0,0,7,0,0,0,2,1,1,0,0,0,57,1,1
