bucket,total,--,AE,AM,AO,AR,AT,AU,BA,BB,BD,BE,BG,BJ,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KH,KR,KZ,LA,LB,LR,LT,LU,LV,LY,MA,MD,MK,MM,MN,MO,MX,MY,MZ,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RU,RW,SE,SG,SK,SX,SY,TH,TN,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA,ZW
2022-09-18T12,169,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,23,1,0,0,0,0,0,2,1,17,10,0,0,0,0,0,7,0,0,1,1,11,0,2,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,3,0,0,0,0,3,0,2,8,0,0,0,5,0,2,3,0,0,0,33,0,0,0,0,0
2022-09-18T13,175,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,1,0,0,7,0,0,0,31,1,0,0,1,0,0,2,0,10,10,0,0,0,0,0,9,0,0,1,0,5,0,6,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,1,0,1,0,0,1,0,3,7,0,1,0,13,0,1,5,0,0,0,26,0,0,0,1,0
2022-09-18T14,235,3,0,0,0,2,1,2,0,0,0,2,0,0,0,3,0,0,10,2,0,0,11,1,0,0,38,1,0,0,0,0,0,6,2,8,9,0,0,0,0,0,12,0,0,0,1,0,0,0,0,12,0,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,1,0,3,0,0,0,0,3,0,3,13,0,0,0,15,0,2,3,0,0,0,35,0,1,0,0,0
2022-09-18T15,196,2,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,3,3,1,0,6,0,0,1,31,0,0,0,0,0,0,7,1,14,16,0,0,0,0,0,8,0,0,0,1,0,0,8,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,2,0,2,0,0,0,1,3,0,2,6,0,0,0,10,0,2,4,0,0,0,23,0,0,1,0,0
2022-09-18T16,216,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,1,2,0,0,5,0,0,0,52,1,0,1,0,0,0,9,3,23,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,1,0,1,0,1,5,0,2,6,0,0,0,10,0,0,3,0,0,0,37,0,0,0,0,0
2022-09-18T17,185,2,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,2,1,0,0,5,0,1,0,50,2,0,0,0,0,1,11,2,12,7,0,0,0,0,0,5,0,0,1,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,1,3,0,10,6,0,0,0,8,0,0,0,0,0,0,26,0,0,0,0,0
2022-09-18T18,203,3,0,0,0,0,0,0,1,0,0,2,1,0,0,4,0,0,4,1,0,0,7,0,0,0,46,1,0,0,0,0,1,11,1,11,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,7,0,0,0,6,0,1,1,0,0,0,37,0,0,0,0,0
2022-09-18T19,173,4,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,7,2,0,0,17,0,0,0,36,0,0,0,0,0,0,3,0,11,10,0,0,0,0,0,2,0,0,1,1,0,0,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,5,0,1,0,1,0,2,1,0,0,0,13,0,0,0,0,0
2022-09-18T20,152,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,2,0,0,6,0,0,0,19,0,0,0,0,0,0,1,1,11,9,0,0,0,0,0,2,0,0,0,1,0,0,1,0,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,5,1,3,6,0,0,0,3,0,1,2,0,0,0,35,0,0,0,0,0
2022-09-18T21,218,2,0,0,0,2,0,0,1,0,0,2,0,0,0,2,0,0,13,1,0,0,31,0,0,0,27,0,0,0,0,0,0,3,1,9,14,0,0,0,0,0,1,0,0,0,0,0,0,9,1,16,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,1,0,1,0,1,2,2,3,8,0,0,0,0,0,1,1,0,0,0,42,0,0,1,0,0
