bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BR,BW,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LT,LU,MA,MD,MK,MN,MO,MT,MX,MY,MZ,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SE,SG,SK,SN,SV,SY,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2022-05-22T10,136,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,17,1,0,0,0,0,9,0,6,6,0,0,0,5,0,0,0,0,0,0,0,0,0,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,1,0,2,0,0,1,0,0,0,0,2,7,0,0,0,0,5,0,12,0,0,22,0,0,0,1,1,0
2022-05-22T11,153,2,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,1,0,0,17,0,0,21,0,0,0,0,0,7,0,10,4,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,0,1,0,0,0,0,0,0,3,0,0,1,10,0,0,0,0,11,2,13,0,0,22,0,0,0,0,1,0
2022-05-22T12,197,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,1,1,0,9,0,0,21,0,0,1,0,0,6,0,9,7,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,0,1,0,1,0,1,0,0,0,0,3,0,0,0,13,0,0,0,0,13,2,19,0,0,51,0,0,0,0,0,0
2022-05-22T13,174,2,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,1,2,0,11,0,0,16,0,0,1,0,0,4,0,11,5,0,0,0,25,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,4,0,0,3,7,0,0,0,0,17,0,16,1,0,21,0,0,0,1,1,0
2022-05-22T14,189,2,0,0,1,3,0,0,0,0,1,2,0,0,0,0,4,1,0,0,16,0,1,20,1,0,0,0,0,4,0,8,10,0,0,0,20,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,2,0,1,1,0,0,0,3,0,0,10,8,0,0,0,0,11,0,9,1,0,21,0,0,0,2,0,0
2022-05-22T15,183,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,6,0,1,30,0,0,0,0,0,7,1,12,12,0,0,0,18,0,0,0,0,0,1,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,1,0,0,2,0,1,0,0,0,0,2,0,0,5,5,0,0,0,0,14,1,9,1,0,17,0,0,0,1,0,0
2022-05-22T16,202,1,1,0,1,2,0,0,0,0,0,0,0,3,0,0,6,0,3,0,8,0,1,34,0,0,0,0,0,7,0,12,11,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,0,3,3,0,0,0,3,0,0,5,5,0,0,0,0,7,3,9,0,0,36,0,0,0,0,0,0
2022-05-22T17,216,4,0,0,1,3,0,0,1,0,0,2,0,3,0,0,6,0,1,1,9,0,0,37,0,0,0,0,0,12,0,9,11,0,0,0,4,0,0,0,0,1,0,0,0,0,14,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,3,2,0,0,0,3,1,0,11,6,0,0,0,0,7,1,9,0,0,18,0,0,0,0,0,0
2022-05-22T18,224,2,0,0,1,3,12,0,1,0,0,3,0,4,0,0,4,1,0,0,9,0,0,47,0,0,0,0,0,8,0,8,14,0,0,0,4,0,1,1,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,2,1,0,0,0,3,0,0,5,5,0,0,0,0,4,1,7,0,0,21,0,0,0,1,0,0
2022-05-22T19,191,1,0,0,2,1,0,0,1,0,0,2,0,3,0,0,4,3,0,0,10,0,0,41,0,0,0,0,0,4,0,7,12,0,0,0,2,0,1,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,1,1,1,1,0,1,0,5,0,1,5,5,0,0,0,0,3,1,4,1,0,23,0,0,0,0,0,0
