bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GT,HK,HU,ID,IE,IL,IN,IR,IT,JM,JO,JP,KH,KR,KZ,LK,LS,LT,LU,LV,MD,MK,MX,MY,NL,NO,NP,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SE,SG,SI,SK,SY,TH,TN,TR,TW,UA,US,UY,UZ,VN,ZA,ZM,ZW
2022-06-05T00,121,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7,1,0,0,8,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,2,1,0,6,0,0,0,0,1,0,1,1,0,0,5,0,2,6,0,0,0,1,0,0,0,0,41,0,0,1,0,0,0
2022-06-05T01,107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,1,0,0,7,0,0,0,0,1,0,2,4,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,2,6,0,0,0,0,0,0,1,0,53,0,0,0,0,0,0
2022-06-05T02,97,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,8,0,0,0,8,1,0,0,4,0,0,0,0,0,0,3,3,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,2,0,2,7,0,0,0,0,1,0,1,0,40,0,0,0,0,0,0
2022-06-05T03,91,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,7,0,0,0,16,1,0,0,2,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,3,0,2,6,0,0,0,0,1,0,1,0,33,0,0,0,0,0,0
2022-06-05T04,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,16,0,0,0,3,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,9,0,0,1,0,0,0,1,0,34,0,0,0,0,0,0
2022-06-05T05,101,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,4,1,0,0,0,0,0,1,2,0,2,0,0,0,0,2,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,2,0,0,4,0,2,7,0,0,0,1,0,0,4,0,26,0,0,0,0,0,0
2022-06-05T06,117,1,0,0,3,0,5,0,0,0,0,1,0,0,0,0,0,4,0,0,0,17,0,0,0,6,0,0,0,0,1,0,2,3,0,2,0,0,0,0,3,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,1,0,0,3,0,2,8,0,0,0,0,1,0,7,0,34,0,0,0,0,0,0
2022-06-05T07,101,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,15,0,0,0,12,0,0,0,0,1,0,2,2,0,7,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,4,0,2,7,0,0,0,3,1,1,5,0,19,0,0,0,0,0,0
2022-06-05T08,127,3,0,0,3,0,10,0,0,0,0,1,0,1,0,2,0,1,1,0,0,12,0,0,0,15,0,0,0,0,2,0,5,5,0,7,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,1,0,2,0,2,7,0,0,0,7,0,0,4,0,21,0,0,1,0,0,0
2022-06-05T09,126,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,12,0,0,0,19,0,0,0,0,3,0,8,4,0,7,0,0,0,0,2,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,2,0,1,1,1,1,2,0,2,11,0,0,0,3,0,1,4,1,13,0,1,3,0,0,0
2022-06-05T10,133,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,15,0,0,0,0,3,0,9,5,0,5,0,1,0,0,1,0,3,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,0,0,1,0,0,4,0,2,10,0,0,0,6,0,1,5,0,20,0,1,4,0,0,0
2022-06-05T11,163,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,13,0,0,0,17,0,0,0,0,5,0,7,8,0,8,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,1,0,0,4,1,4,7,0,0,0,4,0,3,2,0,56,0,1,0,0,1,0
2022-06-05T12,173,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,19,0,0,0,0,3,0,8,10,0,13,0,1,0,0,1,1,4,0,0,2,0,0,0,0,0,0,1,0,0,2,0,3,12,0,0,0,0,2,0,0,1,2,0,2,0,2,8,0,0,0,9,0,2,7,0,39,0,0,0,0,0,0
2022-06-05T13,220,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,19,0,0,0,24,2,0,0,0,1,0,7,11,0,36,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,10,0,0,1,0,2,0,0,2,0,0,4,0,2,6,0,0,0,6,0,0,10,0,56,0,0,2,1,0,0
2022-06-05T14,190,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,13,0,0,0,17,0,0,0,0,3,0,11,10,0,22,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14,0,0,1,0,1,0,0,1,0,0,5,0,2,7,0,0,0,10,0,1,10,0,36,0,0,1,1,0,0
2022-06-05T15,215,3,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,9,0,0,0,12,0,0,1,28,0,0,0,0,1,0,9,7,0,13,0,0,0,0,1,0,17,0,0,12,0,0,0,0,0,0,1,0,0,0,1,3,13,0,0,0,0,1,0,1,1,0,0,6,0,3,8,0,0,0,10,0,0,11,0,37,0,0,1,0,0,0
2022-06-05T16,185,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,15,0,0,0,31,0,0,0,0,2,0,10,10,0,17,0,0,1,0,1,0,18,0,0,2,0,0,0,0,0,0,0,0,0,2,1,3,10,0,0,0,0,2,0,1,1,0,0,5,0,2,7,0,0,0,5,0,0,6,0,23,0,0,0,0,0,0
2022-06-05T17,192,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,13,0,0,0,35,1,0,0,0,5,0,11,10,0,4,1,0,14,0,1,0,11,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,15,0,0,0,0,2,0,0,2,0,0,4,0,3,7,0,0,0,3,0,0,3,0,31,0,0,1,0,0,0
2022-06-05T18,210,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,16,0,0,0,36,1,0,0,0,6,0,12,22,0,3,1,0,0,0,1,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,1,3,3,0,0,3,0,3,7,0,0,0,6,0,1,0,0,27,0,0,0,0,0,0
2022-06-05T19,203,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,9,1,0,0,15,0,0,0,43,1,0,0,0,7,0,11,18,0,2,1,0,0,0,2,0,11,0,0,2,0,0,2,0,0,0,1,0,0,0,0,1,18,1,0,0,0,0,1,3,1,0,0,3,0,2,7,0,0,0,3,0,2,1,0,27,0,0,1,0,0,0
2022-06-05T20,228,2,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,7,0,0,0,15,0,0,0,47,1,0,0,0,1,0,12,16,0,4,0,0,0,0,1,0,15,0,0,5,0,1,0,0,0,0,0,0,0,2,0,1,17,2,0,0,0,0,1,1,2,0,0,5,0,3,5,0,0,0,2,0,3,1,0,51,0,0,0,0,0,0
