bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,KZ,LA,LT,LU,MA,MD,MO,MW,MX,MY,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PT,RO,RS,RU,RW,SA,SE,SG,SK,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2022-09-06T20,162,3,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,5,0,0,34,0,0,0,0,0,4,0,1,15,11,0,0,0,0,0,1,0,0,1,0,0,17,1,0,0,0,0,1,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,1,2,1,0,5,0,0,1,6,0,1,0,4,0,0,0,0,20,0,0,0,0,0,0,0
2022-09-06T21,126,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,17,0,0,0,0,0,3,0,0,12,10,0,0,0,1,0,0,0,0,1,2,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,4,1,0,1,0,0,1,8,0,0,0,3,0,0,0,0,24,0,0,0,2,0,0,0
2022-09-06T22,113,4,0,0,2,0,0,0,0,0,0,0,4,0,3,1,0,16,0,0,13,0,0,0,0,0,2,0,1,7,7,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,1,0,2,0,0,2,6,0,1,0,0,1,0,0,0,21,0,0,0,1,0,0,0
2022-09-06T23,121,3,0,0,1,0,0,0,0,0,0,1,3,0,12,0,2,21,2,0,12,0,0,0,0,0,2,0,0,4,6,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,8,0,0,0,0,0,0,0,0,27,0,0,0,2,0,0,0
2022-09-07T00,122,2,0,0,0,0,0,0,0,0,0,1,5,1,10,0,6,14,1,0,8,0,0,0,0,0,2,1,1,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
2022-09-07T01,102,3,0,0,0,0,0,0,0,0,0,0,1,1,10,0,1,18,0,1,5,0,0,0,0,0,2,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,39,0,0,0,0,0,0,0
2022-09-07T02,104,2,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2,21,0,0,2,0,0,0,0,0,2,0,1,2,2,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,1,0,42,0,0,0,1,0,0,0
2022-09-07T03,110,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,19,0,0,7,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,2,10,0,1,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,1,0,0,31,0,1,0,1,0,0,0
2022-09-07T04,87,2,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,10,0,0,4,1,0,0,0,0,1,0,1,2,1,0,0,0,1,0,0,1,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,1,0,0,30,0,0,0,1,0,0,0
2022-09-07T05,73,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,18,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,5,0,1,0,0,1,0,0,1,18,0,0,0,1,0,0,0
2022-09-07T06,69,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,5,0,0,12,0,0,1,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,6,0,1,1,0,0,0,0,0,20,0,0,0,0,0,0,0
2022-09-07T07,83,2,0,0,0,0,4,0,0,1,0,0,1,0,2,0,0,8,0,0,12,0,0,0,0,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,8,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0
2022-09-07T08,64,1,0,0,0,0,6,0,0,0,0,0,2,0,2,1,0,4,0,0,11,0,0,0,0,0,0,0,1,2,4,0,0,0,1,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,6,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0
2022-09-07T09,81,2,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,5,0,0,11,0,0,0,0,0,0,0,0,5,8,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,8,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,7,0,3,0,0,2,0,0,0,10,0,0,0,0,0,0,0
2022-09-07T10,120,3,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,21,0,0,9,0,0,0,0,0,1,0,1,3,10,0,0,0,3,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,5,0,2,0,0,5,0,0,0,34,0,0,0,0,1,0,0
2022-09-07T11,89,1,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,4,0,0,9,0,0,0,0,0,1,0,1,2,7,0,0,0,3,0,0,1,10,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,10,0,4,0,0,2,0,0,0,10,0,0,0,0,1,0,0
2022-09-07T12,96,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,5,0,0,3,0,0,0,0,0,3,0,1,3,7,0,0,0,1,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,18,0,7,0,0,4,0,0,0,13,0,0,0,0,0,0,0
2022-09-07T13,87,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,5,1,0,14,0,0,0,0,0,3,0,0,6,2,0,0,0,1,0,0,0,0,0,1,0,4,2,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,8,0,5,0,0,0,0,0,0,13,0,0,0,1,0,0,0
2022-09-07T14,135,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,8,0,0,19,0,1,0,0,0,3,0,1,5,2,0,0,0,4,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,1,0,0,0,1,0,0,1,1,0,3,0,0,4,8,0,14,0,0,3,0,0,0,38,0,0,0,0,0,0,0
2022-09-07T15,146,4,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,5,0,0,32,0,0,0,0,0,5,0,0,5,6,0,0,0,2,0,0,0,0,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,2,0,6,1,1,0,0,0,2,0,3,0,3,1,2,1,0,0,10,0,21,0,0,0,0,2,0,18,0,0,0,0,0,0,0
2022-09-07T16,150,3,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,6,1,0,29,0,0,0,0,0,4,0,1,8,10,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,1,0,7,1,1,0,1,1,0,3,8,0,15,0,0,1,0,0,0,20,0,0,1,1,0,0,0
2022-09-07T17,177,1,0,0,0,2,0,0,0,2,0,0,0,0,3,2,0,4,0,0,46,0,0,0,0,0,10,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,1,0,0,1,1,1,4,0,0,9,5,0,11,0,1,4,0,0,0,37,0,0,0,0,0,0,0
2022-09-07T18,199,2,0,0,0,1,0,0,0,2,0,0,0,0,9,3,1,16,1,0,50,0,0,0,0,0,4,0,1,7,7,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,3,1,2,0,3,0,0,9,7,0,4,0,0,0,0,0,0,36,0,0,0,0,0,0,0
2022-09-07T19,174,2,0,0,2,1,0,0,0,1,0,0,2,0,5,0,0,10,0,0,46,0,0,0,0,0,6,0,0,15,8,0,0,0,2,0,1,0,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,3,2,2,0,3,0,1,3,6,0,2,0,2,0,0,0,0,17,0,0,0,0,0,0,1
2022-09-07T20,176,1,1,0,0,1,0,0,0,2,0,0,2,0,3,1,0,6,0,0,43,1,0,1,0,1,3,0,1,8,14,0,0,0,0,0,1,0,0,0,0,0,24,3,0,1,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,3,1,0,0,3,1,0,1,6,0,0,0,2,0,0,0,0,25,0,0,0,1,0,0,1
2022-09-07T21,143,3,0,0,0,0,0,0,1,1,0,0,4,0,5,1,0,7,1,0,27,0,0,0,0,0,2,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,14,1,0,2,0,0,1,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,1,0,0,4,0,0,0,5,0,2,0,1,1,0,0,0,29,0,0,0,0,0,0,0
2022-09-07T22,105,1,0,0,0,0,0,0,1,0,0,0,2,0,6,1,0,12,1,0,18,0,0,0,1,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,1,0,5,0,0,1,7,0,1,0,0,1,0,0,0,19,0,0,0,0,0,0,0
2022-09-07T23,142,4,0,0,0,0,0,0,1,0,0,0,4,0,13,0,1,22,0,0,13,0,0,0,0,0,1,0,0,4,2,0,0,0,1,0,0,0,12,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,1,0,0,0,5,1,0,1,6,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
2022-09-08T00,66,2,0,0,1,0,1,0,0,0,0,0,1,0,5,0,0,6,0,0,7,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
