bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,KZ,LA,LT,LU,MA,MD,MO,MW,MX,MY,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PT,RO,RS,RU,RW,SA,SE,SG,SK,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2022-09-04T15,124,2,0,1,0,0,0,0,0,0,0,0,4,0,3,1,0,2,0,0,11,0,0,0,0,0,3,0,0,11,6,0,0,0,3,0,0,0,1,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,7,0,14,0,1,3,0,0,0,27,0,0,0,1,0,0,0
2022-09-04T16,162,3,0,1,0,0,0,0,0,1,0,0,3,0,6,1,1,11,0,1,25,0,0,0,0,0,4,0,1,8,16,0,0,0,1,0,1,1,0,0,1,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,1,0,2,0,3,1,0,1,6,0,8,0,0,1,0,1,0,27,0,0,0,0,0,0,0
2022-09-04T17,149,2,0,0,0,1,0,0,1,1,0,0,3,0,4,1,0,9,0,0,28,0,0,0,0,0,6,0,0,7,7,0,0,0,2,0,0,0,0,0,0,0,12,2,0,0,0,0,0,1,0,1,0,0,1,0,1,7,0,0,0,0,0,1,0,1,0,1,0,2,0,0,6,6,0,12,0,2,0,0,0,0,20,0,0,0,1,0,0,0
2022-09-04T18,160,2,0,0,3,1,0,0,0,1,1,0,2,0,8,2,0,4,0,0,38,2,0,0,0,0,15,0,1,7,11,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,1,0,2,0,2,0,0,1,5,1,6,0,1,4,0,0,0,19,0,0,0,1,0,0,0
2022-09-04T19,134,4,0,0,0,1,0,0,0,1,0,0,2,0,6,1,0,3,0,0,21,1,0,0,0,0,10,0,0,9,6,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,1,0,0,1,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,6,1,3,0,3,2,0,0,0,20,0,0,0,0,0,0,0
2022-09-04T20,147,1,0,0,2,0,0,0,0,0,0,0,3,0,7,0,1,6,0,0,29,2,0,0,0,0,3,0,1,12,7,0,0,0,1,0,0,1,0,0,1,0,19,2,0,1,0,0,0,1,0,0,0,0,2,0,0,7,0,0,0,1,0,0,0,1,0,1,0,3,0,0,1,5,0,2,0,4,0,0,0,0,20,0,0,0,0,0,0,0
2022-09-04T21,129,2,0,0,4,0,0,0,0,0,0,0,2,0,5,1,0,16,1,0,20,0,0,0,1,0,4,0,0,7,6,0,0,0,0,0,0,0,1,0,2,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,1,0,3,0,0,1,5,0,1,0,0,0,0,2,0,22,0,0,0,0,0,0,0
2022-09-04T22,102,2,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,11,1,0,8,1,0,0,0,0,0,0,1,4,9,0,0,0,0,0,0,0,0,0,2,0,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,6,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
2022-09-04T23,100,1,0,0,0,0,0,0,0,0,1,0,2,0,6,0,0,18,2,0,11,0,0,0,0,0,3,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,7,0,1,0,0,0,0,0,0,23,0,0,0,1,0,0,0
2022-09-05T00,95,4,0,0,0,0,2,0,0,0,0,0,3,0,8,1,0,16,0,0,7,0,0,0,0,0,3,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1
2022-09-05T01,118,2,0,0,0,0,1,0,0,0,0,0,5,0,7,0,0,28,0,0,3,0,0,0,0,0,3,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,7,0,2,0,0,1,0,0,0,38,0,0,0,0,0,0,0
2022-09-05T02,105,3,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,15,1,0,5,1,0,0,0,0,2,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
2022-09-05T03,119,3,0,0,2,0,2,0,0,0,0,0,2,0,3,0,0,17,2,0,15,0,0,0,0,0,3,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,47,0,0,0,1,0,0,0
2022-09-05T04,67,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,14,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0
2022-09-05T05,64,2,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,2,0,0,8,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,5,0,1,0,1,2,0,0,0,22,0,0,0,0,0,0,0
2022-09-05T06,107,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,7,0,0,0,0,0,1,0,0,6,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,6,0,2,0,0,2,0,0,0,51,0,0,0,0,0,0,1
2022-09-05T07,78,2,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,5,0,0,10,0,0,0,0,0,1,0,1,2,2,0,0,0,3,0,0,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,6,0,1,0,1,1,0,0,0,20,0,0,0,2,0,0,1
2022-09-05T08,91,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,8,0,0,11,0,0,0,0,0,2,0,0,5,2,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,6,0,1,0,0,1,0,0,0,30,0,0,0,2,0,0,0
2022-09-05T09,101,2,0,0,0,0,15,0,0,0,0,0,2,0,2,2,0,7,0,0,17,0,0,0,0,0,1,0,1,4,4,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,4,0,0,1,6,0,0,0,1,2,0,0,0,20,0,0,0,0,0,0,0
2022-09-05T10,93,2,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,9,0,0,15,0,0,0,0,0,3,0,0,4,5,0,0,0,1,0,0,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,2,0,0,1,0,0,4,0,0,2,5,0,1,0,1,1,0,0,0,17,0,0,0,0,0,0,0
2022-09-05T11,109,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,5,0,0,13,0,0,0,0,0,3,0,1,7,3,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,9,0,6,0,1,9,0,0,0,27,0,0,0,2,0,0,0
2022-09-05T12,125,2,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,7,0,0,5,0,0,0,0,0,4,0,1,5,3,0,0,0,6,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,2,0,4,0,0,2,5,1,13,0,1,1,0,0,0,35,0,0,0,1,0,0,0
2022-09-05T13,123,2,0,0,1,0,2,0,0,0,0,0,3,0,1,1,0,7,0,0,14,0,0,0,0,0,3,0,0,2,6,0,1,0,5,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,11,0,15,0,1,1,0,0,0,19,0,1,0,0,0,0,0
2022-09-05T14,147,2,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,5,0,0,14,2,1,0,0,0,5,0,1,6,4,0,0,0,3,0,0,1,0,0,1,0,5,4,0,2,0,0,0,0,0,0,0,0,2,1,0,10,0,0,0,0,0,2,0,0,1,0,0,3,0,0,3,11,0,13,0,2,3,0,0,0,35,0,0,0,0,0,0,0
2022-09-05T15,154,2,0,0,0,0,0,0,0,0,0,0,3,0,4,0,1,7,0,0,19,2,0,0,0,0,7,0,0,5,3,0,0,0,3,0,0,0,14,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,3,1,0,11,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,6,0,13,0,2,0,0,0,0,31,0,0,0,0,0,0,0
2022-09-05T16,151,1,0,0,1,0,0,0,0,1,0,0,1,0,3,2,0,2,0,0,26,1,0,0,0,0,8,0,1,11,6,0,1,0,4,1,0,0,0,0,0,1,12,1,0,1,0,0,0,0,0,0,0,0,2,1,1,7,1,0,0,0,0,2,0,1,0,1,0,4,0,0,5,7,0,12,0,2,2,0,0,0,18,0,0,0,0,0,0,0
2022-09-05T17,165,3,2,0,1,1,0,0,0,1,0,0,2,0,1,1,0,3,0,0,39,1,0,0,0,0,13,0,0,7,9,0,0,0,2,0,0,1,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,1,0,0,0,0,0,2,0,0,8,5,0,10,0,3,0,0,0,0,21,0,1,0,1,0,0,0
2022-09-05T18,188,2,1,0,3,1,0,1,0,2,0,0,2,0,6,2,0,4,0,0,40,1,0,0,0,0,7,0,1,8,11,0,0,0,0,0,0,1,0,1,2,0,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,2,2,1,0,3,1,0,5,7,0,6,0,4,0,0,0,0,26,0,1,0,1,0,0,0
2022-09-05T19,184,2,2,0,4,1,0,0,0,1,0,0,2,0,3,0,0,4,0,1,35,1,0,0,0,0,4,0,0,9,8,0,0,0,1,0,0,1,0,1,1,0,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,17,4,0,0,0,0,0,0,3,1,1,0,3,0,0,2,8,0,0,0,4,1,0,0,0,42,0,0,0,1,1,0,0
2022-09-05T20,172,4,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,2,0,0,35,0,0,0,0,0,3,0,1,9,13,0,1,0,1,0,0,1,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,3,0,0,0,0,0,0,0,0,2,0,3,0,0,2,5,0,7,0,5,0,0,0,0,36,0,0,0,1,0,0,0
2022-09-05T21,129,2,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,23,0,0,0,0,0,3,0,0,8,10,0,0,0,0,0,0,1,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,5,0,1,0,6,0,0,0,0,32,0,0,0,0,0,0,0
2022-09-05T22,110,2,0,0,2,0,1,0,0,0,0,0,1,0,9,0,1,3,0,0,18,0,0,0,0,0,3,0,1,5,4,0,1,0,0,0,0,0,1,1,2,0,12,0,0,2,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
2022-09-05T23,106,3,0,0,1,0,2,0,0,0,0,0,1,0,6,1,0,6,0,0,9,0,0,1,0,0,2,0,0,10,6,0,0,0,0,0,0,0,3,1,0,0,4,2,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,5,0,3,0,0,0,0,0,0,27,0,0,0,0,0,0,0
2022-09-06T00,113,3,0,0,1,0,2,0,0,0,1,0,6,0,11,0,1,4,0,0,9,0,0,0,0,0,2,0,1,4,4,1,0,0,0,0,0,0,3,1,2,0,1,1,0,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,6,0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0
2022-09-06T01,88,4,0,0,2,0,1,0,0,0,0,0,2,0,6,0,0,5,0,0,9,0,0,0,0,0,1,0,1,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0
2022-09-06T02,83,4,1,0,1,0,2,0,0,0,0,0,1,0,11,0,2,6,0,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0,0,0,0,24,0,0,0,1,0,0,0
2022-09-06T03,73,2,0,0,0,0,2,0,0,0,0,0,1,0,3,0,1,4,0,0,8,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,1,0,19,0,0,0,0,1,0,0
2022-09-06T04,69,5,0,0,1,0,2,0,0,0,0,0,0,0,6,1,1,1,0,0,7,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0
2022-09-06T05,64,2,0,0,0,0,2,0,0,0,0,0,1,0,1,1,1,4,0,0,9,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0
2022-09-06T06,60,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,4,0,0,0,17,0,0,0,0,0,0,0
2022-09-06T07,70,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,8,2,0,0,0,0,1,0,1,3,1,0,0,0,1,0,0,1,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,5,0,1,0,0,2,0,0,0,19,0,0,0,0,0,0,0
2022-09-06T08,83,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,16,1,0,0,0,0,1,0,0,5,3,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,7,0,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0
2022-09-06T09,69,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,13,0,0,0,0,0,4,0,1,4,2,0,0,0,2,1,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,5,1,2,0,1,0,0,0,0,10,0,0,0,0,0,0,0
2022-09-06T10,89,4,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,16,0,0,11,0,0,0,1,0,4,0,0,3,2,0,0,0,1,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,6,0,4,0,2,1,0,0,0,15,0,0,0,0,0,0,0
2022-09-06T11,94,2,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,21,0,0,10,0,0,0,0,0,3,0,1,6,3,0,0,0,1,0,0,0,0,1,1,0,0,2,0,3,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,6,0,4,0,0,7,0,0,0,6,0,0,0,0,0,0,0
2022-09-06T12,102,3,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,21,0,0,11,0,0,0,0,0,3,0,1,4,6,0,0,0,1,0,0,0,0,1,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,6,0,2,0,1,3,0,1,0,16,0,0,0,0,0,0,0
2022-09-06T13,127,1,1,0,1,0,2,0,0,0,0,0,3,0,2,0,0,19,0,0,16,0,0,0,0,0,1,0,0,6,5,0,0,0,3,0,0,0,0,1,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,7,0,13,0,2,7,0,0,0,20,0,0,0,0,0,0,0
2022-09-06T14,131,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18,0,0,18,0,1,1,0,0,4,0,1,9,9,0,1,0,5,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,8,0,11,0,1,2,0,0,0,18,0,0,0,1,0,0,0
2022-09-06T15,130,2,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,18,0,0,20,0,0,0,0,0,4,0,0,7,8,0,0,0,4,1,0,0,0,1,1,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,2,0,3,0,0,1,6,0,10,0,2,2,0,0,0,20,0,0,0,0,0,0,0
2022-09-06T16,125,2,1,0,0,0,0,0,1,3,0,0,2,0,4,2,1,6,0,0,23,1,0,0,0,0,3,0,1,8,5,0,0,0,3,0,0,0,0,1,1,0,10,0,0,2,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,6,0,7,0,2,1,0,0,0,16,0,0,0,0,0,0,0
2022-09-06T17,180,2,0,0,2,1,0,0,0,2,0,0,0,0,5,3,0,6,0,0,52,0,0,0,0,0,7,0,0,10,13,0,0,0,1,0,0,0,0,1,1,0,13,1,0,0,0,0,0,0,1,0,0,0,2,2,0,11,0,0,0,0,0,1,0,1,1,0,0,6,0,0,3,5,1,3,0,2,2,0,0,0,19,0,0,0,0,0,0,0
2022-09-06T18,222,6,0,0,1,3,0,0,0,3,0,0,0,0,6,1,0,7,0,0,61,0,0,0,0,0,6,0,1,13,18,0,1,0,3,0,0,1,0,1,1,0,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,20,2,0,0,0,0,1,0,1,1,2,0,6,0,0,3,5,0,12,0,4,2,0,0,0,15,0,0,0,0,0,0,0
2022-09-06T19,194,2,0,0,0,1,0,0,0,4,0,0,0,1,3,1,0,9,0,0,48,1,0,0,0,0,7,0,0,13,20,0,0,0,0,0,1,1,0,1,1,0,16,1,0,0,0,0,0,0,0,0,0,0,1,0,1,16,1,0,0,0,0,0,0,1,0,1,0,4,0,0,2,6,0,5,0,5,0,0,0,0,19,0,0,0,1,0,0,0
