bucket,total,--,AE,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CF,CH,CI,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KH,KR,KZ,LK,LT,LU,LV,MA,MK,MM,MO,MQ,MU,MX,MY,NA,NG,NL,NO,NP,NZ,OM,PA,PH,PK,PL,PT,PY,QA,RO,RU,RW,SE,SG,SI,SK,SV,SY,TH,TN,TR,TT,TW,TZ,UA,US,UY,VE,VN,ZA,ZM,ZW
2022-06-12T13,217,3,0,0,0,1,0,0,0,1,1,0,1,0,1,0,2,0,1,0,30,0,0,0,0,10,1,0,0,0,0,0,0,8,10,0,0,0,13,0,0,0,0,0,0,4,0,12,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,1,0,0,1,4,0,5,10,0,0,0,0,7,0,2,0,11,0,0,52,0,0,0,0,0,0
2022-06-12T14,183,3,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,19,0,0,0,0,17,0,0,0,0,0,0,0,10,16,0,1,0,14,0,0,0,0,0,0,1,0,11,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,1,0,0,0,4,0,4,5,0,0,0,0,10,0,3,0,11,0,0,20,0,0,0,0,0,0
2022-06-12T15,229,2,0,0,0,1,14,0,0,0,1,0,1,0,2,0,0,0,0,0,23,0,0,0,0,16,0,0,0,0,0,2,0,9,13,0,1,0,9,0,0,1,0,0,0,0,0,17,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0,0,3,0,1,0,0,0,0,2,1,6,8,0,0,0,0,11,0,2,0,8,0,0,57,0,0,0,0,0,0
2022-06-12T16,191,2,0,0,0,1,0,0,1,0,0,0,3,0,4,0,0,0,0,0,18,0,0,0,0,25,0,0,0,0,0,4,1,11,11,1,0,0,5,0,0,0,1,0,0,5,0,18,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,0,0,0,0,2,0,0,0,0,0,1,3,0,3,9,0,0,0,0,10,0,2,0,7,0,0,25,0,0,0,0,0,0
2022-06-12T17,223,4,0,0,1,0,0,0,1,0,0,0,1,0,4,0,2,0,1,0,18,0,0,0,0,36,2,0,0,0,0,7,0,12,15,0,0,0,6,0,0,0,1,1,0,4,0,13,0,3,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,1,0,0,0,0,0,3,2,0,14,8,0,0,0,0,6,0,1,0,6,0,3,29,0,0,2,0,0,0
2022-06-12T18,230,4,0,0,1,1,0,0,1,0,2,0,1,0,8,0,2,0,0,0,9,0,0,0,0,29,0,0,0,1,0,8,0,6,18,0,0,0,6,0,0,0,0,1,0,2,0,8,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,0,2,2,0,5,5,0,0,0,0,10,0,1,0,3,0,0,64,0,0,1,0,0,0
2022-06-12T19,193,3,1,0,0,1,0,0,1,0,1,0,1,0,3,0,2,0,0,0,17,0,0,0,0,27,0,0,0,1,0,7,0,7,11,0,0,0,1,0,0,0,0,10,0,2,0,11,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,1,0,0,0,2,2,0,4,7,0,0,0,1,7,0,2,0,1,0,0,29,0,0,1,0,0,0
2022-06-12T20,164,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,0,0,0,14,0,0,0,0,29,0,0,0,0,0,2,0,9,12,0,0,0,1,0,0,0,0,0,0,0,0,17,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,0,0,0,0,7,0,2,0,2,0,0,25,0,0,0,0,0,0
2022-06-12T21,175,3,0,0,1,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,14,1,0,0,0,21,0,0,0,0,0,2,0,9,9,0,0,0,1,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,1,0,0,0,5,0,3,6,0,0,0,0,3,0,2,0,2,0,0,50,1,0,0,0,0,0
2022-06-12T22,154,3,0,0,0,2,0,0,0,0,1,0,1,0,5,0,0,0,0,0,11,0,0,0,0,14,0,0,0,0,0,1,0,6,9,0,0,0,0,0,0,0,0,11,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,2,0,0,0,4,0,2,6,0,0,0,0,2,0,1,0,2,0,0,44,0,0,2,0,0,0
