bucket,total,--,AE,AR,AT,AU,BA,BB,BE,BG,BM,BR,CA,CH,CL,CM,CN,CZ,DE,DK,EC,ES,FI,FR,GB,HK,ID,IE,IL,IN,IT,JP,KE,KR,LA,LT,LU,LY,ML,MX,MY,NG,NL,NO,PA,PH,PL,PT,RO,RU,RW,SE,SG,SK,TH,TR,TT,TW,UA,US,UY,VN,ZA
2022-01-09T22,209,2,0,0,1,1,0,0,0,1,1,0,18,2,0,0,14,0,35,0,0,0,0,8,16,0,1,5,0,1,17,1,0,0,1,0,0,0,1,1,0,0,20,0,0,0,1,1,0,3,0,3,9,0,0,0,0,2,0,42,0,1,0
2022-01-09T23,176,1,0,0,2,1,0,0,0,1,0,3,15,0,1,0,12,0,14,1,0,2,0,15,12,0,1,0,0,1,8,4,0,0,1,1,0,0,0,0,0,0,8,0,0,0,2,2,0,2,0,1,6,0,0,0,1,3,1,53,1,0,0
2022-01-10T00,166,2,0,2,0,0,0,0,0,0,0,3,23,1,1,0,18,0,15,1,0,0,0,6,8,0,1,0,0,0,7,1,0,0,1,3,0,0,0,0,0,0,5,0,0,1,0,0,1,4,0,1,13,0,0,0,0,3,0,44,1,0,0
2022-01-10T01,204,1,0,0,0,4,0,0,0,1,0,0,18,2,0,1,10,1,11,1,1,0,0,10,11,0,2,1,1,5,3,3,0,1,1,0,1,0,0,0,0,0,7,0,1,0,0,0,1,8,0,6,7,1,2,0,0,4,0,69,1,5,2
2022-01-10T02,137,1,0,1,1,3,0,0,0,0,0,1,19,0,0,0,14,0,8,0,1,0,0,5,4,0,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,2,1,1,2,0,0,0,4,1,1,8,0,1,0,0,3,0,49,0,0,0
2022-01-10T03,140,1,0,0,0,4,0,0,0,0,0,1,18,0,0,0,14,0,8,0,0,0,0,7,3,0,1,0,0,0,1,11,0,0,1,3,0,0,0,0,0,0,1,1,1,2,0,0,0,4,1,1,8,0,1,0,0,1,0,45,1,0,0
2022-01-10T04,102,1,0,0,0,4,0,0,0,0,0,0,13,0,0,0,11,0,4,0,0,0,0,6,4,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,4,1,1,8,0,0,0,0,1,0,33,1,0,0
2022-01-10T05,102,1,0,0,1,5,0,0,0,0,0,0,12,0,0,0,8,0,5,0,0,0,0,7,3,0,0,0,0,0,1,6,0,0,1,1,0,0,0,0,1,0,3,0,0,2,0,0,0,4,0,2,7,0,2,0,0,1,0,28,0,1,0
2022-01-10T06,115,2,0,0,1,1,0,0,0,0,0,0,7,1,0,0,17,0,10,0,0,0,0,6,3,0,0,0,1,0,2,2,0,2,1,0,2,0,0,0,2,0,6,0,0,1,0,0,2,2,0,3,7,0,2,1,0,1,0,30,0,0,0
2022-01-10T07,114,1,0,1,0,3,0,0,0,1,0,0,3,0,0,0,28,0,7,0,0,0,0,6,3,1,0,0,0,0,3,3,0,0,1,0,0,0,0,0,2,0,8,0,0,1,1,0,0,2,0,2,5,0,0,0,0,2,0,30,0,0,0
2022-01-10T08,143,1,0,1,0,2,0,0,1,0,0,1,4,0,0,0,37,0,19,0,0,0,0,6,4,0,0,0,0,0,3,5,0,0,1,1,0,0,0,0,2,0,5,0,0,2,0,0,0,7,0,0,7,0,1,0,0,2,1,30,0,0,0
2022-01-10T09,157,1,0,2,0,3,0,0,0,0,0,0,2,1,0,0,27,0,17,0,0,1,0,6,9,0,0,0,1,0,3,2,0,0,1,1,0,0,0,0,1,0,17,0,0,2,0,0,3,5,0,3,8,0,1,2,0,1,1,36,0,0,0
2022-01-10T10,156,1,0,1,0,2,0,0,0,0,0,0,5,1,0,0,26,0,18,1,0,1,1,6,9,2,0,0,0,0,5,2,0,0,1,1,0,0,0,0,0,0,23,0,0,3,0,1,0,5,0,2,8,0,2,2,0,2,2,17,0,4,2
2022-01-10T11,163,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,35,1,27,0,0,1,0,4,6,0,0,1,1,0,6,1,0,0,1,1,0,0,0,0,1,0,29,0,0,1,0,0,0,5,0,1,7,0,1,1,0,1,1,22,0,0,2
2022-01-10T12,136,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,16,2,23,0,0,0,1,6,8,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,3,0,18,1,0,1,0,0,0,3,0,2,6,0,1,2,0,5,1,24,0,0,0
