bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KR,KY,KZ,LT,LU,MO,MX,MY,NA,NL,NO,NP,NZ,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,SR,SY,TH,TR,TW,UA,US,UY,VN,ZA,ZM,ZW
2022-07-17T17,170,2,0,0,0,0,0,0,1,0,0,1,9,1,0,0,4,0,0,32,1,0,0,0,6,1,1,7,5,0,0,1,0,2,0,1,0,0,0,0,0,6,2,0,2,0,0,0,0,0,1,2,0,5,0,0,0,0,0,1,1,0,0,0,7,0,7,13,1,0,0,0,6,2,2,0,35,0,2,0,0,0
2022-07-17T18,158,1,0,0,1,0,0,0,2,0,0,2,3,2,0,0,3,0,0,31,1,0,0,0,5,1,1,14,6,0,0,0,0,0,0,0,1,0,1,0,0,11,2,0,2,0,0,1,0,0,0,2,0,7,1,0,0,0,0,2,0,0,0,0,5,0,3,8,0,0,1,0,3,3,0,0,30,0,0,1,1,0
2022-07-17T19,166,2,0,1,0,0,1,0,2,0,0,6,2,3,0,0,5,1,0,36,1,0,0,0,6,0,0,5,10,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,1,0,0,0,6,0,2,7,0,0,0,0,2,3,2,0,39,0,1,0,0,0
2022-07-17T20,151,1,0,0,0,0,0,0,1,0,0,3,4,1,0,0,10,0,1,34,0,0,0,0,2,0,1,5,8,0,0,3,0,0,0,0,0,0,0,0,0,14,2,0,2,0,0,0,0,0,0,0,1,12,0,0,0,0,0,2,0,0,1,0,7,0,5,5,0,0,0,0,0,1,1,0,23,0,1,0,0,0
2022-07-17T21,130,1,0,0,0,0,0,0,2,1,0,1,5,3,0,0,7,0,0,18,1,0,0,0,1,0,0,4,14,1,0,0,0,1,0,0,0,0,1,0,0,14,1,0,4,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,5,0,3,7,0,0,0,0,1,0,1,0,23,0,1,0,0,0
2022-07-17T22,115,1,0,0,0,0,0,0,0,0,0,3,6,1,0,0,21,0,0,8,0,0,0,0,2,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,5,0,1,6,0,0,0,0,0,0,5,0,25,0,0,0,0,0
2022-07-17T23,115,0,0,0,1,0,0,0,0,0,0,2,14,0,0,0,22,0,0,6,0,0,0,0,1,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,1,7,0,0,0,0,0,0,3,1,30,0,1,0,0,0
2022-07-18T00,124,0,0,3,0,0,0,0,0,0,0,1,13,0,0,0,18,0,0,7,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,1,7,0,0,0,0,1,0,5,0,42,0,0,0,0,0
2022-07-18T01,109,2,0,1,0,1,0,0,0,0,0,1,9,0,0,0,20,0,0,2,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,2,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,2,9,0,0,0,0,0,0,2,0,41,0,0,0,0,0
2022-07-18T02,115,0,0,0,0,1,0,0,0,0,0,1,9,0,0,0,18,0,0,5,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,2,0,0,1,1,0,1,0,0,0,0,6,0,1,8,0,0,0,0,0,0,1,0,48,0,0,0,0,0
