bucket,total,--,AE,AR,AT,AU,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KZ,LT,LV,MA,MK,MN,MO,MQ,MX,MY,NL,NO,NZ,PH,PL,PT,QA,RO,RS,RU,RW,SE,SG,SI,SK,SN,TH,TR,TW,TZ,UA,US,UY,UZ,VN,ZA
2022-07-31T17,184,1,0,0,0,0,0,1,0,1,2,0,8,2,0,15,0,28,0,0,0,1,0,2,0,0,6,8,0,0,2,1,0,0,0,0,0,0,2,0,12,0,0,2,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,1,0,1,0,6,0,6,8,1,0,0,6,1,2,0,0,43,0,0,1,0
2022-07-31T18,160,2,0,1,1,0,0,2,0,1,0,1,6,2,0,13,0,30,0,0,0,0,0,5,0,0,4,8,1,0,0,0,1,0,1,0,0,0,3,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2,0,6,0,2,6,1,0,0,5,1,0,0,0,26,0,0,1,0
2022-07-31T19,187,2,0,1,1,0,0,1,0,1,3,1,7,1,0,18,1,37,1,0,0,0,0,7,0,0,7,9,0,0,1,0,1,0,1,2,0,0,1,0,12,2,0,0,0,0,0,1,0,0,0,0,1,2,17,0,0,0,1,1,0,1,0,4,0,4,7,0,1,0,3,2,1,0,0,23,0,0,0,0
2022-07-31T20,170,4,0,1,0,0,0,3,0,0,1,0,5,0,0,17,1,28,0,0,0,0,0,6,0,0,9,7,0,0,0,1,0,0,0,0,0,0,1,0,16,1,0,0,0,0,1,0,0,0,0,0,1,0,18,0,0,0,2,2,0,2,0,4,0,2,5,0,0,0,1,1,1,0,1,27,0,0,1,0
2022-07-31T21,165,1,0,2,0,0,0,0,0,0,1,0,1,1,0,14,0,14,0,0,0,0,0,3,0,1,5,8,0,0,0,1,0,0,1,2,0,0,2,0,13,0,0,3,0,0,0,0,1,0,0,0,1,0,10,0,0,0,0,3,0,1,0,5,2,4,9,0,0,0,1,0,0,0,1,54,0,0,0,0
2022-07-31T22,101,2,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,16,0,0,1,0,0,2,0,1,2,3,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,1,2,6,1,1,0,0,2,0,1,0,4,1,2,7,0,0,0,2,0,1,0,0,21,0,0,1,0
2022-07-31T23,100,2,0,0,0,2,0,0,0,0,1,0,13,1,1,6,0,9,0,0,0,0,0,2,1,1,3,2,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,2,0,2,6,0,0,0,1,0,0,0,0,33,0,0,1,0
2022-08-01T00,105,2,0,0,0,1,0,0,0,0,0,0,9,0,1,3,0,6,0,0,0,0,0,2,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,2,0,1,5,0,0,0,2,0,0,0,0,53,0,0,0,0
2022-08-01T01,131,1,0,0,0,1,0,0,0,0,0,0,9,0,0,2,0,5,0,0,0,0,0,1,0,0,2,8,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,2,0,2,8,0,0,0,2,0,0,0,0,75,0,0,0,0
2022-08-01T02,88,1,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,7,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,3,0,1,6,0,1,0,0,0,1,0,0,42,0,0,0,0
