bucket,total,--,AE,AF,AM,AO,AR,AT,AU,BA,BE,BG,BH,BN,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,EC,EG,ES,FI,FR,GB,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MO,MU,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RE,RO,RS,RU,RW,SE,SG,SI,SK,SN,TH,TN,TR,TW,UA,UG,US,UZ,VE,VI,VN,ZA,ZW
2022-10-30T14,133,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,1,0,13,0,0,0,0,17,3,0,0,0,4,0,7,4,0,0,6,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,4,6,0,0,0,6,1,0,8,0,0,22,0,0,0,0,0,0
2022-10-30T15,174,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1,0,0,15,0,0,0,0,24,2,0,0,0,5,0,7,7,0,0,7,0,0,0,1,1,7,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,3,6,0,0,0,7,0,0,6,0,0,34,0,0,0,0,0,0
2022-10-30T16,182,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,5,0,0,0,9,0,0,0,0,25,0,0,0,0,9,0,11,7,0,0,2,0,0,0,0,0,9,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,2,0,2,0,0,1,0,4,0,3,8,0,0,0,8,0,1,5,0,0,27,0,0,0,0,0,0
2022-10-30T17,174,5,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,0,0,0,3,0,0,0,0,31,0,0,0,0,10,0,16,12,0,0,3,0,0,0,0,0,7,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,1,0,2,0,0,0,0,2,0,4,6,0,0,0,5,0,1,2,0,0,28,0,0,0,1,0,0
2022-10-30T18,252,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,7,4,1,0,2,1,0,0,0,50,0,0,0,0,10,1,17,13,0,0,1,0,0,1,0,0,2,0,22,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,2,0,1,0,0,0,1,0,0,0,0,2,1,3,0,2,6,0,0,0,4,0,0,3,0,0,73,0,0,0,0,0,0
2022-10-30T19,211,3,0,0,0,0,0,1,8,0,2,0,0,0,1,0,0,5,0,1,0,0,2,0,0,0,47,0,0,1,1,8,1,14,15,0,0,3,0,0,1,0,1,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,4,5,0,0,0,2,0,3,3,1,0,39,0,0,0,0,0,0
2022-10-30T20,198,2,0,0,0,0,0,1,5,0,1,0,0,0,0,1,1,5,2,1,0,0,0,0,0,0,46,0,0,0,1,6,0,7,10,0,0,1,0,0,0,0,1,8,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,1,0,0,1,1,0,2,0,0,1,0,1,0,6,7,0,0,0,1,0,2,1,1,0,37,0,0,0,0,0,0
2022-10-30T21,192,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,1,0,0,7,0,0,0,0,37,0,0,0,0,4,0,5,9,0,0,0,0,0,0,1,0,11,0,13,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,3,0,0,46,0,0,0,1,0,0
2022-10-30T22,157,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,2,0,0,16,1,0,0,0,23,0,0,0,0,5,0,10,8,0,1,0,0,0,0,12,0,1,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0,0,0,0,0,0,1,0,0,31,0,0,0,1,0,0
2022-10-30T23,144,2,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,8,0,1,0,15,0,0,0,0,16,0,0,0,0,3,0,3,6,0,0,3,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,5,0,0,0,0,0,0,2,0,0,55,0,0,0,1,0,0
