bucket,total,--,AE,AF,AM,AO,AR,AT,AU,BA,BE,BG,BH,BN,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,EC,EG,ES,FI,FR,GB,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MO,MU,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RE,RO,RS,RU,RW,SE,SG,SI,SK,SN,TH,TN,TR,TW,UA,UG,US,UZ,VE,VI,VN,ZA,ZW
2022-11-01T04,95,5,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,4,0,0,0,3,0,0,0,0,4,1,0,0,0,1,0,3,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,2,0,0,40,0,0,0,0,1,0
2022-11-01T05,77,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,9,0,0,0,0,6,1,0,0,0,1,0,1,3,0,0,1,0,0,0,7,0,2,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,1,0,0,15,0,0,0,0,0,0
2022-11-01T06,67,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,4,1,0,1,0,0,0,2,1,0,0,0,0,0,0,5,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,5,0,0,20,0,0,0,0,0,0
2022-11-01T07,88,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,6,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,46,0,0,1,0,0,0
2022-11-01T08,85,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,16,3,0,0,0,3,0,2,3,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0
2022-11-01T09,100,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,11,3,0,0,0,4,0,4,3,0,0,1,0,0,0,0,0,1,0,5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,5,0,0,0,3,0,0,0,0,0,34,0,0,0,0,0,0
2022-11-01T10,133,3,0,0,0,0,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,14,2,0,0,0,2,0,4,2,0,0,1,0,0,0,0,0,1,0,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,6,0,0,0,3,0,0,4,0,0,41,0,0,0,0,0,0
2022-11-01T11,92,3,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,18,1,0,0,0,5,0,5,4,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,5,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0
2022-11-01T12,104,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,11,1,0,0,0,7,0,2,5,0,1,5,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,2,1,2,0,1,7,0,0,0,4,0,1,1,1,0,24,0,0,0,1,0,0
2022-11-01T13,114,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,1,12,1,0,1,0,5,0,3,6,0,2,3,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,2,7,0,0,0,10,0,1,1,0,0,22,0,0,0,0,1,0
2022-11-01T14,154,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,1,0,13,0,0,0,1,22,1,1,0,0,2,0,7,5,0,2,4,0,0,0,0,0,0,0,11,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,6,0,0,0,20,0,1,4,0,0,22,0,0,0,0,0,0
2022-11-01T15,145,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,1,0,3,2,0,0,0,23,1,0,0,0,3,0,6,9,0,2,0,0,0,1,0,0,0,0,16,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,2,0,0,1,0,3,0,0,6,0,1,0,15,0,1,1,0,0,26,0,0,0,0,0,0
2022-11-01T16,170,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,38,1,0,0,0,7,0,8,7,0,3,0,0,0,0,0,0,3,0,18,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,1,0,2,0,1,0,0,0,0,9,1,3,8,0,0,0,11,0,1,1,0,0,23,0,0,0,0,0,0
2022-11-01T17,212,2,0,0,0,0,0,1,0,1,1,1,0,0,0,3,0,3,2,0,0,3,0,0,0,0,43,1,0,0,0,9,0,13,16,0,0,2,0,0,0,0,0,5,0,27,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,9,2,0,0,0,0,0,1,0,1,0,0,1,0,6,2,4,5,0,0,0,10,0,0,0,0,0,29,0,0,0,1,0,0
2022-11-01T18,259,2,0,0,0,0,1,2,0,1,1,0,0,0,0,1,0,4,3,1,0,1,1,0,0,0,63,1,0,0,0,14,0,8,15,0,0,3,0,1,0,1,0,0,0,17,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,2,0,1,0,0,1,0,4,1,3,8,0,0,0,2,0,2,0,0,0,66,0,1,0,0,0,0
2022-11-01T19,252,2,0,0,0,0,1,1,0,1,1,0,0,0,0,3,0,6,1,0,0,4,1,0,0,0,62,1,0,0,0,12,0,11,18,0,0,1,0,1,1,0,0,4,0,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,2,0,0,0,1,0,2,0,0,0,0,0,0,2,1,4,6,0,0,0,0,0,2,0,0,0,64,0,0,0,0,0,0
2022-11-01T20,220,4,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,4,1,0,0,11,0,0,0,0,48,2,0,0,0,9,0,7,12,0,0,0,0,0,3,1,0,2,0,17,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1,0,3,0,0,0,0,3,1,2,6,0,0,0,1,0,4,0,0,0,45,0,0,0,0,0,0
2022-11-01T21,153,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,0,30,1,0,0,0,3,0,7,8,0,0,0,0,0,3,0,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,2,6,0,0,0,1,0,0,1,0,0,27,0,0,0,1,0,0
2022-11-01T22,158,2,0,0,0,0,0,0,12,0,1,0,0,0,0,2,0,17,1,0,0,2,1,0,0,0,22,1,0,0,0,4,0,6,7,0,0,2,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,15,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,2,6,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0
2022-11-01T23,147,5,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,22,1,0,0,3,3,0,0,0,12,2,0,0,0,2,0,3,9,0,0,0,0,0,1,0,0,0,0,6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,6,0,0,0,1,0,0,0,0,0,43,0,1,0,1,0,0
2022-11-02T00,130,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,4,0,0,0,0,10,1,0,0,0,1,0,2,4,0,0,0,0,0,1,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,6,0,0,0,1,0,0,0,0,1,64,0,1,0,0,0,0
2022-11-02T01,102,2,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,16,0,0,0,6,0,0,0,0,6,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,5,0,0,0,2,0,1,2,0,0,33,0,0,0,0,0,0
2022-11-02T02,104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,0,0,0,5,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,6,0,0,0,2,0,0,1,0,0,57,0,0,0,1,0,0
2022-11-02T03,97,3,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,5,2,0,0,7,0,0,0,0,3,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,5,0,1,0,3,0,0,0,0,0,46,0,0,0,1,0,0
2022-11-02T04,78,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,6,1,0,0,0,5,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,1,7,0,0,0,2,0,1,1,0,0,26,0,0,0,0,0,0
2022-11-02T05,71,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,4,1,0,0,0,5,1,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,5,0,0,0,4,0,0,2,0,0,21,0,0,0,0,0,0
2022-11-02T06,187,2,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,8,1,0,0,2,3,1,1,1,8,1,0,0,0,2,0,5,15,0,0,1,0,1,1,2,1,0,0,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,2,0,0,0,1,0,0,3,0,6,1,3,8,0,1,0,4,0,1,0,0,0,78,0,0,0,0,2,1
2022-11-02T07,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,7,1,0,0,0,1,0,3,3,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,9,0,0,0,1,0,1,1,1,0,30,0,0,0,0,0,0
2022-11-02T08,133,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,6,0,0,0,0,10,1,0,0,0,2,0,3,3,0,0,1,0,0,0,0,0,2,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,11,0,0,0,1,0,0,4,0,0,56,0,1,0,0,0,0
2022-11-02T09,88,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,9,1,0,0,0,1,0,6,3,0,0,3,0,1,0,0,0,4,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,1,12,0,0,0,2,0,0,0,0,0,22,0,0,0,1,0,0
2022-11-02T10,144,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,11,1,0,0,0,2,0,13,6,0,0,5,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,8,0,0,0,3,0,0,1,0,0,53,0,0,0,0,0,0
2022-11-02T11,108,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,0,0,13,1,0,0,0,4,0,1,3,0,0,3,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,8,0,0,0,4,0,0,6,0,0,19,0,0,0,0,0,0
2022-11-02T12,155,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,1,0,1,25,0,0,0,0,9,1,0,0,0,3,1,2,4,0,0,6,0,0,0,1,0,1,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,5,14,0,0,0,10,0,0,5,0,0,29,0,0,0,0,0,0
2022-11-02T13,145,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,10,1,0,0,0,1,0,2,4,0,0,2,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,4,10,0,0,0,19,0,1,8,0,0,33,0,0,0,0,0,0
2022-11-02T14,132,2,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,0,0,20,0,0,0,0,6,1,1,0,0,2,0,4,7,0,0,3,0,0,1,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,1,0,1,0,1,0,0,1,0,3,0,2,7,0,0,0,17,0,1,7,0,0,20,0,0,0,0,0,0
2022-11-02T15,169,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,20,2,0,0,1,3,0,4,4,0,0,2,1,0,0,0,0,0,1,8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,2,1,1,0,1,0,0,0,1,5,0,2,6,0,0,0,13,0,1,6,0,0,39,0,0,0,1,0,0
2022-11-02T16,197,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,6,1,0,0,10,0,0,0,0,33,1,0,0,0,2,0,14,6,0,0,4,1,1,0,0,0,0,0,12,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,14,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,8,0,0,0,18,0,2,2,0,0,40,1,0,0,1,0,0
2022-11-02T17,175,3,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,6,1,0,0,11,0,0,0,0,43,1,0,0,0,4,0,7,5,0,0,3,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6,6,0,1,0,11,0,0,2,0,0,29,0,0,0,0,0,0
2022-11-02T18,153,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,6,2,0,0,3,0,0,0,1,39,1,0,0,0,5,0,5,9,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,10,1,0,0,0,2,0,2,0,0,0,0,0,0,3,0,3,5,0,0,0,10,0,0,3,0,0,22,0,0,0,1,0,0
