bucket,total,--,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CY,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GR,GY,HK,HU,ID,IE,IL,IN,IR,IT,JM,JP,KR,KZ,LA,LT,MK,MO,MQ,MX,MY,NL,NO,NZ,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SE,SG,SK,SY,TH,TR,TW,UA,US,UY,VN,ZA,ZW
2022-06-19T17,208,2,2,1,0,0,0,0,0,2,0,0,1,0,6,0,0,0,13,0,0,39,0,0,0,0,0,6,0,0,10,12,0,0,6,0,0,1,0,2,0,13,0,1,0,0,1,0,2,0,0,1,1,5,0,0,1,0,0,0,1,0,0,0,0,10,0,3,8,0,0,8,1,5,0,44,0,0,0,0
2022-06-19T18,188,3,0,2,0,0,1,0,0,2,0,0,1,0,2,2,0,0,16,0,0,36,0,0,0,0,0,7,0,0,5,14,0,0,7,0,0,1,1,1,0,11,0,0,0,0,1,1,0,0,0,0,3,13,1,0,1,0,1,0,0,0,0,2,0,7,0,1,7,0,0,7,4,7,0,19,0,1,0,0
2022-06-19T19,195,1,0,2,0,0,0,0,0,2,0,0,2,0,3,1,0,0,18,1,0,29,0,0,1,0,0,6,1,0,7,14,0,0,1,0,0,2,0,0,0,15,0,1,0,0,0,0,0,0,0,0,3,17,2,0,0,0,2,0,0,0,0,0,0,6,1,1,7,0,0,8,4,5,0,32,0,0,0,0
2022-06-19T20,188,3,0,0,1,0,0,0,0,0,1,0,1,0,4,1,0,0,13,1,0,27,0,0,0,1,0,3,1,1,9,6,0,0,2,0,1,1,0,0,0,18,0,6,0,0,0,0,0,0,0,1,0,17,0,0,0,0,2,0,0,0,0,0,0,3,0,2,7,0,1,9,1,5,0,38,0,0,1,0
2022-06-19T21,151,1,0,0,0,1,0,0,0,1,0,1,3,0,5,1,0,0,17,1,0,18,1,0,0,0,0,2,0,0,6,11,0,0,1,0,0,0,0,1,0,14,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,2,7,0,0,4,0,4,0,31,0,0,1,0
2022-06-19T22,132,1,2,1,1,1,0,0,0,1,0,1,0,0,3,2,0,1,16,1,0,7,0,0,0,0,1,3,0,0,6,7,0,0,2,1,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,5,0,1,7,0,0,10,0,2,0,28,0,0,0,0
2022-06-19T23,110,1,0,1,0,0,0,0,0,2,0,0,1,0,5,1,0,0,16,0,0,7,0,0,0,0,0,2,0,0,3,6,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,6,0,1,8,0,0,3,0,1,0,36,0,0,0,0
2022-06-20T00,110,1,0,0,1,0,0,1,0,0,0,0,3,0,4,0,1,0,18,0,0,4,0,1,0,0,0,1,0,0,2,4,0,0,1,0,1,1,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,5,0,1,7,0,0,1,0,2,0,35,0,0,0,0
2022-06-20T01,123,2,1,0,2,0,0,0,0,0,0,0,1,0,9,0,1,0,15,0,0,3,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,1,8,0,0,0,0,1,0,59,0,1,0,0
2022-06-20T02,92,1,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,13,1,0,2,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,4,0,1,6,0,0,0,1,2,0,36,0,0,0,0
2022-06-20T03,98,1,0,0,1,0,0,0,0,0,1,0,2,0,4,0,0,0,16,0,0,7,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,1,0,7,0,1,6,0,0,0,0,4,0,28,0,0,0,0
2022-06-20T04,112,1,1,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,14,0,0,4,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,2,3,0,0,0,0,0,0,0,0,4,0,1,5,0,0,1,0,3,0,51,0,0,0,0
2022-06-20T05,103,3,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,3,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,2,0,1,6,0,0,2,0,2,0,42,0,0,0,0
2022-06-20T06,112,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,12,1,0,0,0,0,1,0,0,3,4,0,0,3,0,1,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,1,0,0,0,0,5,0,1,6,0,0,4,1,3,0,22,0,0,0,0
2022-06-20T07,208,2,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,6,2,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0,0,0,1,0,0,91,0,2,8,0,0,4,0,5,1,46,0,1,0,0
2022-06-20T08,109,2,0,0,3,0,0,0,0,2,0,0,3,0,0,0,0,0,9,0,0,11,0,0,0,0,0,2,0,0,6,4,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,3,0,2,8,0,1,0,1,0,0,0,0,5,0,1,5,0,0,2,1,6,0,23,0,0,1,0
2022-06-20T09,118,1,1,0,6,0,0,0,1,1,0,0,2,0,1,0,0,0,17,0,0,13,0,0,0,0,0,2,0,0,5,8,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,1,0,0,0,0,4,1,2,6,0,0,1,0,5,0,22,0,3,0,0
2022-06-20T10,112,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,8,0,0,0,0,1,1,0,0,3,15,0,0,2,0,1,0,0,2,0,3,0,1,4,0,0,0,0,0,1,0,0,5,0,0,2,0,1,0,0,0,0,0,0,7,1,2,6,0,0,1,0,4,0,19,1,1,0,0
2022-06-20T11,104,1,0,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,11,0,0,12,0,0,0,0,0,4,0,0,2,6,0,0,0,1,1,0,0,1,0,2,0,1,2,0,0,0,0,0,1,0,0,8,0,0,2,0,1,0,0,0,0,0,0,6,0,1,7,0,0,1,1,6,0,19,1,0,0,0
2022-06-20T12,77,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,0,0,9,0,0,0,0,0,2,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,3,0,2,6,0,0,5,0,12,0,8,0,1,0,0
