bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CU,CZ,DE,DK,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KR,KZ,LK,LT,LU,MA,MC,MD,MK,MN,MO,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PL,PR,PT,RO,RS,RU,RW,SE,SG,SK,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2022-04-03T16,285,1,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,7,3,0,0,14,0,0,0,57,1,0,7,0,23,14,0,20,0,1,0,0,0,0,0,26,5,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,13,0,0,0,0,1,2,0,1,2,0,4,0,8,6,0,15,0,7,1,0,32,0,0,0,2,0
2022-04-03T17,295,2,0,0,0,1,1,0,0,2,0,0,1,0,0,3,0,0,17,3,0,0,7,0,0,0,69,0,0,12,0,17,18,0,18,0,1,0,0,1,0,0,23,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,2,2,0,1,2,0,3,0,5,6,0,18,0,6,0,0,31,0,0,0,1,0
2022-04-03T18,265,1,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,18,2,0,0,7,0,0,0,69,0,0,11,0,11,17,1,8,0,1,1,0,3,0,0,11,4,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,20,1,0,0,0,0,2,0,1,1,0,6,0,4,6,0,12,0,3,2,0,31,0,0,0,1,0
2022-04-03T19,221,1,0,0,0,0,0,0,0,0,0,0,3,1,0,5,1,0,23,3,0,0,5,0,0,0,35,0,0,11,0,12,11,0,3,0,0,0,0,1,0,0,9,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,17,1,0,0,1,0,2,0,3,4,0,2,0,3,5,0,6,0,2,0,0,44,0,0,0,0,0
2022-04-03T20,216,0,0,0,0,0,0,0,0,1,0,0,2,1,0,4,1,0,10,4,2,0,6,0,0,0,42,0,0,6,0,8,17,0,3,0,0,0,0,1,0,0,24,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,0,1,0,1,0,2,3,0,5,0,2,7,0,6,1,2,0,0,31,0,0,0,5,0
2022-04-03T21,180,1,0,0,0,1,1,0,0,1,0,0,1,0,1,5,1,0,10,1,0,0,9,0,0,0,21,0,0,2,0,11,13,1,2,0,1,0,1,2,0,0,26,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,1,0,1,0,0,9,1,1,5,0,2,0,2,0,0,32,0,0,0,1,1
2022-04-03T22,138,2,0,0,0,0,3,0,0,0,0,0,1,0,0,5,1,0,12,1,0,0,5,0,0,0,15,0,0,1,0,6,8,0,1,0,2,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,7,0,0,6,0,1,1,1,1,0,36,0,0,0,1,1
2022-04-03T23,115,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,7,0,0,0,13,0,0,1,0,6,6,0,1,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,4,0,0,5,0,1,0,1,1,0,36,0,0,0,2,1
2022-04-04T00,124,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14,1,0,0,6,0,1,0,5,0,0,0,0,2,9,0,2,0,1,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,1,2,0,4,0,1,6,0,3,0,1,1,0,42,0,0,0,1,0
2022-04-04T01,122,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,9,0,1,0,5,0,0,1,0,2,3,0,4,0,0,0,0,1,1,0,1,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,6,0,2,0,1,1,0,49,0,0,0,0,0
2022-04-04T02,122,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,11,1,0,0,16,0,1,0,5,0,0,0,0,2,1,0,16,0,0,0,0,1,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,5,1,0,7,0,2,1,1,0,0,37,0,0,0,0,0
2022-04-04T03,114,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,10,0,0,0,12,2,1,0,4,1,0,0,0,1,1,0,10,0,0,0,0,2,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,2,2,2,0,0,33,0,0,0,1,0
2022-04-04T04,117,0,0,0,0,2,0,4,1,0,0,0,0,0,0,2,1,0,10,1,0,0,6,0,0,0,4,0,0,0,0,3,3,0,10,0,0,0,0,2,1,0,1,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,4,0,0,6,0,2,2,3,1,0,31,1,0,0,1,0
2022-04-04T05,125,0,0,0,0,2,0,2,1,0,0,0,0,0,0,4,1,0,5,1,0,0,10,0,0,0,6,0,1,0,0,2,2,0,13,0,0,0,0,1,0,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,2,0,0,0,1,0,3,0,0,5,0,6,3,2,0,0,32,0,0,0,1,0
