bucket,total,--,AD,AE,AR,AT,AU,BA,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KH,KR,KZ,LB,LK,LT,LU,LY,MA,MK,MM,MO,MT,MX,MY,MZ,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,QA,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,VE,VI,VN,ZA,ZW
2022-02-20T13,205,2,0,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,18,0,0,0,67,0,0,0,0,1,0,2,0,0,8,5,0,0,0,0,6,0,1,1,0,0,1,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,4,7,0,0,0,8,0,1,0,3,0,2,19,0,0,0,1,0,0
2022-02-20T14,270,1,0,0,0,2,0,0,2,0,0,0,0,5,5,0,0,0,13,0,0,0,74,2,0,0,0,0,0,3,0,1,13,13,1,0,0,0,17,0,1,0,3,0,0,1,0,0,15,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,24,1,0,1,0,4,0,0,0,0,0,0,0,0,0,3,0,0,7,9,0,0,0,9,0,2,0,11,0,0,22,0,0,0,1,0,0
2022-02-20T15,297,4,0,0,0,2,0,0,2,1,0,1,0,6,6,0,0,0,19,1,0,0,66,1,0,0,0,0,0,2,0,1,15,18,0,0,0,0,6,0,0,0,1,0,0,2,0,0,19,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,5,0,3,0,1,0,0,0,3,0,7,0,0,10,8,0,0,0,9,0,3,0,6,0,2,33,0,0,0,0,0,0
2022-02-20T16,300,1,0,0,0,1,1,0,4,2,0,1,0,6,1,0,0,0,19,0,0,0,82,0,0,0,0,0,0,4,0,0,21,17,0,0,0,0,6,0,1,0,0,0,0,2,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,3,0,3,0,4,0,0,1,2,1,9,0,0,6,5,0,0,0,7,1,2,0,3,0,3,39,0,0,0,0,0,0
2022-02-20T17,325,1,0,1,0,1,1,1,2,2,0,1,0,9,2,0,0,0,10,0,0,0,87,0,0,0,0,0,0,12,0,0,27,25,0,0,0,0,2,0,0,2,0,0,1,1,0,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,16,2,0,0,0,3,0,2,0,4,0,0,0,0,0,8,0,0,9,6,0,0,0,5,0,2,0,1,0,2,40,0,0,0,0,0,0
2022-02-20T18,280,1,0,2,0,1,0,1,5,1,0,2,0,14,1,0,0,0,13,0,0,0,92,0,0,0,0,0,0,10,0,0,14,15,0,0,0,0,1,0,0,2,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,13,3,0,0,0,2,0,0,0,2,0,0,0,1,0,3,0,0,5,6,0,0,0,6,0,1,0,1,0,1,37,0,0,0,0,0,0
2022-02-20T19,307,1,0,0,0,2,0,1,4,1,0,3,0,14,3,0,0,0,9,0,0,0,109,0,0,0,0,0,0,8,0,0,9,24,0,0,0,0,1,0,0,1,0,0,0,1,1,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,27,1,0,0,0,2,1,2,0,1,0,0,0,1,0,4,0,0,4,6,0,0,0,5,0,2,0,2,0,0,37,0,0,0,2,0,0
2022-02-20T20,263,2,0,0,1,3,0,1,3,1,0,2,0,11,1,0,0,0,9,0,0,0,69,0,0,0,0,0,0,3,0,0,10,19,0,0,0,0,1,0,0,2,0,1,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,1,0,0,0,1,0,1,0,2,0,0,0,3,0,5,0,0,0,7,0,0,0,7,0,1,0,0,0,1,42,0,0,0,0,0,0
2022-02-20T21,239,2,0,0,0,0,0,1,0,0,1,3,0,14,2,0,0,0,11,0,0,0,59,1,0,0,0,0,0,6,0,0,8,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,21,2,1,0,0,0,1,0,0,1,0,0,0,1,0,6,0,0,2,6,0,0,0,4,0,0,0,0,0,0,40,0,0,0,1,0,0
2022-02-20T22,209,1,0,0,0,0,1,0,1,0,0,2,0,7,2,0,0,0,24,0,0,0,39,0,0,0,0,0,0,5,0,0,7,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,12,1,0,0,0,0,1,2,0,2,0,0,0,0,0,3,0,0,0,6,0,0,0,4,0,0,0,1,0,1,45,1,0,0,0,0,0
