bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KR,KZ,LK,LT,LU,MC,MD,MG,MK,MM,MO,MQ,MX,MY,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SE,SG,SK,SN,TH,TR,TW,TZ,UA,US,UY,VE,VI,VN,ZA
2022-03-27T00,159,0,0,1,1,0,0,0,0,0,0,1,0,7,0,0,0,12,0,0,18,0,0,0,3,0,5,7,0,0,0,2,0,0,0,0,0,0,0,0,7,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,1,0,0,2,0,0,2,7,0,0,6,0,2,0,0,49,1,0,0,1,1
2022-03-27T01,136,0,0,0,0,3,0,0,0,0,0,1,0,12,0,1,0,16,0,0,11,0,0,0,3,0,2,3,0,0,0,4,0,0,2,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1,0,1,1,0,0,2,1,0,1,6,0,0,5,0,3,0,1,38,0,0,0,0,0
2022-03-27T02,128,3,0,0,0,4,0,0,0,0,0,2,0,12,0,2,0,15,0,0,5,1,0,0,2,0,4,3,1,0,0,8,0,0,1,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,1,1,0,3,0,0,0,4,0,0,1,6,0,0,1,0,2,0,0,31,0,0,0,1,0
2022-03-27T03,119,2,0,1,1,1,0,0,0,0,0,2,0,7,0,1,0,18,0,0,4,0,0,0,2,0,2,2,0,0,0,6,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,2,0,0,1,0,1,0,3,1,0,1,7,0,1,2,1,4,0,0,31,0,0,0,1,0
2022-03-27T04,112,2,1,1,0,0,0,0,0,0,0,1,0,5,0,0,0,16,0,0,3,0,0,0,3,0,1,3,0,0,0,11,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,4,1,0,1,8,0,1,1,0,2,0,0,40,0,0,0,0,0
2022-03-27T05,115,3,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,18,0,0,3,0,0,0,1,0,3,3,0,0,0,10,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7,0,1,4,0,5,0,1,35,0,0,0,0,0
2022-03-27T06,137,6,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,11,0,0,8,0,0,0,1,1,1,2,0,0,0,11,0,0,1,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,2,0,2,2,1,4,8,0,0,2,0,8,0,0,43,0,0,0,0,0
2022-03-27T07,123,1,0,0,0,1,0,0,2,1,0,0,0,3,2,0,0,10,0,1,6,0,0,0,2,0,3,2,0,0,0,14,0,0,3,1,2,1,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6,12,0,0,1,0,4,0,0,27,0,0,0,0,0
2022-03-27T08,138,2,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,18,0,0,0,1,0,6,2,0,0,0,14,0,0,1,0,1,1,0,0,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,1,0,5,9,0,0,4,0,3,0,0,27,0,0,0,0,0
2022-03-27T09,157,0,0,1,2,0,0,0,0,0,0,1,0,3,1,0,0,10,0,1,28,0,0,0,5,0,10,7,0,0,0,13,0,0,0,1,1,1,0,0,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,3,0,0,2,6,0,0,9,1,3,0,0,28,0,0,0,1,0
2022-03-27T10,136,1,0,0,1,0,0,0,0,1,0,2,0,2,2,0,0,9,0,0,26,0,0,0,5,0,7,4,0,0,0,12,0,0,0,0,1,1,0,0,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,7,0,0,6,0,4,0,0,22,0,0,0,0,0
2022-03-27T11,145,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,11,0,0,25,0,0,0,3,0,7,6,0,0,0,14,0,0,0,2,0,0,0,1,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2,9,0,0,4,0,8,0,0,18,0,0,0,1,0
2022-03-27T12,165,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,14,1,0,20,2,0,0,2,1,9,10,0,0,0,22,0,0,0,1,0,1,1,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,1,0,1,3,0,0,2,0,0,1,12,0,0,6,1,4,0,0,18,0,0,0,0,0
2022-03-27T13,174,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,19,1,0,25,1,0,0,1,0,12,7,0,0,0,22,0,0,0,0,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,1,0,1,3,0,0,2,0,0,5,9,0,0,9,0,4,0,0,19,0,0,0,0,0
2022-03-27T14,216,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,15,0,0,38,0,0,0,4,0,6,9,0,0,0,24,0,0,1,0,0,2,1,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,3,0,3,3,0,0,2,1,0,12,10,0,0,15,1,6,0,0,23,0,0,1,0,0
2022-03-27T15,267,0,0,0,1,0,0,1,0,0,0,2,0,6,2,0,0,18,0,1,53,0,0,0,6,0,11,12,0,0,0,17,1,1,0,2,1,4,1,0,22,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,8,1,0,0,0,0,4,0,3,0,1,0,8,0,0,7,10,0,0,18,2,5,0,0,29,0,0,0,0,0
2022-03-27T16,284,1,0,0,0,0,1,1,0,0,0,1,0,7,1,0,0,20,1,1,54,0,0,0,8,0,15,14,0,0,0,12,0,0,0,0,0,3,2,0,29,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,1,0,0,0,0,6,0,2,2,1,1,6,0,0,4,10,0,0,17,0,4,0,0,35,0,0,0,5,0
2022-03-27T17,262,0,0,0,0,0,1,1,1,0,0,1,0,10,2,0,0,8,1,0,66,1,0,0,9,0,12,9,0,0,0,3,0,0,0,0,1,1,1,0,21,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,2,1,0,0,4,0,0,10,5,0,0,14,1,4,0,0,40,0,0,0,0,0
2022-03-27T18,287,1,0,2,1,0,1,0,1,0,0,5,0,15,4,0,0,11,0,1,63,1,0,0,10,0,11,17,1,0,0,5,0,1,1,0,1,2,0,0,8,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,27,0,0,0,0,0,1,1,3,3,1,0,4,1,0,6,6,0,0,5,0,5,0,0,46,0,1,0,1,0
