bucket,total,--,AE,AL,AR,AT,AU,BA,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,LA,LT,LU,LV,LY,MD,MK,ML,MO,MU,MV,MX,MY,NL,NO,NP,NZ,PE,PH,PL,PT,PY,RO,RU,RW,SE,SG,SI,SK,TH,TR,TW,UA,US,UY,VN
2022-01-02T17,285,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,5,0,0,0,72,0,0,0,11,0,24,16,0,1,1,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,2,1,0,1,5,0,6,5,0,0,20,0,6,1,37,0,0
2022-01-02T18,269,0,0,0,1,2,0,3,4,0,0,0,0,9,1,0,8,0,0,0,73,1,0,0,9,0,14,14,0,1,0,0,0,0,2,0,0,1,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,1,3,2,0,0,4,0,3,7,0,0,3,1,3,0,36,0,0
2022-01-02T19,286,0,0,0,2,2,0,1,4,0,0,1,0,12,5,0,6,0,0,0,61,1,0,0,9,0,12,18,0,1,1,1,2,0,0,1,0,0,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,1,3,0,0,0,6,0,4,7,0,0,2,1,4,0,50,0,1
2022-01-02T20,258,0,0,0,1,1,0,0,3,0,0,0,0,16,2,0,6,0,0,0,58,1,0,0,7,0,10,20,0,1,0,0,1,0,0,0,0,0,23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,1,3,0,0,1,6,0,4,6,0,0,2,1,3,0,44,0,0
2022-01-02T21,248,0,0,0,0,1,1,0,1,0,0,0,0,20,2,1,12,0,0,1,63,1,0,0,1,0,11,13,0,1,0,0,0,0,3,0,0,0,31,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,2,1,0,0,5,0,4,7,0,0,2,0,2,0,31,1,0
2022-01-02T22,195,0,0,0,2,0,2,0,1,0,0,0,0,14,0,0,7,0,0,1,39,0,0,0,2,1,8,14,0,1,0,0,0,0,3,0,2,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,1,0,0,4,0,2,8,1,1,2,0,1,0,33,0,0
2022-01-02T23,157,0,0,0,0,0,3,0,0,0,0,1,0,8,0,0,9,0,0,0,24,0,0,0,0,0,10,10,0,0,0,0,0,0,1,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1,3,0,0,3,0,2,6,0,0,5,0,2,2,38,0,0
2022-01-03T00,153,0,0,0,0,1,0,0,1,0,1,0,0,17,0,0,7,0,0,0,15,0,0,0,1,0,8,8,0,0,1,0,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,3,0,2,7,0,0,2,0,1,1,61,0,0
2022-01-03T01,133,0,0,0,0,1,2,0,0,0,0,0,0,22,0,0,7,0,0,0,14,0,0,0,2,0,6,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,5,0,2,7,0,0,0,0,2,0,43,0,0
2022-01-03T02,132,0,0,0,0,0,4,0,0,0,0,2,0,25,0,0,10,0,0,0,6,0,0,0,0,0,6,4,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,2,9,0,0,1,0,1,0,42,1,0
2022-01-03T03,134,1,0,0,1,0,2,0,0,0,0,0,0,13,0,0,13,0,0,0,6,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,2,8,0,0,5,0,2,0,50,0,0
2022-01-03T04,116,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,6,0,0,0,4,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,3,0,0,0,0,0,0,4,0,2,8,0,0,5,0,1,0,51,0,0
2022-01-03T05,97,0,0,0,1,0,3,0,0,0,0,1,0,9,1,0,13,0,0,0,5,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,9,0,2,6,0,0,1,0,1,0,25,0,0
2022-01-03T06,84,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,10,0,0,0,8,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,0,2,0,3,9,0,0,5,0,1,2,23,0,0
2022-01-03T07,90,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,10,0,0,0,6,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,0,0,4,0,3,6,0,0,1,0,2,0,25,0,0
2022-01-03T08,106,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,14,0,0,0,12,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,7,0,2,8,0,0,5,0,3,0,22,0,5
2022-01-03T09,143,2,0,0,0,1,0,0,1,0,0,1,1,4,0,1,19,0,0,0,20,0,0,0,3,0,9,2,0,0,0,0,0,0,0,0,0,0,5,3,0,6,0,0,0,0,0,1,0,0,0,0,0,0,2,15,0,0,0,0,1,2,0,0,0,5,0,4,7,0,0,6,0,2,3,17,0,0
2022-01-03T10,138,0,0,0,0,2,1,0,0,0,0,2,0,3,0,0,8,0,0,0,22,1,0,0,1,0,9,7,0,0,1,0,1,0,0,2,3,0,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,12,0,0,0,0,1,0,0,0,1,9,1,4,10,0,0,3,0,2,0,20,0,0
2022-01-03T11,139,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,11,0,0,0,29,0,0,0,1,0,5,10,0,1,2,0,0,0,0,0,1,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,13,0,0,0,0,1,0,1,0,0,4,0,3,8,0,0,3,0,8,0,15,0,0
2022-01-03T12,157,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,11,0,0,0,27,0,0,0,1,0,6,9,0,0,3,0,0,0,0,0,0,0,6,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,21,1,0,0,0,1,2,0,0,0,3,0,4,8,0,0,10,0,13,0,20,0,0
2022-01-03T13,149,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,32,0,0,0,2,0,4,9,0,0,4,0,0,0,0,1,1,0,9,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,20,2,0,0,0,1,1,0,0,0,4,0,4,7,0,0,12,0,6,1,15,0,0
2022-01-03T14,192,1,0,0,0,0,0,0,2,0,0,0,0,7,3,0,6,0,0,1,35,0,0,0,0,0,7,18,0,0,4,0,0,0,0,0,2,0,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,2,3,0,0,0,5,0,2,7,0,0,10,0,10,0,17,0,0
2022-01-03T15,209,1,0,0,0,2,1,0,2,0,0,1,0,5,2,0,5,0,0,0,49,0,0,0,0,0,11,13,0,0,2,0,2,1,1,0,1,0,14,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,2,2,1,0,0,5,0,4,6,0,0,4,0,7,0,24,0,0
2022-01-03T16,238,1,0,0,0,1,0,0,1,0,0,1,0,8,3,0,1,0,0,0,63,0,0,0,1,0,11,21,0,0,1,0,0,1,1,0,0,0,24,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,27,0,0,0,0,0,3,1,0,1,5,0,3,6,0,0,6,0,7,1,35,0,0
2022-01-03T17,329,0,0,2,0,0,0,0,0,0,0,1,0,11,1,0,4,0,0,0,123,0,0,0,9,1,15,16,0,0,2,1,1,1,1,0,0,0,32,8,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,28,1,0,0,0,1,8,1,0,1,3,0,3,7,0,0,8,0,4,1,28,0,1
2022-01-03T18,369,0,0,2,1,1,0,0,2,0,0,1,0,11,2,0,4,0,0,1,132,0,0,0,14,0,13,19,1,1,1,0,0,1,0,0,0,0,28,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,3,0,0,0,1,6,0,0,3,5,0,8,6,0,0,5,1,2,0,31,0,0
