bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KZ,LK,LT,LV,LY,MA,ME,MK,MM,MO,MW,MX,MY,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RE,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SY,TH,TN,TR,TW,UA,US,UY,UZ,VE,VI,VN,ZA,ZM,ZW
2022-07-24T13,134,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,1,0,0,0,16,0,0,0,0,0,1,0,0,13,5,0,0,0,11,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,3,8,0,0,0,5,0,0,5,0,34,0,0,0,0,0,1,0,0
2022-07-24T14,158,1,1,1,1,0,1,0,0,0,0,0,4,0,0,5,0,0,0,7,1,0,0,0,18,0,0,0,0,0,3,0,0,6,7,0,0,0,5,0,1,1,11,1,3,0,0,11,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,4,8,0,0,0,6,0,0,5,1,25,0,0,0,0,0,0,0,0
2022-07-24T15,162,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4,0,0,0,4,0,0,0,0,26,0,0,0,0,0,4,0,0,16,8,0,0,0,4,0,1,0,0,1,3,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,2,12,0,0,0,11,0,1,5,0,27,0,0,0,0,1,0,0,0
2022-07-24T16,175,3,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,2,0,4,0,0,0,0,21,2,0,0,0,0,1,0,0,16,10,0,0,0,0,0,1,1,0,1,7,0,1,13,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,7,0,0,0,7,0,0,3,0,38,0,0,0,0,0,0,0,0
2022-07-24T17,172,2,0,0,1,0,0,0,0,1,0,0,1,0,0,5,1,2,0,1,0,0,0,0,17,1,0,0,0,0,4,0,0,15,14,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,1,0,0,1,0,3,0,0,0,1,0,5,1,0,0,3,8,0,0,0,6,0,0,1,1,56,0,0,0,0,0,0,0,0
2022-07-24T18,178,1,0,0,1,1,1,0,0,3,0,0,1,0,0,4,2,3,0,7,1,0,0,0,23,0,0,0,0,0,2,0,0,14,9,0,0,0,0,0,0,0,0,0,3,0,0,7,0,7,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,8,0,0,0,4,6,0,0,0,7,0,0,1,0,45,0,0,0,0,0,0,0,0
2022-07-24T19,166,2,0,0,2,1,0,0,0,1,0,0,4,0,0,2,3,1,0,13,1,0,0,1,23,0,0,0,0,0,2,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,6,7,0,0,0,7,0,1,1,0,42,0,0,0,0,0,0,0,0
2022-07-24T20,153,2,0,0,0,2,0,0,0,0,0,0,5,0,0,3,2,0,0,6,1,0,0,1,19,0,0,0,0,0,2,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,1,0,0,3,5,0,0,0,3,0,2,0,0,37,0,0,1,0,2,0,0,0
2022-07-24T21,149,1,0,0,0,0,1,0,0,0,0,0,2,0,0,4,1,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,7,0,0,0,4,9,0,0,0,5,0,1,2,0,43,0,0,0,0,1,0,0,0
2022-07-24T22,110,2,0,0,1,0,1,0,0,0,0,0,2,0,0,10,0,0,0,7,0,0,0,0,10,0,0,0,0,0,1,0,0,7,4,0,1,0,1,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,6,0,0,0,1,0,1,2,0,32,0,0,0,0,1,0,0,0
2022-07-24T23,110,1,0,0,0,0,1,0,0,0,0,0,4,0,1,11,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,9,0,0,0,0,0,0,2,0,35,0,0,0,0,2,0,0,0
2022-07-25T00,131,1,0,0,0,1,0,0,0,0,0,0,2,0,0,15,0,0,1,10,0,0,0,0,6,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,8,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,6,0,0,0,2,5,0,0,0,0,0,0,1,0,50,0,0,0,0,0,0,0,0
2022-07-25T01,122,2,0,0,0,0,2,0,0,0,0,0,2,0,0,19,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,5,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,3,0,0,0,2,7,0,0,0,1,0,0,2,1,42,0,0,0,0,0,0,0,0
2022-07-25T02,81,2,0,0,0,0,2,0,0,0,0,0,3,0,0,7,0,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,0,2,7,0,0,0,1,0,0,2,1,31,0,0,0,0,0,0,0,0
2022-07-25T03,119,0,1,0,2,0,10,0,0,0,0,0,1,0,0,7,0,0,0,10,1,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,7,0,0,0,4,0,0,4,0,53,0,0,0,0,0,0,0,0
2022-07-25T04,95,2,0,0,0,0,1,0,0,0,0,0,5,0,0,6,0,0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,4,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,7,0,0,0,3,0,1,3,0,28,0,0,1,0,0,0,0,0
2022-07-25T05,63,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7,0,0,0,0,0,0,1,0,16,0,0,1,0,0,0,0,0
2022-07-25T06,109,2,0,0,1,0,1,0,0,0,0,0,5,0,0,4,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,7,0,0,0,1,0,2,3,0,48,0,0,0,0,0,0,0,0
2022-07-25T07,87,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,5,0,0,0,0,9,0,0,1,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,3,8,0,0,0,0,0,0,2,1,22,0,0,0,0,0,0,0,0
2022-07-25T08,75,1,0,0,2,0,1,0,0,1,0,0,0,0,0,11,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,1,0,0,1,0,14,0,0,0,0,0,0,0,0
2022-07-25T09,114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,17,0,0,0,0,0,0,0,0,6,5,0,0,0,1,0,0,0,0,0,2,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,1,0,1,2,0,45,0,0,0,0,0,1,0,0
2022-07-25T10,69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,9,0,0,0,0,0,2,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,2,5,0,0,0,2,0,0,4,0,15,0,0,0,0,0,0,0,0
2022-07-25T11,93,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,8,1,0,0,0,13,1,0,0,0,0,2,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,3,6,0,0,0,3,0,0,3,0,14,0,0,0,0,0,0,0,0
2022-07-25T12,86,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,7,0,0,0,0,13,0,0,0,1,0,0,0,0,4,7,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,0,0,3,0,1,5,0,11,0,0,0,0,0,0,0,0
2022-07-25T13,126,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,9,1,0,0,0,7,0,0,0,0,0,0,0,0,7,9,0,0,0,4,0,0,0,1,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,2,9,0,0,0,15,0,1,6,0,15,0,0,0,0,0,0,0,0
2022-07-25T14,139,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,5,11,0,0,0,3,0,0,0,10,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,9,0,0,0,0,0,4,1,1,0,0,0,0,0,2,0,7,0,0,0,3,6,0,0,0,14,0,0,7,0,24,0,0,0,0,1,0,0,0
2022-07-25T15,160,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,6,1,0,0,0,24,1,0,0,1,0,0,0,0,6,17,0,0,0,0,0,0,0,0,0,8,0,0,4,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,3,7,0,0,0,14,0,0,0,1,36,0,0,0,0,0,0,0,1
2022-07-25T16,119,0,0,0,0,1,0,0,0,0,0,0,4,0,0,5,2,0,0,3,0,0,0,1,25,0,0,0,0,0,3,0,0,4,13,0,0,0,1,0,1,0,0,0,1,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,4,0,3,0,0,0,3,7,0,0,0,6,0,1,3,0,13,0,0,0,0,0,0,0,0
2022-07-25T17,161,0,0,0,0,1,1,0,0,1,0,0,2,0,0,8,3,0,0,3,0,0,0,0,36,0,0,0,0,0,4,0,0,4,5,0,0,0,0,0,2,0,0,0,0,0,0,10,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,2,0,2,0,0,0,2,0,6,0,0,0,4,6,0,0,0,5,0,1,1,0,36,0,0,0,0,0,0,0,0
2022-07-25T18,155,1,0,0,0,0,0,0,0,3,0,0,1,0,0,12,2,0,0,9,0,0,0,0,36,0,0,0,0,0,4,0,0,8,7,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,0,0,0,3,6,0,0,0,3,0,0,1,0,22,0,0,0,0,0,0,0,0
2022-07-25T19,190,0,0,0,0,1,0,0,0,3,0,0,0,0,0,9,1,0,0,9,0,0,0,0,40,0,0,0,0,0,1,0,0,7,14,0,0,0,0,0,1,1,0,0,6,0,0,10,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,2,6,0,0,0,2,0,0,1,0,36,0,0,0,0,0,0,0,0
2022-07-25T20,173,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,0,8,0,0,0,1,31,0,0,0,0,0,2,0,0,8,12,0,1,0,1,0,0,0,0,0,8,0,0,15,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,10,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,1,0,0,2,6,0,0,0,5,0,2,1,0,33,0,0,0,0,0,0,0,0
2022-07-25T21,130,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,5,0,0,0,0,27,0,0,0,0,0,1,0,0,4,11,0,1,0,0,1,0,0,0,0,3,0,0,9,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,14,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,3,7,0,0,0,3,0,1,1,0,16,0,0,0,0,0,0,0,0
2022-07-25T22,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,6,2,0,0,0,14,0,0,0,0,0,2,0,1,3,4,0,1,0,0,0,0,0,0,0,1,0,0,6,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,7,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,1,6,0,0,0,1,0,1,2,0,18,0,0,0,0,0,0,0,0
2022-07-25T23,133,0,0,0,2,0,1,0,0,0,0,0,1,0,0,11,0,0,1,5,2,0,0,0,5,0,0,0,0,0,3,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,6,1,0,0,1,6,0,0,0,1,0,1,0,0,50,0,0,0,0,0,0,0,0
2022-07-26T00,121,1,0,0,3,0,2,0,0,0,0,0,1,0,0,15,0,0,1,6,2,0,0,0,4,0,0,0,0,0,1,0,0,8,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,1,5,0,0,0,0,0,0,4,0,46,0,0,0,0,0,0,0,0
2022-07-26T01,159,1,0,0,2,0,1,0,0,0,0,0,3,0,0,19,0,0,0,12,3,0,0,0,7,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,0,1,4,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,7,0,0,0,0,0,0,4,0,70,0,0,0,0,0,0,0,0
2022-07-26T02,127,3,0,0,0,0,2,0,0,0,0,0,2,0,0,9,0,0,0,4,1,0,0,0,4,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,6,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,1,0,1,7,0,0,0,0,0,0,3,0,48,0,1,0,0,0,0,0,0
