bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,EC,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KZ,LA,LT,LU,LV,MK,MO,MQ,MT,MX,MY,MZ,NL,NO,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA
2022-05-17T18,293,2,0,0,3,0,0,0,0,0,8,0,0,1,0,8,1,0,35,0,0,0,51,0,0,0,0,8,0,10,23,0,0,0,1,0,0,0,0,1,0,5,0,10,5,0,1,0,0,0,0,0,2,0,0,1,3,1,0,22,1,0,0,0,0,3,1,0,0,2,0,8,0,0,10,8,0,0,0,6,0,2,4,0,0,1,43,0,0,0,1,1
2022-05-17T19,224,1,0,1,4,0,0,1,0,0,2,0,0,0,0,9,1,0,30,0,0,0,45,1,0,0,0,8,0,15,17,0,0,0,0,0,0,0,0,0,0,4,0,15,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,20,1,1,0,0,0,1,1,0,0,1,0,3,0,0,3,5,0,0,0,2,0,1,3,0,1,0,20,0,0,0,3,0
2022-05-17T20,279,1,0,1,1,0,0,3,0,0,2,0,0,0,0,8,3,0,14,0,0,0,43,0,0,0,0,4,0,19,13,0,0,0,2,0,0,0,1,0,0,4,0,20,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,1,0,1,1,0,0,2,0,4,0,0,4,6,0,0,0,3,0,2,4,0,2,0,78,0,0,0,1,0
2022-05-17T21,188,0,0,0,0,0,0,1,0,0,2,0,0,2,0,9,0,0,12,0,0,0,27,0,0,0,0,3,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,3,0,0,1,0,0,0,1,0,0,0,0,0,9,1,1,0,0,0,1,2,0,0,2,0,6,0,0,3,6,0,0,0,2,0,2,2,0,3,0,50,0,0,0,1,1
2022-05-17T22,161,2,0,0,0,1,0,1,0,0,2,1,0,4,0,9,1,0,10,0,0,0,17,0,0,0,0,3,0,3,8,0,0,0,0,0,0,0,0,0,0,1,0,15,6,0,2,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,4,0,0,3,7,0,0,0,0,0,1,2,0,2,0,45,0,0,0,3,0
2022-05-17T23,193,1,0,0,0,1,0,0,0,0,0,0,0,3,0,13,0,2,7,0,0,0,8,0,1,0,0,3,0,4,6,0,0,0,2,0,0,0,1,12,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,7,0,0,0,0,0,0,3,0,0,0,102,0,0,0,1,0
2022-05-18T00,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,10,0,0,0,6,0,0,1,0,1,0,2,2,0,0,0,1,0,0,0,1,2,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,2,0,0,2,7,0,0,0,1,0,0,3,0,0,0,65,0,0,0,2,0
2022-05-18T01,129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,2,10,0,0,0,4,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,4,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,2,7,0,0,0,0,0,0,5,0,0,0,57,0,0,0,1,0
2022-05-18T02,110,1,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,1,8,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,4,0,0,2,5,0,0,0,2,0,0,5,0,0,0,45,0,0,0,1,0
2022-05-18T03,146,1,0,0,0,1,0,0,0,0,0,0,0,2,0,10,0,0,17,0,0,0,5,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,8,0,0,0,1,0,0,4,0,0,0,56,0,0,0,7,0
2022-05-18T04,112,3,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,6,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,9,0,0,0,1,0,0,3,0,1,0,41,0,0,0,0,0
2022-05-18T05,90,2,0,0,0,5,0,0,0,0,0,0,0,1,0,6,0,0,5,0,0,0,7,0,0,0,0,1,0,9,2,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2,5,0,0,0,2,0,0,4,0,0,0,24,0,1,0,0,0
2022-05-18T06,136,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,10,0,0,0,0,1,0,11,1,0,0,0,4,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,4,0,0,2,5,0,0,0,3,0,0,6,0,0,0,65,0,0,0,1,0
2022-05-18T07,106,2,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,5,0,0,0,11,0,0,0,0,5,0,5,2,0,0,0,1,0,0,2,1,0,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,2,0,2,0,0,0,1,0,2,0,0,2,6,1,0,0,2,0,1,5,0,0,0,23,0,0,0,0,0
2022-05-18T08,147,3,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,26,0,0,0,17,0,0,0,0,5,0,4,2,0,0,0,2,0,0,1,0,0,1,2,0,8,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,0,0,0,0,4,0,0,1,7,1,0,0,2,0,1,7,0,0,0,35,0,0,0,0,0
2022-05-18T09,135,1,0,0,2,5,0,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,10,0,0,0,0,4,0,6,9,0,0,0,3,2,0,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,1,0,4,0,0,2,7,0,0,0,2,0,0,10,0,0,0,32,0,0,0,0,0
2022-05-18T10,161,2,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,30,0,0,0,7,0,0,0,0,2,0,5,5,0,0,0,7,1,0,0,0,0,0,7,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,4,0,1,1,0,0,0,0,6,0,0,1,7,0,0,0,4,0,2,5,0,0,0,46,0,0,0,0,0
2022-05-18T11,117,3,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,8,0,0,0,0,2,0,7,5,0,0,0,7,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,9,0,0,0,6,0,2,6,0,0,0,17,0,0,0,1,0
2022-05-18T12,140,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,12,0,0,0,7,0,0,0,0,1,0,7,3,0,0,0,12,0,0,0,0,0,1,0,0,8,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,7,0,1,0,2,0,0,0,0,0,0,0,3,0,0,1,11,0,0,0,5,0,2,19,0,0,0,26,0,0,0,0,0
2022-05-18T13,171,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,0,0,0,12,1,0,0,0,1,0,15,6,0,0,0,19,0,0,0,0,0,0,0,0,7,1,0,3,0,0,0,0,0,0,0,0,0,1,4,0,10,0,0,0,4,0,1,1,0,0,2,0,5,0,0,1,7,0,0,0,10,0,3,18,0,0,0,21,0,0,0,0,0
2022-05-18T14,168,0,0,0,2,0,0,0,0,0,0,0,0,3,0,6,0,0,15,0,0,0,23,0,0,0,0,2,0,15,9,0,0,0,12,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,11,0,3,15,0,0,0,18,0,0,0,1,0
2022-05-18T15,223,3,1,0,2,0,0,0,0,0,1,1,0,3,0,3,0,0,6,0,0,0,31,1,0,0,0,6,1,11,5,0,0,0,8,0,0,0,0,0,0,0,0,17,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0,11,0,2,0,2,0,1,0,0,0,0,0,4,1,0,2,7,0,0,0,16,0,3,12,0,0,0,52,0,0,0,1,0
2022-05-18T16,226,3,8,0,3,0,0,2,0,0,0,0,0,1,0,3,1,0,14,1,0,0,33,1,0,0,0,7,0,12,7,0,0,0,5,0,0,0,0,0,0,0,0,12,11,0,2,0,0,0,0,0,0,1,0,0,1,2,0,10,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,9,0,0,0,9,0,2,6,0,1,0,53,0,0,0,0,0
2022-05-18T17,281,2,2,0,3,0,0,2,0,0,2,0,0,3,0,5,0,0,16,0,0,0,72,1,0,0,0,10,0,5,18,0,0,0,4,0,0,1,2,14,0,1,0,10,4,0,1,1,0,0,0,0,0,0,0,0,2,2,0,10,0,0,0,1,0,0,0,0,0,1,0,6,0,0,4,10,0,0,0,6,0,3,5,0,4,0,45,0,0,0,3,0
2022-05-18T18,205,2,0,0,2,0,0,1,0,0,2,0,0,2,0,6,0,0,16,0,0,0,59,1,0,0,0,6,0,1,11,0,0,0,2,0,0,0,2,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,1,0,4,0,0,3,7,0,0,0,8,0,3,2,0,1,1,36,0,0,0,0,0
