bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,EC,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KZ,LA,LT,LU,LV,MK,MO,MQ,MT,MX,MY,MZ,NL,NO,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA
2022-05-15T15,204,1,0,1,0,14,0,1,0,0,0,0,0,2,0,4,0,0,13,0,0,0,20,0,0,0,0,4,1,7,14,0,0,0,24,0,0,0,0,0,0,4,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,2,0,0,2,0,0,1,0,4,0,0,2,5,0,0,0,16,1,2,9,0,0,0,23,0,0,0,0,1
2022-05-15T16,196,0,0,0,1,0,0,1,0,0,0,0,0,2,0,6,0,0,15,0,0,0,28,0,0,0,0,8,1,20,10,0,2,0,11,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,2,0,0,0,0,3,1,0,6,6,0,0,0,17,0,1,3,0,0,0,26,0,0,0,1,1
2022-05-15T17,232,1,0,1,1,0,0,2,0,0,2,0,0,2,0,10,2,0,24,0,0,0,27,0,0,0,0,8,0,9,11,0,0,3,11,0,0,0,2,1,0,0,0,9,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,1,0,0,1,0,4,0,0,8,6,0,0,0,12,1,1,5,0,0,0,43,0,0,0,2,0
2022-05-15T18,226,2,0,0,0,0,0,1,0,0,3,0,0,2,0,9,1,0,8,0,0,0,33,0,0,0,0,6,0,12,13,0,3,0,6,0,0,1,2,1,1,2,0,11,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,2,0,5,0,0,6,6,0,0,0,8,0,1,4,0,0,0,37,0,0,0,1,0
2022-05-15T19,207,1,0,1,0,0,0,0,0,0,2,0,0,2,0,12,1,0,13,0,0,0,29,0,0,0,0,7,0,6,13,0,0,0,3,0,0,0,2,0,1,3,0,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,1,0,0,0,1,0,2,0,0,2,6,0,0,0,5,0,2,1,0,0,0,49,0,0,0,1,0
2022-05-15T20,191,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,6,0,0,0,27,0,0,0,0,5,0,5,12,0,0,0,2,0,0,0,0,0,0,7,0,21,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,1,0,0,1,0,1,0,0,5,6,0,0,0,5,0,1,3,0,0,0,53,0,0,0,0,0
2022-05-15T21,166,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,8,0,0,0,22,0,0,0,0,3,0,10,18,0,1,0,2,0,0,0,0,0,0,5,1,15,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,1,0,0,1,0,2,0,0,1,6,0,0,0,1,0,2,3,0,0,0,35,0,0,0,0,0
2022-05-15T22,113,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,2,0,11,0,0,0,11,0,0,0,0,3,0,10,7,0,0,0,3,0,0,0,0,0,0,1,1,5,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0,23,0,0,0,3,0
2022-05-15T23,139,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,20,0,0,0,6,0,0,0,1,2,0,8,5,0,0,0,3,0,0,0,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,7,0,0,0,0,0,0,1,0,1,0,52,0,0,0,2,0
2022-05-16T00,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,27,1,0,0,5,0,0,0,0,2,0,16,9,0,0,0,5,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,0,0,1,0,2,0,54,0,0,0,4,0
2022-05-16T01,105,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,15,0,0,0,4,0,0,0,0,1,0,4,9,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,1,0,0,1,0,0,0,37,0,0,0,2,0
2022-05-16T02,159,3,0,2,0,1,0,0,0,0,0,0,0,1,0,16,0,0,22,0,0,0,6,0,0,0,0,1,0,14,2,0,1,0,5,0,1,0,2,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,9,0,0,0,0,0,1,1,0,0,0,56,0,0,0,0,0
2022-05-16T03,131,3,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,1,23,0,0,0,6,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,6,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,1,0,1,0,1,1,0,0,0,55,0,0,0,1,0
2022-05-16T04,120,3,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,18,0,1,0,3,0,0,0,0,1,0,3,4,0,0,0,2,0,0,0,1,0,0,2,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,3,0,0,0,52,0,0,0,1,0
2022-05-16T05,132,3,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,1,26,0,0,0,4,0,0,0,0,2,0,1,7,0,0,0,3,0,0,0,2,0,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,4,0,0,1,8,0,0,0,2,0,0,4,0,2,0,40,0,0,0,2,0
2022-05-16T06,95,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,17,0,0,0,7,0,0,0,0,2,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,2,0,0,1,6,0,0,0,2,0,1,1,0,1,0,22,0,0,0,0,0
2022-05-16T07,117,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,6,1,0,0,0,3,0,4,3,0,1,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,2,0,0,0,0,0,3,0,3,0,0,1,5,0,0,0,1,0,1,1,0,0,0,45,0,0,0,0,0
2022-05-16T08,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,10,0,0,0,0,2,0,6,7,0,1,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,1,0,3,0,0,2,9,0,0,0,8,0,2,3,0,0,0,17,0,0,0,1,0
2022-05-16T09,134,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,18,0,0,0,15,1,0,0,0,4,0,5,15,0,1,0,6,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,0,0,0,0,0,3,1,0,2,8,0,0,0,5,0,0,3,0,0,0,25,0,0,0,0,0
2022-05-16T10,128,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,22,1,0,0,13,1,0,0,0,2,0,4,5,0,0,0,4,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,2,0,0,1,0,0,2,0,7,0,0,2,8,0,0,0,4,0,1,7,1,0,0,19,0,0,0,0,0
2022-05-16T11,130,2,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,17,1,0,1,10,1,0,0,0,3,1,4,5,0,0,0,8,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,2,0,0,0,0,0,1,0,4,0,0,2,7,0,0,0,5,0,1,9,1,0,0,24,0,0,0,1,0
2022-05-16T12,177,1,0,0,1,2,0,0,0,0,0,0,0,0,0,7,0,0,21,0,0,0,13,1,0,0,0,2,0,6,6,0,0,0,14,0,0,0,0,0,0,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,6,0,1,0,14,0,1,14,0,0,0,41,0,0,0,1,0
2022-05-16T13,173,3,0,0,0,3,0,0,0,0,2,0,0,1,0,8,0,0,11,0,0,0,13,1,0,0,0,3,0,6,11,0,1,0,19,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,2,0,0,0,0,0,1,0,4,0,0,2,7,0,0,0,12,0,0,8,0,2,0,35,0,0,0,0,2
2022-05-16T14,171,3,0,0,1,0,0,0,0,0,0,0,0,1,0,16,1,0,8,0,0,0,15,0,0,0,0,1,0,7,9,0,0,0,8,0,0,1,0,11,0,0,0,4,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,2,0,1,0,0,0,0,0,4,0,0,2,9,0,0,0,11,0,1,9,0,0,0,31,0,0,0,1,1
2022-05-16T15,235,2,0,1,1,0,1,0,0,0,2,0,0,4,0,4,0,0,15,0,0,0,31,1,0,0,0,2,0,10,12,0,0,0,20,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,5,0,1,0,0,0,0,0,6,0,0,3,10,0,0,0,14,0,2,7,0,0,0,64,0,0,0,0,0
2022-05-16T16,182,2,0,1,1,0,0,0,0,0,1,0,0,2,0,5,1,0,14,0,0,0,33,0,0,0,0,5,3,17,6,0,0,0,11,0,0,1,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,5,0,0,0,0,0,0,0,4,0,0,2,5,0,0,0,10,0,2,4,0,0,0,23,0,0,0,4,0
2022-05-16T17,217,1,0,0,1,0,0,1,0,0,3,0,0,1,0,9,1,0,5,0,0,0,57,1,0,0,0,9,0,20,11,0,0,0,5,0,0,0,0,1,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,1,2,0,0,0,1,0,3,0,0,6,6,0,0,0,2,0,2,4,1,0,0,28,0,0,0,4,0
2022-05-16T18,225,2,0,0,1,0,0,1,0,0,1,0,0,1,0,20,1,0,12,0,0,0,49,0,0,0,0,9,0,11,19,0,0,0,3,0,0,0,0,1,1,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,1,0,1,0,1,0,0,0,0,0,2,0,0,3,7,0,0,0,7,0,1,3,0,0,0,21,0,0,0,0,0
2022-05-16T19,231,3,0,0,1,0,0,1,0,0,0,0,0,1,0,10,3,0,9,0,0,1,48,0,0,0,0,7,0,8,19,0,0,0,2,0,0,1,1,1,1,7,0,20,7,0,0,0,0,0,0,1,0,0,0,0,0,2,0,20,0,0,0,1,0,1,0,0,0,4,0,1,0,0,2,6,0,0,0,5,0,1,1,0,0,0,33,0,0,0,2,0
2022-05-16T20,196,3,0,1,2,0,0,1,0,0,3,0,0,0,0,3,3,1,8,1,0,0,33,0,0,0,0,4,0,11,20,0,0,0,1,0,0,0,3,1,0,5,0,17,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,2,0,0,1,0,2,1,0,0,1,0,2,0,0,4,5,0,0,0,5,0,2,1,0,0,0,23,0,0,0,0,1
2022-05-16T21,144,2,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,1,7,1,0,0,26,1,0,0,0,4,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,14,1,1,0,0,0,1,0,0,1,0,0,2,0,0,3,7,0,0,0,3,0,2,1,0,0,0,18,0,0,0,0,1
