bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BO,BR,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,EC,ES,FI,FR,GB,GE,GR,HK,HU,ID,IE,IN,IT,JP,KG,KH,KM,KR,KZ,LT,LU,LY,MK,MM,MO,MX,MY,MZ,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SE,SG,TH,TR,TW,UA,US,UY,UZ,VE,VN,ZA
2022-10-23T17,268,1,0,0,2,0,0,1,2,0,2,0,2,2,2,0,4,1,0,68,0,0,0,1,7,0,15,15,0,0,0,1,1,0,4,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,1,1,2,0,5,0,11,7,7,0,1,0,73,0,0,0,0,0
2022-10-23T18,195,1,0,1,2,0,0,0,2,0,1,0,6,3,1,0,3,0,0,60,1,0,0,0,6,0,7,12,0,0,1,1,0,0,0,10,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,1,0,3,0,6,6,6,1,1,0,30,0,0,0,1,0
2022-10-23T19,232,3,0,1,1,0,0,0,2,0,2,0,4,1,0,0,5,1,0,54,0,0,0,0,6,0,8,11,0,1,3,0,0,0,2,20,1,1,0,1,2,0,0,1,0,0,0,0,0,1,0,15,0,0,0,0,1,0,2,0,1,0,1,0,2,0,4,7,4,2,1,0,59,0,0,0,1,0
2022-10-23T20,186,2,0,0,2,0,0,0,2,0,2,0,5,2,1,0,7,0,0,35,0,0,0,0,0,0,5,14,0,0,4,0,0,1,1,20,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,1,0,1,0,0,0,2,0,1,0,1,0,1,0,2,7,3,1,1,0,47,0,0,0,0,0
2022-10-23T21,146,3,0,0,1,0,0,0,0,0,0,0,1,1,1,0,4,0,0,19,0,0,0,0,0,0,9,14,0,0,1,0,0,7,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,7,5,1,1,0,36,0,0,0,1,0
2022-10-23T22,108,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,11,0,0,0,0,0,0,5,8,0,0,1,0,0,6,0,6,1,0,2,0,1,0,0,0,0,1,0,0,0,2,0,8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,7,0,1,1,1,32,0,0,0,1,0
2022-10-23T23,129,3,0,0,0,0,0,0,0,0,2,0,11,0,1,0,6,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,5,1,0,1,0,67,0,0,0,2,0
2022-10-24T00,104,1,0,0,0,0,0,0,0,0,0,0,10,0,4,0,11,0,0,3,0,1,0,0,0,0,3,2,0,0,3,0,0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,6,0,0,1,0,38,0,0,0,0,0
2022-10-24T01,108,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,7,0,1,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,5,0,0,1,0,55,1,0,0,0,0
2022-10-24T02,127,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,6,0,0,4,0,1,0,0,0,0,4,6,0,0,2,0,0,9,0,0,13,0,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,6,1,0,2,0,45,1,0,0,3,0
