bucket,total,--,AE,AR,AT,AU,BA,BE,BH,BR,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IT,JP,KE,KR,KZ,LK,LT,LU,ML,MO,MX,MY,NL,NO,NP,NZ,PH,PK,PL,PT,RO,RU,SE,SG,TH,TR,TT,TW,UA,US,UY,VN,ZA
2022-01-16T21,292,1,0,2,2,0,0,1,0,2,24,5,0,10,0,0,0,73,0,0,4,2,12,18,0,1,0,0,1,0,1,28,1,0,1,1,0,1,0,0,0,0,0,22,3,0,0,1,0,2,3,0,4,9,5,4,1,0,1,0,46,0,0,0
2022-01-16T22,216,2,1,2,1,0,0,0,1,1,14,0,0,6,1,0,0,39,1,0,1,2,7,10,0,1,0,0,3,0,1,23,2,0,1,0,0,2,0,0,0,1,0,8,1,0,0,1,0,2,1,1,4,3,7,2,1,0,2,1,59,0,0,0
2022-01-16T23,196,0,2,0,1,0,0,0,2,0,24,0,0,9,0,0,0,26,0,0,1,2,4,16,0,2,0,0,0,0,1,9,9,0,1,0,0,0,0,1,0,0,0,7,1,0,0,0,0,1,2,0,5,4,5,0,0,0,1,0,57,0,0,3
2022-01-17T00,161,1,2,0,1,1,0,0,0,0,27,0,0,11,0,0,0,14,0,0,1,0,4,8,0,1,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,4,3,6,0,0,0,2,0,58,0,1,0
2022-01-17T01,141,1,0,2,1,0,0,0,1,0,21,0,0,15,0,0,0,12,0,0,2,0,2,8,0,3,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,3,4,5,0,0,0,2,0,46,1,0,0
2022-01-17T02,130,0,0,0,0,1,0,0,3,0,18,0,0,11,0,0,0,6,0,0,1,0,4,3,0,1,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,6,0,0,0,2,0,0,0,0,2,2,7,1,0,0,3,1,45,1,6,0
2022-01-17T03,111,2,0,1,0,3,0,0,0,0,15,1,0,14,0,0,0,3,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,3,2,7,2,0,0,3,1,39,1,0,0
2022-01-17T04,99,1,0,1,0,1,0,0,0,0,15,1,0,9,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,4,1,0,0,0,1,2,2,6,3,1,0,2,1,35,0,0,0
2022-01-17T05,94,0,0,0,0,1,0,0,0,1,9,0,0,8,0,0,0,5,1,0,0,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,3,2,7,4,1,0,3,0,35,0,0,0
2022-01-17T06,56,0,0,0,0,2,0,0,0,2,3,0,0,5,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,1,7,4,0,0,3,0,17,0,0,0
