bucket,total,--,AD,AE,AF,AM,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GE,GF,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KM,KR,KZ,LK,LT,LU,LV,MC,MD,ME,MK,MN,MO,MX,MY,MZ,NL,NO,NP,NZ,OM,PE,PG,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,SN,TH,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2022-03-22T08,129,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,2,2,0,0,0,6,0,0,13,1,0,0,0,0,6,2,0,0,0,0,14,0,0,0,2,3,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,6,0,0,0,6,0,1,0,37,0,0,0,0,0,0
2022-03-22T09,151,2,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,4,0,0,0,0,13,0,0,18,0,0,0,0,0,4,4,0,0,0,0,20,0,0,0,2,2,0,4,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,0,1,11,0,0,0,4,1,1,0,30,0,0,0,1,0,0
2022-03-22T10,169,1,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,3,2,0,0,0,14,0,1,18,0,0,0,1,0,9,9,0,0,0,0,22,0,0,0,2,2,0,6,0,0,6,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,8,0,0,0,5,0,1,0,32,0,0,0,1,0,0
2022-03-22T11,163,1,0,0,0,0,1,1,1,0,0,1,1,0,0,2,0,3,3,0,0,0,9,0,1,16,2,0,0,1,0,2,4,0,0,0,0,24,0,0,0,0,1,0,6,0,0,5,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,8,0,0,2,8,0,0,0,8,0,2,0,37,0,0,0,0,0,0
2022-03-22T12,166,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,7,2,0,0,0,15,0,0,15,2,0,0,1,0,4,3,1,0,0,0,32,0,0,0,0,0,0,5,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,7,0,0,1,6,0,0,0,6,1,8,1,19,0,0,0,2,0,0
2022-03-22T13,200,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,21,0,0,22,1,0,0,1,0,6,6,1,0,0,0,45,0,0,0,0,0,0,5,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,0,8,0,0,0,5,1,3,0,41,0,0,1,1,0,0
2022-03-22T14,171,1,0,1,0,0,0,0,3,0,0,0,1,0,0,3,0,7,0,0,0,0,16,1,0,24,0,0,0,0,0,8,9,1,0,0,0,27,0,0,0,1,0,0,7,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,5,0,0,2,5,0,0,0,7,1,5,0,18,0,0,0,1,0,0
2022-03-22T15,174,1,1,2,0,0,1,3,0,1,0,0,0,0,0,3,0,8,0,0,0,0,11,0,0,26,1,0,0,0,3,10,7,0,0,0,0,14,0,0,0,1,0,0,4,0,0,6,3,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,7,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,4,0,0,2,6,0,0,0,8,1,2,0,29,0,0,0,0,0,0
2022-03-22T16,213,2,0,1,1,1,1,0,1,1,0,0,0,0,0,4,0,4,0,0,0,0,11,0,0,39,0,0,0,2,3,13,10,0,0,0,0,12,0,0,0,2,0,0,6,0,0,17,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,5,0,0,2,6,0,0,0,7,1,2,1,35,0,0,0,5,0,0
2022-03-22T17,288,2,0,0,1,1,1,2,0,2,0,0,1,1,0,2,0,12,2,0,0,0,11,0,0,82,0,0,0,7,0,20,12,0,0,0,0,8,0,0,0,1,3,1,4,0,0,29,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,9,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,10,9,0,0,0,8,1,1,0,29,0,0,0,0,0,0
2022-03-22T18,350,3,0,0,1,1,3,2,0,1,0,0,2,0,0,2,0,12,4,0,0,0,11,0,0,130,0,0,0,10,0,11,26,0,0,0,0,7,0,0,0,1,0,1,0,0,0,26,10,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,7,6,0,0,0,9,0,6,0,33,0,0,0,1,0,0
2022-03-22T19,315,3,0,0,0,0,3,2,1,1,0,0,5,0,0,2,0,6,3,0,0,0,11,0,0,128,0,0,0,9,0,11,26,0,0,0,0,5,0,0,0,2,1,1,2,0,0,9,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,3,0,0,1,0,0,0,0,0,0,3,1,0,0,0,2,0,0,5,5,0,1,0,9,0,4,0,26,0,0,0,1,0,0
2022-03-22T20,280,2,0,0,0,0,1,1,1,1,0,0,2,0,0,1,1,7,1,0,0,0,10,0,0,77,0,0,0,5,0,5,18,0,0,0,0,2,0,0,0,0,1,0,1,0,0,19,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19,2,1,0,1,0,0,0,0,0,0,3,1,0,0,0,3,0,0,3,5,0,0,0,4,0,2,0,72,0,0,0,1,0,0
2022-03-22T21,202,2,0,0,0,0,1,2,1,1,0,0,3,0,0,3,1,9,6,0,0,0,12,0,1,45,0,0,0,6,0,8,12,0,0,2,1,1,0,0,0,0,0,0,1,0,0,18,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,1,0,0,1,0,0,0,0,1,0,2,1,0,1,0,4,0,0,2,6,0,0,0,3,0,1,0,22,0,0,0,0,0,0
2022-03-22T22,201,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,30,4,0,0,0,11,0,1,29,0,0,0,4,0,5,19,0,0,0,2,3,0,0,0,0,0,0,1,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,5,0,0,0,0,0,1,1,40,0,0,0,0,0,0
2022-03-22T23,189,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,41,1,0,4,0,10,0,0,14,0,0,0,2,0,1,12,0,0,0,3,1,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,5,0,0,0,2,0,1,0,51,0,0,0,1,0,0
2022-03-23T00,177,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,27,1,0,0,0,20,0,0,15,0,0,0,1,0,4,6,0,0,0,0,2,1,0,0,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,2,0,66,0,0,0,1,0,0
2022-03-23T01,155,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,23,1,0,3,0,13,0,0,11,0,0,0,2,0,4,5,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,0,0,1,0,0,4,1,59,0,0,0,1,0,0
2022-03-23T02,153,2,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,18,1,0,4,0,17,0,0,6,0,0,0,2,0,0,5,0,0,0,0,5,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,1,0,0,3,0,57,1,0,0,0,0,0
2022-03-23T03,143,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14,1,0,1,0,20,1,0,7,1,0,0,1,0,9,3,0,0,0,0,5,0,0,0,1,0,0,3,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,7,0,0,0,1,1,0,0,50,0,0,0,0,0,0
2022-03-23T04,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,21,1,0,6,1,0,0,0,0,1,2,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,2,0,0,0,38,0,0,0,2,0,0
2022-03-23T05,200,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,6,0,0,0,0,13,1,0,7,0,0,0,0,0,4,4,0,0,0,0,10,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,2,0,1,1,120,0,0,0,2,0,0
2022-03-23T06,117,1,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,4,0,0,0,0,19,2,0,8,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,2,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,6,0,0,0,7,0,0,0,6,1,2,2,20,0,0,0,1,0,0
2022-03-23T07,105,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,1,0,0,0,17,0,0,13,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,0,0,0,6,0,0,0,2,1,0,0,24,0,0,0,1,0,0
2022-03-23T08,120,1,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,5,1,0,0,0,11,1,0,12,0,0,0,0,0,2,5,0,0,0,0,16,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5,0,0,2,7,0,0,0,3,1,0,0,30,0,0,0,1,0,0
2022-03-23T09,149,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,6,1,0,0,0,13,2,0,18,0,0,0,1,0,2,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,2,0,1,0,54,0,0,0,5,0,0
2022-03-23T10,106,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,2,0,10,0,0,0,5,0,1,3,0,0,0,0,18,0,0,0,0,0,2,1,0,0,5,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,1,7,0,0,0,3,1,0,0,13,0,0,0,0,0,0
2022-03-23T11,131,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,8,1,0,14,0,0,0,2,0,2,7,0,0,0,0,15,0,0,0,0,0,1,2,0,0,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,1,0,0,12,0,0,0,5,0,4,0,22,0,0,0,0,0,0
2022-03-23T12,148,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,4,1,0,0,0,15,0,0,21,1,0,0,0,0,3,4,1,0,0,0,9,0,0,0,0,0,0,1,0,0,2,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,2,1,3,0,0,0,0,1,0,3,0,0,1,13,0,0,0,5,1,8,0,29,0,0,0,0,0,0
2022-03-23T13,169,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,4,0,0,0,0,16,0,0,21,0,0,0,0,0,6,9,0,0,0,0,28,0,0,0,0,0,1,3,0,0,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,2,11,0,0,0,13,1,2,0,24,0,0,0,0,0,0
2022-03-23T14,168,3,0,1,0,0,0,0,0,1,0,0,0,2,0,5,0,4,1,0,0,0,10,0,0,14,0,0,0,1,0,8,9,0,0,0,0,23,0,0,0,1,0,0,0,0,0,5,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,1,14,1,0,0,10,1,3,0,25,0,0,0,0,1,0
2022-03-23T15,191,2,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,4,1,0,0,0,15,1,0,21,0,0,0,3,0,15,8,0,0,0,0,18,0,0,0,0,0,1,3,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,6,1,0,0,15,0,4,1,37,0,0,0,0,1,0
2022-03-23T16,239,3,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,8,1,0,0,0,17,1,0,42,0,0,0,5,0,9,15,0,0,0,0,15,0,0,0,0,0,0,3,0,0,15,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,7,0,0,0,20,1,1,1,42,0,0,0,0,1,0
2022-03-23T17,289,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,8,3,0,0,0,13,1,0,62,0,0,0,5,0,15,19,0,0,0,0,7,0,0,0,0,0,0,2,0,0,22,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,17,7,0,0,0,13,1,1,0,60,0,0,0,1,1,0
2022-03-23T18,316,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,4,0,0,0,21,0,0,108,0,0,0,7,0,11,20,0,0,0,0,6,0,1,0,0,0,0,2,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,4,0,0,9,6,0,0,0,7,0,0,1,49,0,0,0,0,0,0
2022-03-23T19,330,0,0,1,0,0,0,1,0,1,0,0,1,0,0,5,0,9,6,0,0,0,15,0,0,120,0,0,0,12,0,18,27,0,0,0,0,6,0,1,0,0,0,1,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0,5,6,0,0,0,3,1,0,0,40,0,0,0,2,0,0
2022-03-23T20,269,0,0,0,0,0,1,2,0,1,0,0,2,0,0,2,0,9,5,0,0,0,14,0,0,61,0,0,0,7,0,13,28,0,0,0,0,5,0,1,0,1,0,1,1,0,0,21,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,14,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,8,0,0,0,5,2,0,1,48,0,0,0,1,0,0
2022-03-23T21,268,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,5,2,0,0,0,14,0,1,39,0,0,0,5,0,11,15,0,0,0,0,3,0,0,0,1,0,1,1,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,10,0,0,0,2,0,0,0,96,0,0,0,1,0,0
2022-03-23T22,175,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,16,1,0,0,0,6,0,0,30,0,0,0,4,0,8,14,0,0,0,0,1,0,0,0,2,0,1,0,0,0,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,2,7,0,1,0,3,0,1,0,31,0,0,0,0,0,1
2022-03-23T23,179,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,27,2,0,0,0,7,1,0,14,1,0,0,3,0,3,8,0,0,0,0,2,0,0,0,1,0,0,0,0,0,20,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,1,7,0,0,0,0,0,1,1,55,0,0,0,2,0,1
2022-03-24T00,119,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,19,0,0,0,0,3,1,0,10,0,0,0,3,0,1,4,0,0,0,0,2,0,0,0,1,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,6,0,0,0,2,0,0,0,40,0,0,0,3,0,1
