bucket,total,--,AD,AE,AF,AM,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GE,GF,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KM,KR,KZ,LK,LT,LU,LV,MC,MD,ME,MK,MN,MO,MX,MY,MZ,NL,NO,NP,NZ,OM,PE,PG,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,SN,TH,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2022-03-20T13,189,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0,4,2,0,0,0,16,1,0,22,0,0,0,3,0,12,4,0,0,0,0,17,0,0,0,1,0,0,4,0,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,13,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,3,10,1,0,0,13,0,8,0,22,0,0,0,0,0,0
2022-03-20T14,203,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,4,3,0,0,0,10,0,0,33,1,0,0,3,0,8,11,0,0,0,0,19,0,0,1,0,4,0,2,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,11,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,7,12,1,0,0,6,0,5,0,21,0,0,0,0,0,0
2022-03-20T15,319,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,8,2,0,0,0,6,0,0,27,1,0,0,5,0,10,12,0,0,0,0,18,0,0,1,3,1,0,0,0,0,12,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,126,0,0,12,6,0,0,0,6,0,4,0,25,0,0,1,1,0,0
2022-03-20T16,243,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,16,1,0,1,0,17,0,0,34,0,0,0,6,0,16,16,0,0,1,0,14,0,2,1,3,0,2,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,8,0,0,6,11,0,0,0,7,0,2,0,28,0,0,1,0,0,0
2022-03-20T17,263,2,0,0,0,0,0,3,0,1,0,0,2,0,0,1,0,16,2,0,0,0,13,0,0,63,0,0,0,6,0,13,21,0,0,1,0,7,0,2,0,1,1,0,0,0,0,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,6,7,0,0,0,5,0,1,0,32,0,0,1,0,0,1
2022-03-20T18,299,2,0,0,0,0,1,1,0,1,0,0,3,0,0,1,0,12,2,0,0,0,7,1,0,88,0,0,0,12,0,13,26,0,0,1,0,3,0,0,1,0,0,1,1,0,0,27,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,2,0,8,5,0,0,0,5,0,1,0,38,0,0,0,0,0,0
2022-03-20T19,308,1,0,0,0,0,0,2,0,1,0,0,3,0,0,2,0,22,1,0,0,0,8,0,0,104,2,0,0,10,0,6,23,0,0,0,0,0,0,0,1,0,1,0,1,0,0,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,2,0,0,5,6,0,0,0,4,0,0,0,47,0,0,0,0,0,0
2022-03-20T20,254,1,0,0,0,0,1,2,0,1,0,0,1,0,1,2,0,11,3,0,0,0,17,0,0,60,0,0,0,7,0,6,14,0,0,0,0,2,0,0,0,0,1,0,1,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,12,0,0,3,6,0,0,0,4,0,1,0,42,0,0,0,1,0,0
2022-03-20T21,226,1,0,0,0,0,1,2,2,0,0,0,0,0,1,2,0,5,5,0,1,0,8,0,0,39,0,0,0,4,0,10,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,11,0,0,3,8,0,0,0,2,0,2,0,43,0,0,0,1,0,0
2022-03-20T22,194,1,0,0,0,0,2,1,2,0,0,0,0,0,1,4,0,9,3,0,0,0,11,0,0,30,0,0,0,3,0,8,12,0,0,0,0,4,0,0,0,0,3,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,2,5,0,0,0,1,1,1,0,39,0,0,0,1,0,0
2022-03-20T23,178,1,0,1,0,0,1,2,0,0,1,0,0,0,0,5,0,12,2,0,0,0,11,2,0,15,0,0,0,3,0,5,5,0,0,0,0,1,0,0,0,0,0,0,7,1,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,2,9,0,0,0,1,0,1,0,59,0,0,0,0,0,0
2022-03-21T00,144,0,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,14,0,0,1,0,11,2,0,8,0,0,0,2,0,1,6,0,0,0,0,3,0,0,0,0,3,0,4,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,1,7,0,0,0,1,0,1,0,51,0,0,0,0,0,0
2022-03-21T01,144,0,0,1,0,0,3,0,1,0,0,0,1,0,0,1,0,16,0,0,1,0,12,1,0,7,1,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,1,0,1,10,0,0,0,1,0,1,0,52,0,0,0,1,0,0
