bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KH,KR,KZ,LA,LR,LT,LV,MA,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SY,TH,TN,TR,TT,TW,UA,US,UY,UZ,VN,ZA,ZM,ZW
2022-10-02T13,163,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,0,7,1,0,0,0,22,0,0,0,0,3,0,10,4,0,0,11,0,0,1,0,0,1,0,0,4,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,1,1,0,1,0,0,0,0,5,0,0,0,4,5,0,0,0,15,0,0,0,3,0,41,0,0,0,0,0,0
2022-10-02T14,182,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,7,0,0,0,0,26,1,0,0,0,7,1,6,8,0,0,14,0,0,0,0,0,0,0,0,13,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,2,6,0,0,0,8,0,1,0,7,1,41,0,0,2,0,0,0
2022-10-02T15,175,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,5,0,0,0,0,28,0,0,0,0,2,0,18,10,0,0,7,0,1,0,0,0,1,0,0,13,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,11,0,0,1,0,0,1,0,1,0,1,0,0,3,0,0,0,4,7,0,1,0,7,0,0,0,1,0,33,0,0,4,0,0,0
2022-10-02T16,236,1,1,0,0,0,1,0,0,0,0,0,2,0,0,15,2,1,0,16,0,0,0,0,35,0,0,0,0,7,3,16,11,1,0,3,0,0,0,0,0,3,0,0,16,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,1,1,0,4,0,0,2,0,3,1,0,0,3,9,0,0,0,11,0,0,0,4,0,50,0,0,0,0,0,0
2022-10-02T17,183,1,0,0,1,0,0,0,0,3,0,0,0,0,0,2,1,1,0,14,0,0,0,0,40,0,0,0,0,7,1,11,7,0,0,1,0,0,1,0,1,0,0,0,16,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,13,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,4,6,0,0,0,3,0,0,0,3,0,34,0,0,1,0,0,0
2022-10-02T18,185,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,15,0,0,0,0,34,0,0,0,0,8,1,5,14,0,0,3,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,3,8,0,0,0,6,0,0,0,3,1,33,0,0,2,0,0,0
2022-10-02T19,202,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,1,0,17,0,0,0,0,39,0,0,0,0,4,1,8,16,0,0,1,0,0,0,0,0,4,0,0,19,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,25,0,0,0,0,1,0,0,1,0,0,1,0,5,0,0,0,3,6,0,0,0,3,0,0,0,2,0,32,0,0,1,0,0,0
2022-10-02T20,240,1,0,0,1,0,0,0,0,1,0,0,0,0,0,9,4,0,0,20,1,0,0,0,40,0,0,0,0,2,0,7,13,0,0,3,0,0,0,0,0,7,0,0,17,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,1,0,0,2,0,0,2,1,2,0,0,0,2,6,0,0,0,1,0,1,0,1,0,70,0,0,1,0,0,0
2022-10-02T21,207,1,0,0,3,0,0,0,0,1,0,0,0,0,0,3,2,0,0,17,2,0,0,0,30,0,0,0,0,2,1,7,14,0,0,2,0,0,0,10,1,5,0,0,13,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,4,6,0,0,0,2,0,1,0,1,0,57,0,0,2,1,0,0
2022-10-02T22,144,1,0,0,3,0,1,0,0,0,0,0,2,0,0,6,1,0,0,9,1,0,0,0,24,0,0,0,0,2,2,9,7,0,0,1,0,0,1,6,1,1,0,0,9,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,6,0,1,0,1,1,0,0,1,0,27,0,0,1,0,0,0
2022-10-02T23,135,2,0,0,1,0,0,0,0,0,0,0,1,0,0,16,0,0,0,7,1,0,0,0,16,0,0,0,0,2,0,3,7,1,0,1,0,0,0,0,0,0,0,0,4,0,12,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,7,0,0,1,1,1,0,0,1,0,34,0,0,1,0,0,0
2022-10-03T00,100,2,0,0,1,0,0,0,1,0,0,0,1,0,0,9,1,0,0,6,0,0,0,0,11,0,0,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,8,0,0,1,1,1,1,0,1,0,30,0,0,0,0,0,0
2022-10-03T01,104,3,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,8,1,0,0,0,2,0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,2,7,0,0,0,2,1,0,0,3,0,38,0,0,0,0,0,0
