bucket,total,--,AE,AM,AR,AT,AU,AZ,BD,BE,BG,BH,BM,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KH,KM,KR,KZ,LT,LU,MA,MK,MM,MN,MO,MT,MU,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SN,SR,TH,TN,TR,TW,TZ,UA,US,VE,VN,ZA,ZW
2022-11-20T14,144,3,0,0,0,0,0,0,0,1,0,0,0,2,0,3,1,0,1,0,5,0,0,23,0,0,0,2,0,11,6,0,0,3,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,2,0,1,0,2,0,2,0,0,0,2,6,0,1,0,0,8,0,1,1,0,0,39,0,0,1,0
2022-11-20T15,171,3,0,0,0,2,0,0,0,1,0,0,0,1,0,2,1,0,1,0,5,0,0,43,0,0,0,5,0,11,9,0,0,2,0,0,0,0,0,2,0,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,11,0,0,1,0,0,1,1,2,0,1,0,0,0,3,0,0,0,3,6,0,1,0,0,5,0,3,3,0,0,22,0,2,0,0
2022-11-20T16,171,1,0,0,0,0,0,0,0,1,0,0,0,1,0,6,1,0,1,0,3,0,0,44,0,0,0,4,1,11,14,0,0,0,0,0,1,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,0,1,0,1,2,0,4,0,1,0,0,0,1,0,0,0,4,5,0,0,0,0,5,1,0,0,0,1,24,0,1,0,0
2022-11-20T17,192,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,4,0,0,42,0,0,0,8,0,12,14,1,0,1,0,0,1,0,0,0,0,30,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,1,1,1,0,4,0,0,0,0,0,1,0,0,0,6,7,0,0,0,0,6,1,0,0,0,0,30,0,0,0,0
2022-11-20T18,211,1,0,0,0,0,0,0,0,2,0,0,0,1,0,6,2,0,0,0,4,0,0,60,0,0,0,8,0,13,10,0,0,1,0,0,1,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,0,6,7,0,0,0,0,4,0,2,0,0,0,37,0,0,0,0
2022-11-20T19,164,1,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,4,0,0,48,0,0,0,6,0,10,10,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,1,0,0,1,0,2,0,1,0,2,0,0,0,0,0,4,6,0,0,0,0,1,0,1,0,0,0,25,0,0,2,0
2022-11-20T20,191,2,0,1,0,1,0,0,0,2,0,0,0,1,0,6,0,0,0,0,6,1,0,40,0,0,0,6,0,15,9,0,0,2,0,0,0,0,0,1,0,18,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,17,1,0,1,0,0,0,0,1,0,2,0,3,0,0,0,0,0,3,8,0,0,1,0,0,0,1,0,0,0,33,0,2,0,0
2022-11-20T21,164,3,0,0,0,1,0,0,1,3,0,0,0,1,0,7,3,0,0,0,5,0,0,38,0,0,0,2,0,8,10,0,0,3,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,4,6,0,0,0,0,0,0,1,0,0,1,22,0,0,0,1
2022-11-20T22,151,1,0,0,1,0,0,0,0,2,0,0,1,1,0,12,2,0,0,0,5,0,0,22,0,0,0,2,0,7,10,0,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,37,0,1,0,0
2022-11-20T23,119,2,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2,0,0,0,6,0,0,10,0,0,1,2,0,3,11,0,0,2,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,1,0,0,35,0,1,0,0
2022-11-21T00,123,2,0,0,0,0,1,0,1,0,0,0,0,2,0,9,1,0,0,0,5,1,0,8,0,0,0,2,0,1,4,0,0,4,0,0,2,0,0,4,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,48,0,1,1,0
2022-11-21T01,122,3,0,0,0,0,0,0,1,0,0,0,0,2,0,9,0,1,0,0,4,1,0,6,0,0,0,1,0,2,3,0,0,1,0,0,2,0,0,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,8,0,0,0,0,0,1,0,2,0,1,52,0,0,0,0
