bucket,total,--,AE,AF,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CL,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EG,ES,FI,FR,GB,GE,GG,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JM,JO,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MN,MO,MU,MX,MY,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SK,SN,SO,SV,TG,TH,TN,TR,TT,TW,UA,UG,US,UY,VE,VN,ZA
2022-02-06T00,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,2,0,17,2,0,0,0,20,0,0,0,0,4,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,10,0,0,3,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,2,8,0,0,0,0,0,1,0,1,0,2,1,0,49,1,0,1,0
2022-02-06T01,184,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14,2,0,24,2,0,0,0,20,0,0,0,0,4,0,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,2,10,0,0,0,0,0,1,0,0,0,3,0,0,59,0,0,2,0
2022-02-06T02,159,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,14,0,1,26,0,0,0,0,10,0,0,0,0,2,0,1,3,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,2,9,0,0,0,0,0,2,0,0,0,8,0,0,48,1,0,1,0
2022-02-06T03,139,2,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,13,0,1,27,0,0,0,0,5,0,0,2,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,2,5,0,0,0,0,0,3,0,0,0,8,0,0,36,0,0,2,0
2022-02-06T04,140,2,2,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,13,0,1,27,0,0,0,0,6,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,8,0,1,0,0,0,1,0,0,0,2,0,0,39,0,0,5,1
2022-02-06T05,158,6,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,10,0,0,23,0,0,0,0,9,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,4,8,0,0,0,0,0,3,0,0,0,4,0,0,58,0,0,1,0
2022-02-06T06,130,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,9,0,1,20,0,0,1,1,5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,8,0,0,0,0,0,2,0,0,0,1,0,0,53,0,1,0,0
2022-02-06T07,104,1,1,0,1,0,3,0,0,0,0,1,0,0,0,2,0,0,2,2,1,15,0,0,0,0,7,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,10,0,0,0,0,0,3,0,1,0,3,0,0,31,0,0,0,0
2022-02-06T08,156,1,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,19,0,0,0,0,18,0,0,0,0,1,0,2,4,0,0,0,0,3,0,0,0,0,3,3,0,2,0,0,5,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,2,12,0,0,0,0,0,5,0,1,0,3,1,0,40,0,0,0,0
2022-02-06T09,148,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,4,1,0,21,1,0,0,0,23,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,2,9,0,0,0,0,0,7,0,2,0,4,0,0,24,0,0,0,0
