bucket,--,AD,AE,AR,AT,AU,BA,BB,BE,BN,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GR,GY,HK,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JP,KH,KR,KZ,LA,LK,MK,MM,MO,MT,MX,MY,NA,NL,NO,NZ,PE,PH,PL,PT,RO,RS,RU,SE,SG,SI,SK,TH,TR,TW,UA,US,VN,ZA
2021-09-19T19,0,0,1,0,0,0,0,0,0,0,2,0,7,3,0,0,0,0,25,0,0,0,5,0,5,8,0,1,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,1,1,0,1,2,0,0,0,1,1,3,0,13,0,0
2021-09-19T20,0,0,1,0,0,0,1,3,0,0,0,0,6,0,1,1,0,0,23,0,0,0,5,0,5,10,0,0,1,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,3,0,0,0,3,2,2,0,23,0,0
2021-09-19T21,0,0,0,1,0,1,0,3,0,0,0,0,5,2,0,0,0,0,33,0,0,0,1,0,4,8,0,0,1,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,28,0,0
2021-09-19T22,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,0,1,0,6,0,0,0,1,0,3,14,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17,0,0
2021-09-19T23,0,0,0,1,0,0,0,1,0,1,1,0,3,0,0,0,0,0,6,0,0,0,1,0,2,5,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,12,0,0
2021-09-20T00,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,1,0,0,4,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,17,0,0
2021-09-20T01,0,0,0,1,0,1,0,0,0,0,1,0,8,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,20,0,0
2021-09-20T02,1,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,12,0,0
2021-09-20T03,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,9,1,0
2021-09-20T04,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,10,0,0
