bucket,total,--,AE,AR,AT,AU,BE,BG,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,EC,EE,EG,ES,FI,FR,GB,GR,HK,ID,IE,IL,IN,IT,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,MD,MK,ML,MO,MV,MX,MY,NL,NO,NZ,PA,PH,PK,PL,PT,PY,RO,RS,RU,SE,SG,SI,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-12-12T19,264,0,0,0,1,0,3,0,1,0,8,0,0,5,0,0,83,1,0,0,0,7,0,10,21,1,1,0,1,0,0,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,47,0,1,0,0,0,3,0,0,1,0,2,5,9,0,2,1,0,2,0,30,0,1,0
2021-12-12T20,250,0,0,2,0,0,0,0,0,0,16,1,0,7,0,0,73,1,0,0,0,6,0,8,23,1,0,0,2,0,0,18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,29,1,0,0,0,0,3,0,0,1,0,4,6,7,0,3,1,0,2,1,30,0,2,0
2021-12-12T21,209,3,0,1,1,0,1,0,1,0,3,3,0,7,0,0,58,0,0,0,0,2,0,5,15,1,0,0,1,0,0,14,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,1,0,4,0,0,0,0,3,4,11,0,1,2,0,1,1,31,0,1,0
2021-12-12T22,195,0,0,1,0,0,1,0,1,0,4,1,1,5,0,0,31,0,0,0,0,1,0,10,19,1,1,0,1,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,2,1,0,0,0,3,5,11,0,0,2,0,1,0,40,0,2,0
2021-12-12T23,127,1,0,0,0,0,1,0,0,0,5,2,0,4,0,0,18,0,0,0,0,1,0,5,7,1,0,0,3,0,0,11,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,2,2,10,0,1,1,0,1,1,33,0,2,0
2021-12-13T00,108,0,0,0,1,1,0,0,1,0,6,0,0,6,0,0,8,0,0,0,0,2,0,3,6,0,1,1,0,0,0,6,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,3,9,0,0,0,0,2,0,37,0,2,0
2021-12-13T01,110,1,0,0,0,1,0,0,0,0,5,0,0,8,0,0,8,1,0,0,0,0,0,3,4,0,1,1,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,2,2,9,0,0,1,0,3,0,45,0,2,0
2021-12-13T02,93,0,0,0,1,1,0,0,0,0,8,0,0,3,0,0,5,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,3,2,8,0,0,0,0,1,0,41,0,2,0
2021-12-13T03,116,1,0,0,0,1,0,0,1,0,9,0,0,7,0,0,6,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,0,5,0,1,0,0,0,0,0,0,2,2,6,0,0,2,0,1,0,39,0,1,0
2021-12-13T04,100,0,0,0,2,0,0,0,1,0,5,0,0,7,0,0,2,0,0,0,0,0,0,3,5,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,0,4,0,2,0,0,0,0,1,0,3,2,8,0,0,1,0,1,2,38,0,1,0
2021-12-13T05,90,0,0,0,0,2,0,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,1,5,0,1,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,0,1,0,2,0,0,0,0,0,0,3,2,9,0,0,2,0,3,1,33,0,1,0
2021-12-13T06,75,0,0,0,0,0,0,0,1,0,4,0,0,4,0,0,5,0,1,0,0,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,0,1,0,4,2,5,0,0,2,0,2,1,16,0,8,0
2021-12-13T07,97,1,0,0,0,1,1,0,0,0,4,0,1,7,0,0,6,0,0,0,0,0,0,2,5,0,2,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,2,0,1,0,0,0,0,2,2,6,0,0,2,0,1,0,33,0,2,0
2021-12-13T08,101,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,12,0,0,0,0,0,0,2,6,0,0,1,0,0,0,5,1,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,1,9,0,0,0,1,0,0,0,0,1,0,1,2,7,0,0,2,0,1,0,34,0,1,0
2021-12-13T09,116,0,0,0,1,1,1,0,0,0,2,0,0,6,0,0,20,0,0,0,0,0,0,7,6,0,1,0,0,0,1,1,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,2,0,0,0,0,2,0,5,3,9,0,0,1,0,1,1,25,0,1,0
2021-12-13T10,117,0,0,0,1,1,1,0,0,0,4,0,0,6,0,0,16,0,0,0,0,1,0,5,9,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,5,0,1,0,0,0,0,2,2,9,0,0,3,1,2,0,29,0,1,0
2021-12-13T11,130,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,22,0,0,0,0,1,0,6,15,0,0,3,1,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,3,0,0,1,1,0,1,3,2,7,0,0,4,0,6,1,23,0,1,0
2021-12-13T12,113,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,17,0,0,0,0,2,0,5,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,17,1,0,0,1,0,0,0,0,1,0,4,3,12,0,0,4,0,4,2,19,0,1,0
