bucket,total,--,AD,AR,AT,AU,BD,BE,BN,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,ES,FI,FR,GB,GR,HK,HN,HU,ID,IE,IL,IN,IR,IT,JP,KR,KW,KZ,LA,LT,LU,LV,LY,MD,MK,MO,MT,MX,MY,NL,NO,NZ,PH,PL,PT,RO,RS,RU,RW,SA,SE,SG,SK,TH,TR,TW,UA,US,VE,VN,ZA
2021-11-14T20,197,2,0,0,0,0,0,0,0,1,0,9,3,0,3,0,0,41,0,5,1,9,17,0,0,0,0,0,0,0,0,0,19,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,1,0,3,0,0,4,9,0,5,2,1,3,32,0,0,0
2021-11-14T21,188,1,0,0,1,0,0,0,0,3,0,8,2,0,4,0,0,37,0,3,0,5,16,0,0,0,0,0,2,0,0,0,22,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,25,1,0,0,1,0,2,0,2,0,0,4,7,0,4,3,1,1,27,0,0,1
2021-11-14T22,173,1,0,2,0,0,0,1,0,1,0,7,0,1,2,0,0,28,0,3,0,7,12,1,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,1,2,0,0,2,0,0,2,10,0,1,1,0,0,34,0,5,0
2021-11-14T23,125,1,0,0,0,1,0,0,0,2,0,6,1,0,3,0,0,16,0,1,0,4,10,1,0,0,1,0,0,0,0,0,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,2,1,0,0,1,0,1,1,11,0,1,1,0,0,33,0,0,0
2021-11-15T00,115,2,0,0,0,0,0,0,0,2,0,5,1,0,3,0,0,8,0,3,0,2,11,1,0,0,0,0,0,0,0,0,8,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,3,0,0,1,8,0,1,1,0,0,40,0,0,0
2021-11-15T01,110,2,0,0,0,0,0,0,0,2,0,13,0,0,5,0,0,3,0,5,0,4,6,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,3,0,0,1,14,0,1,0,0,0,38,0,0,0
2021-11-15T02,92,4,0,0,1,2,0,0,0,0,0,9,0,0,4,0,0,5,0,1,0,2,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,1,1,11,0,1,0,1,0,34,0,0,0
2021-11-15T03,90,3,0,0,1,1,0,0,0,1,0,8,0,0,6,0,0,2,0,1,0,3,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,2,1,0,0,0,0,2,0,1,1,9,0,1,2,0,0,27,0,1,0
2021-11-15T04,97,2,0,0,0,0,0,0,2,0,0,5,0,1,8,0,0,2,0,1,0,2,6,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,1,0,0,1,0,4,0,2,1,11,0,2,0,0,1,32,0,0,0
2021-11-15T05,66,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,3,0,1,0,1,4,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,1,0,0,0,0,1,10,0,1,0,0,1,23,1,0,0
2021-11-15T06,52,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0,1,5,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,2,2,0,0,0,0,2,0,0,1,7,0,1,0,0,1,13,0,0,0
