bucket,--,AE,AR,AT,AU,BA,BB,BE,BG,BN,BR,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IT,JP,KR,KY,LK,MD,MK,MO,MT,MX,MY,NA,NL,NO,NZ,PE,PH,PL,PT,RO,RU,SE,SG,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-09-29T13,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,11,0,0,0,1,0,4,10,0,3,0,0,1,0,0,4,1,0,0,0,0,0,5,0,0,1,0,9,0,0,0,2,0,0,0,0,1,7,0,31,0,13,0,2,0,0,0
2021-09-29T14,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,1,0,5,4,0,5,0,0,0,0,0,9,0,0,0,0,1,2,1,0,0,4,0,13,0,0,0,4,0,1,0,0,2,4,0,27,0,10,0,8,0,0,0
2021-09-29T15,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,23,0,0,0,1,0,4,8,0,6,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,4,0,7,0,0,0,2,1,0,1,0,6,3,0,20,0,11,0,5,0,0,0
2021-09-29T16,0,0,0,0,0,0,0,1,0,0,0,7,0,1,1,0,0,0,42,0,0,0,2,0,8,5,0,3,0,0,0,0,1,14,0,0,0,0,1,0,0,0,1,1,0,9,0,0,0,1,0,0,1,0,16,0,0,20,1,5,0,5,0,0,0
2021-09-29T17,0,3,0,0,0,0,0,3,0,0,0,9,1,0,0,0,0,0,63,1,0,0,4,0,6,11,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,2,1,0,13,0,0,0,1,2,0,0,0,10,0,0,11,0,3,0,8,0,0,0
2021-09-29T18,0,0,0,0,0,1,0,2,0,0,1,3,1,0,0,0,0,0,50,0,0,0,5,0,11,23,0,0,0,0,2,0,0,10,0,0,0,0,1,0,0,0,3,0,0,19,0,0,0,1,0,3,0,2,7,0,0,7,1,1,0,12,0,0,0
2021-09-29T19,0,0,1,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,47,0,0,0,3,0,7,18,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,12,0,1,0,1,0,1,0,0,2,0,0,4,0,2,0,20,0,0,0
2021-09-29T20,0,1,0,0,0,0,0,3,0,0,4,7,2,0,0,0,0,0,29,0,0,0,3,0,5,18,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,12,0,0,0
2021-09-29T21,0,0,0,0,1,0,0,0,0,0,2,6,1,0,0,0,0,0,19,0,0,0,3,0,5,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,1,0,1,0,0,0,2,0,2,0,10,0,0,0
2021-09-29T22,0,0,5,0,0,0,1,0,0,0,2,12,0,0,0,0,0,0,10,0,0,0,0,0,2,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,14,0,0,2
2021-09-29T23,0,0,2,0,1,0,1,0,0,0,0,10,0,0,0,3,0,0,7,0,0,0,0,0,2,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,14,0,0,0
2021-09-30T00,0,0,1,0,6,0,0,0,0,0,1,10,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,31,0,0,0
2021-09-30T01,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,12,0,0,0
2021-09-30T02,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,18,0,0,0
2021-09-30T03,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,2,0,5,0,12,0,0,0
2021-09-30T04,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,1,0,1,0,2,0,4,0,10,0,0,0
2021-09-30T05,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,0,1,0,0,3,0,4,0,3,0,0,0
2021-09-30T06,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0
2021-09-30T07,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,6,0,3,0,0,0
2021-09-30T08,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,8,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,1,2,0,3,0,7,0,0,0,0,0
2021-09-30T09,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,3,4,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,1,0,1,1,0,6,0,5,0,1,0,0,0
2021-09-30T10,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,1,0,0,7,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,1,1,0,2,0,10,0,3,0,0,0
2021-09-30T11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,1,0,3,5,0,2,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,1,3,0,14,0,9,0,1,0,0,1
2021-09-30T12,0,0,0,0,0,0,0,1,1,0,1,2,1,1,2,0,0,0,12,0,0,0,1,0,2,6,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,0,2,1,11,0,22,0,6,0,1,0,0,0
2021-09-30T13,0,4,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,17,0,0,0,0,2,2,9,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,2,0,0,1,0,2,3,0,19,1,10,0,6,0,0,0
2021-09-30T14,0,0,0,0,0,0,0,2,1,0,0,1,0,1,2,0,0,0,22,0,0,0,0,1,6,3,0,3,0,0,0,0,0,5,2,1,0,0,1,0,0,0,0,3,1,13,0,0,0,2,0,1,0,0,3,2,0,21,0,11,0,2,0,2,0
2021-09-30T15,0,1,1,0,0,0,0,0,0,0,0,4,1,0,3,1,0,0,38,0,0,0,2,0,6,13,0,2,0,0,0,0,0,14,0,0,0,0,1,0,0,0,1,1,1,8,1,0,0,1,1,0,0,1,3,1,0,20,0,9,0,3,0,0,0
2021-09-30T16,0,6,0,0,0,0,0,1,0,0,0,5,2,0,3,0,0,0,47,0,0,0,1,0,13,10,0,3,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,4,1,0,3,0,7,1,0,11,2,6,0,3,0,0,0
2021-09-30T17,0,0,0,0,0,0,0,1,0,0,0,5,1,1,0,0,0,0,66,2,0,0,3,1,7,17,0,4,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,6,11,0,0,10,0,3,0,7,0,0,0
2021-09-30T18,0,0,0,1,0,0,0,2,0,0,1,7,0,0,0,1,0,0,48,0,0,0,12,0,5,15,0,2,0,0,1,0,0,13,0,0,0,0,0,2,0,0,0,1,0,19,0,0,0,1,0,0,1,2,7,0,1,11,0,1,0,8,0,0,0
2021-09-30T19,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,34,0,0,0,4,1,5,13,0,0,0,0,2,0,0,18,0,0,0,0,0,2,0,0,2,0,0,18,0,0,0,0,0,0,2,0,2,0,0,7,1,1,0,11,0,0,0
2021-09-30T20,0,0,3,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,22,0,0,0,4,0,4,7,0,0,0,0,1,0,0,24,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,1,0,0,2,0,0,8,1,2,0,12,0,0,0
2021-09-30T21,0,0,0,0,0,0,0,0,0,0,1,6,2,6,0,0,0,0,18,0,0,0,1,0,4,9,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,13,0,0,0
2021-09-30T22,0,0,7,0,0,0,1,0,0,0,1,3,2,1,0,0,0,0,8,0,0,0,4,0,3,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,9,0,0,0
2021-09-30T23,0,0,9,0,2,0,0,0,0,0,3,13,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,25,0,0,0
2021-10-01T00,0,0,1,0,3,0,0,0,0,0,1,10,0,1,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,27,0,0,0
2021-10-01T01,0,0,0,0,1,0,0,0,0,0,0,11,0,4,0,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,17,0,0,0
2021-10-01T02,0,0,1,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,13,0,0,0
2021-10-01T03,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,0,4,0,11,0,0,0
2021-10-01T04,0,2,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,5,0,6,0,0,0
2021-10-01T05,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,3,0,5,0,3,0,0,0
2021-10-01T06,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0
2021-10-01T07,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0
2021-10-01T08,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,1,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,1,1,3,0,3,0,2,0,0,0,0,0
2021-10-01T09,0,2,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,10,0,0,0,4,0,1,7,0,4,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,2,1,0,0,1,1,3,0,7,0,6,0,4,0,0,1
2021-10-01T10,1,2,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,3,7,0,2,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,5,0,0,0,0,0,4,0,6,0,10,0,2,0,0,0
2021-10-01T11,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,2,7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0,9,0,0,0,6,0,0,1,0,1,3,0,14,0,6,0,0,0,0,2
2021-10-01T12,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,11,0,0,0,1,0,3,11,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10,0,10,0,0,0,10,1,0,0,0,1,1,0,17,0,12,0,2,0,0,0
