bucket,total,--,AE,AR,AT,AU,BA,BB,BE,BR,CA,CH,CL,CN,DE,DK,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IS,IT,JP,KR,LK,MD,MK,MO,MX,MY,NL,NO,NZ,PA,PH,PL,PT,RO,RS,RU,SE,SG,SK,SV,TH,TR,TW,UA,US,VN
2021-10-03T23,76,0,0,0,0,3,0,0,0,3,9,0,0,0,10,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0,21,0
2021-10-04T00,54,0,0,0,0,3,0,0,1,2,15,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,15,0
2021-10-04T01,40,0,0,0,0,2,0,0,0,0,8,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,14,0
2021-10-04T02,49,2,0,0,0,2,0,0,0,0,9,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,24,0
2021-10-04T03,47,1,0,0,0,3,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,4,0,24,0
2021-10-04T04,32,0,0,0,0,6,0,0,0,0,2,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,9,0
2021-10-04T05,29,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,3,0,9,0
2021-10-04T06,35,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,6,0,9,0
2021-10-04T07,55,0,0,0,1,5,0,0,1,0,0,0,0,2,7,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,15,0,7,0,3,0
2021-10-04T08,63,2,0,1,0,3,0,0,0,0,0,0,0,1,8,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,7,1,0,1,0,0,0,1,0,0,13,0,5,0,2,1
2021-10-04T09,79,2,0,0,0,2,0,0,4,0,0,0,0,0,16,0,0,2,0,6,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,5,0,0,0,5,1,0,0,0,2,0,5,0,0,13,0,6,0,1,0
2021-10-04T10,69,1,0,0,0,0,0,0,0,0,1,2,0,0,9,0,0,1,0,2,5,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,7,0,0,17,0,8,0,3,0
2021-10-04T11,72,1,0,0,1,1,0,0,0,0,0,1,0,0,9,0,0,2,0,0,2,1,2,0,0,0,1,0,0,0,4,0,0,1,0,2,0,0,0,10,0,0,0,5,0,0,0,0,1,1,6,0,0,12,0,8,0,1,0
2021-10-04T12,91,1,0,0,0,0,0,0,2,0,2,0,0,1,6,0,0,3,0,5,6,0,2,0,0,1,1,0,1,0,5,0,0,0,0,0,0,0,0,9,0,0,0,11,0,0,0,0,0,0,7,0,0,17,0,9,0,2,0
2021-10-04T13,110,1,0,0,0,0,0,0,0,0,6,0,1,0,13,0,0,0,0,5,8,0,4,0,0,0,2,1,0,0,5,0,0,1,0,0,0,0,2,11,0,0,0,6,0,0,0,0,0,1,5,0,0,20,0,14,0,4,0
2021-10-04T14,139,2,0,0,1,0,0,0,1,0,4,0,0,1,17,0,0,0,0,8,10,0,5,0,0,0,2,0,0,0,10,0,0,1,0,0,0,0,1,8,0,0,0,5,0,0,0,0,7,1,6,0,0,33,0,10,0,6,0
2021-10-04T15,153,1,0,0,1,0,1,0,3,1,4,1,1,2,29,2,0,2,0,11,4,0,3,0,0,1,0,0,0,0,11,0,0,1,0,0,1,0,1,7,0,0,1,8,0,0,0,0,2,3,5,0,0,30,1,6,0,9,0
2021-10-04T16,165,0,0,0,0,0,1,0,2,0,4,1,0,2,31,1,0,3,0,9,6,0,4,0,0,1,2,0,0,0,21,0,0,0,0,0,0,2,0,9,0,0,0,5,1,0,0,0,5,9,4,0,0,28,1,9,0,4,0
2021-10-04T17,212,1,0,0,1,0,0,0,3,1,2,1,0,0,68,0,0,8,0,7,11,0,2,0,0,0,1,0,0,0,14,0,0,0,1,2,0,0,0,17,0,0,0,3,2,1,0,0,4,19,2,0,0,24,1,9,0,7,0
2021-10-04T18,197,1,0,0,0,0,1,0,2,2,3,1,0,0,53,2,0,9,0,9,18,0,2,1,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,27,0,0,0,2,3,2,1,0,0,6,0,0,0,19,1,4,0,11,0
2021-10-04T19,172,0,0,2,0,0,0,0,1,2,8,2,0,0,37,1,0,5,0,8,15,1,0,0,0,0,0,1,0,0,24,0,0,0,0,2,0,0,0,27,0,0,0,3,1,1,1,0,0,4,0,0,0,11,2,3,0,10,0
2021-10-04T20,165,0,0,1,0,0,0,0,1,0,8,4,1,0,45,0,0,5,0,6,16,0,1,0,0,0,1,0,0,0,23,0,0,0,0,0,0,1,0,20,0,0,1,0,0,1,0,0,0,3,1,0,0,7,2,3,0,14,0
2021-10-04T21,108,0,0,1,0,1,0,0,1,1,11,3,1,0,27,0,0,0,1,4,7,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,2,1,1,0,1,2,4,0,11,0
2021-10-04T22,82,0,0,7,0,4,0,0,0,0,9,2,0,0,16,0,0,1,0,2,8,0,0,0,0,0,1,0,0,0,11,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,11,0
2021-10-04T23,84,0,0,14,0,2,0,0,0,2,15,0,0,0,11,0,0,1,0,2,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,13,0
2021-10-05T00,54,0,0,4,0,3,0,0,0,1,10,0,0,0,6,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,13,0
