bucket,total,--,AE,AR,AT,AU,BA,BB,BE,BG,BR,BS,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GE,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MC,MD,MM,MN,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PL,PT,RO,RS,RU,RW,SA,SE,SG,SI,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-11-10T04,101,2,0,0,0,5,0,0,0,1,1,0,0,9,0,0,0,10,0,0,3,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,4,0,0,2,10,0,0,5,0,2,1,34,0,0,0
2021-11-10T05,72,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,7,0,0,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,2,10,0,0,3,0,1,0,21,0,0,0
2021-11-10T06,60,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,7,0,0,2,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,2,10,0,0,1,0,1,1,16,0,1,0
2021-11-10T07,79,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,8,0,0,4,0,0,0,0,0,3,2,0,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,2,11,0,0,3,1,2,1,19,0,0,0
2021-11-10T08,89,1,1,1,0,3,0,0,1,0,0,0,0,2,0,0,0,7,0,0,12,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,1,0,0,0,1,0,0,2,9,0,0,6,1,6,1,14,0,0,0
2021-11-10T09,113,2,1,0,0,5,0,0,1,0,1,0,0,2,0,0,0,7,0,0,11,0,0,0,1,0,5,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,4,1,0,1,0,4,0,0,2,12,0,0,6,0,2,1,26,0,0,0
2021-11-10T10,97,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,7,0,0,14,0,0,0,1,0,6,3,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,1,0,2,0,0,2,18,0,0,6,0,5,0,10,0,1,1
2021-11-10T11,109,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,14,0,0,0,0,0,3,6,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,1,0,0,0,1,0,0,1,19,0,0,11,0,5,1,14,0,1,1
2021-11-10T12,129,2,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,11,0,0,6,0,0,0,6,0,1,3,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,5,1,0,1,0,2,0,0,2,22,0,0,23,2,5,1,16,0,0,1
2021-11-10T13,148,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,20,0,0,0,0,1,6,5,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,2,0,0,0,0,2,0,0,2,22,0,0,28,1,7,2,17,0,0,1
2021-11-10T14,168,2,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,12,0,0,23,0,0,0,0,0,6,10,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,3,0,0,3,19,0,0,30,1,8,2,19,0,0,1
2021-11-10T15,184,2,1,1,0,0,0,0,1,0,1,0,0,8,0,0,0,10,0,0,29,0,0,0,0,0,7,7,0,0,1,0,0,0,1,2,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,4,1,0,1,0,4,0,0,2,16,0,0,25,2,6,1,20,0,4,0
2021-11-10T16,180,1,0,0,0,1,0,0,0,0,2,0,0,8,2,0,0,17,0,0,40,0,0,0,1,0,10,7,0,0,2,0,0,0,0,0,0,12,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,10,0,0,0,1,1,0,1,1,0,3,0,0,4,11,0,0,16,0,3,1,20,0,0,1
2021-11-10T17,220,4,0,0,0,0,0,0,0,0,1,0,0,8,1,1,1,13,0,0,55,0,0,0,5,0,13,12,1,1,1,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,16,0,0,0,0,2,2,1,0,0,2,0,0,8,10,0,1,20,0,1,3,16,0,0,0
2021-11-10T18,234,2,0,0,1,0,0,0,2,0,0,0,0,8,2,0,0,7,0,0,67,1,0,0,9,0,15,21,0,0,1,1,0,1,1,0,0,19,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,24,1,0,0,0,0,1,0,0,0,2,0,0,5,10,0,0,6,0,2,1,21,0,1,0
2021-11-10T19,286,4,1,0,0,0,0,0,1,0,2,0,0,12,3,0,0,6,0,0,104,2,0,0,7,0,12,24,0,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,31,0,0,0,0,1,1,4,2,0,3,0,0,7,7,0,0,4,3,2,1,21,0,1,1
2021-11-10T20,229,2,0,0,0,0,0,0,1,0,0,0,0,11,1,1,0,8,0,0,52,2,0,0,8,0,15,15,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,1,0,1,0,1,0,0,6,8,0,0,7,4,1,0,29,0,1,0
2021-11-10T21,199,2,0,1,0,0,0,0,3,0,2,0,0,5,2,0,0,7,0,0,42,0,0,0,5,0,10,15,0,1,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,2,0,0,0,0,2,2,2,0,3,0,0,6,8,2,0,2,2,1,1,24,0,0,0
2021-11-10T22,163,1,0,3,0,0,0,0,2,0,6,0,0,7,2,0,0,5,0,0,21,0,0,0,2,0,9,14,0,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,6,1,0,2,0,0,2,10,0,0,5,2,1,0,22,0,1,0
2021-11-10T23,174,3,0,1,0,0,0,0,2,0,4,0,0,16,3,0,0,8,0,0,16,0,0,0,1,0,10,12,0,1,1,0,0,4,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,1,1,1,0,4,0,0,2,10,0,0,4,0,2,0,34,0,0,0
2021-11-11T00,90,1,0,0,0,0,0,0,0,0,2,0,0,14,1,0,0,4,0,0,4,0,0,0,0,0,2,8,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,1,1,2,0,32,0,0,0
