bucket,total,--,AR,AU,BA,BE,BR,CA,CH,CL,CN,DE,EG,ES,FI,FR,GB,GR,HK,IE,IL,IN,IT,JP,KH,KR,LT,MX,NL,NO,NZ,PA,PH,PL,PT,RO,RU,RW,SE,SG,SK,TH,TR,TW,UA,US,VN,ZA
2021-10-30T15,61,1,0,0,0,1,1,4,0,0,1,10,0,1,0,5,5,0,1,0,0,0,7,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,5,0,3,0,0,0,7,0,0
2021-10-30T16,227,0,1,0,1,3,2,8,2,0,8,47,0,9,0,10,13,0,4,0,1,1,23,1,0,1,1,0,17,1,0,0,1,1,1,1,5,0,2,10,0,13,1,1,1,35,0,1
2021-10-30T17,238,1,1,0,2,5,2,5,4,1,8,50,0,7,0,12,10,0,2,0,0,0,19,1,0,1,0,0,25,0,0,0,0,1,2,1,4,1,1,7,0,18,1,5,0,39,2,0
2021-10-30T18,225,1,1,0,0,4,1,8,3,1,10,53,0,12,0,10,10,0,4,3,0,0,6,1,0,0,2,0,26,0,0,0,0,1,2,2,4,0,3,10,0,11,1,1,0,27,7,0
2021-10-30T19,179,1,1,1,1,2,2,6,2,2,9,39,1,5,0,5,13,0,1,0,0,0,13,1,0,0,0,0,20,0,1,0,0,0,1,1,4,0,5,7,0,6,2,1,0,25,1,0
2021-10-30T20,185,1,1,0,0,2,3,5,3,1,7,37,0,4,0,7,14,1,1,0,0,0,15,1,0,0,1,0,24,0,0,0,0,0,1,0,3,0,6,5,1,5,1,0,0,35,0,0
2021-10-30T21,185,1,1,1,1,1,3,5,3,0,12,43,0,5,1,7,14,1,1,0,0,0,15,1,0,0,1,0,19,0,1,0,0,0,0,1,0,0,4,6,0,1,1,1,0,34,0,0
2021-10-30T22,143,1,0,0,1,1,2,5,0,0,7,19,0,3,0,8,11,1,2,0,0,0,16,1,0,0,2,0,12,0,0,1,0,0,2,1,3,0,3,7,0,2,2,0,0,30,0,0
2021-10-30T23,139,2,1,1,1,0,1,12,1,0,8,11,0,3,0,6,9,0,0,0,0,1,14,1,1,0,3,1,13,0,0,0,0,0,1,1,1,0,1,8,0,1,0,1,0,35,0,0
