bucket,total,--,AD,AE,AR,AT,AU,BA,BB,BD,BE,BG,BH,BM,BR,CA,CH,CI,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,FI,FR,GB,GE,GI,GR,HK,HR,HU,ID,IE,IL,IN,IT,JM,JP,KH,KR,KW,KZ,LA,LB,LK,LT,LV,MA,MD,ML,MM,MO,MV,MX,MY,NA,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PS,PT,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,TH,TR,TT,TW,UA,US,UY,VE,VN,ZA
2021-12-05T14,231,1,0,0,1,2,0,0,0,0,3,0,0,0,1,1,3,0,0,0,10,1,0,0,76,0,0,1,0,0,1,0,6,11,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,37,0,1,0,2,0,2,0,1,0,0,0,4,1,0,3,9,0,0,12,3,0,3,2,22,0,0,0,1
2021-12-05T15,261,2,0,0,3,2,0,0,0,0,4,0,0,0,2,3,2,0,1,0,12,1,0,0,82,0,0,0,0,0,2,0,12,13,0,0,0,2,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,23,0,0,0,2,0,1,0,0,0,0,0,6,0,0,6,10,0,0,13,2,0,4,0,25,0,0,0,1
2021-12-05T16,280,2,0,0,1,2,0,0,0,0,5,3,0,0,1,4,1,0,1,0,11,0,0,0,93,1,0,0,0,0,4,0,8,13,0,0,2,2,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,2,0,2,0,1,0,1,0,7,0,0,5,10,0,0,12,2,0,8,0,24,0,0,0,1
2021-12-05T17,279,1,0,0,0,3,0,1,0,0,4,0,0,0,1,5,2,0,0,0,7,0,0,0,91,1,0,0,0,0,6,0,14,15,1,0,0,3,0,0,0,1,0,0,17,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,4,0,3,0,0,0,5,0,0,9,8,0,0,10,2,0,8,0,36,0,0,0,1
2021-12-05T18,301,1,0,0,0,1,1,0,0,0,5,0,0,0,0,11,3,0,0,0,7,0,0,0,131,0,0,0,0,0,8,1,6,17,0,0,0,1,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,17,1,1,0,1,0,4,0,3,0,4,0,6,0,0,5,8,0,0,8,2,0,4,0,26,0,0,0,0
2021-12-05T19,277,1,0,0,1,1,0,0,0,0,3,0,0,0,0,13,4,0,0,0,9,0,0,0,92,0,0,0,0,0,5,0,7,14,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,0,1,0,2,0,2,0,1,0,7,0,0,3,7,0,0,4,2,0,5,2,32,0,0,0,0
2021-12-05T20,281,2,0,0,1,2,0,0,0,0,6,0,0,0,0,23,5,0,2,0,8,1,0,0,75,0,0,0,0,0,2,0,6,13,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,1,1,0,1,0,3,0,2,0,1,0,10,0,0,1,8,0,1,1,1,0,5,0,39,0,0,0,0
2021-12-05T21,241,4,0,0,0,3,0,0,0,0,5,0,0,0,3,10,4,0,1,0,8,0,0,0,56,0,0,0,0,0,3,0,4,14,0,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,1,1,0,1,0,2,0,1,0,0,0,2,0,0,0,7,0,3,1,0,0,3,0,41,0,0,0,0
2021-12-05T22,187,1,0,0,0,0,0,0,0,0,3,0,0,0,3,9,1,0,0,0,11,0,0,1,42,0,0,0,0,0,3,0,5,12,0,0,0,0,0,0,0,1,0,0,18,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,2,0,1,0,4,0,0,1,5,0,2,1,0,0,1,0,33,0,0,0,0
2021-12-05T23,147,1,0,0,2,0,1,0,0,0,3,0,0,0,4,6,1,0,0,0,5,0,0,0,16,0,0,0,0,0,3,0,3,11,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,2,0,0,0,2,0,0,1,11,0,2,0,0,0,2,0,45,0,0,0,0
2021-12-06T00,125,1,0,0,0,0,1,0,0,0,1,0,0,0,2,8,0,0,0,0,5,0,0,0,8,0,0,0,0,0,4,0,2,9,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,2,0,0,1,11,0,0,0,0,0,1,2,49,0,0,0,0
2021-12-06T01,95,1,0,0,0,0,0,0,0,0,2,0,0,0,0,8,1,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,6,0,0,0,0,0,1,0,42,0,0,5,0
