bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EE,EG,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LT,LU,LV,MD,MG,MM,MN,MO,MQ,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SA,SE,SG,SK,SY,TH,TR,TT,TW,UA,US,UY,VN,VU,ZA
2021-10-31T15,216,1,1,0,0,0,0,0,0,5,0,0,0,12,2,1,0,7,0,0,0,38,0,0,0,0,0,4,0,8,19,0,0,3,0,0,0,1,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,22,0,0,0,0,3,0,1,0,0,3,0,4,0,0,3,7,0,0,15,3,0,8,0,20,0,1,0,0
2021-10-31T16,347,1,0,0,0,0,0,0,0,3,0,0,0,12,1,1,0,10,0,0,0,41,0,0,0,0,0,8,0,10,25,0,0,3,0,0,0,0,0,0,0,24,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,2,0,2,0,0,0,0,1,0,0,4,7,1,0,5,2,0,4,98,57,0,0,0,1
2021-10-31T17,233,4,0,0,0,0,0,0,0,1,0,2,0,12,1,1,0,6,0,0,0,56,0,0,0,0,0,13,0,13,19,0,2,3,0,0,2,0,0,0,0,21,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,2,0,0,2,0,0,0,0,3,7,0,0,6,2,0,1,2,35,0,0,0,0
2021-10-31T18,256,0,0,0,0,0,1,0,0,3,0,1,0,13,2,1,0,9,0,0,0,61,0,0,0,0,0,11,0,9,25,0,3,4,0,0,2,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,1,0,0,1,0,0,11,6,0,0,8,2,0,4,1,41,0,0,0,0
2021-10-31T19,240,2,0,0,0,0,1,0,0,3,0,2,0,14,4,0,0,8,0,0,0,49,1,0,0,0,0,4,0,11,20,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,2,0,0,6,8,0,0,4,4,0,1,0,51,0,1,0,0
2021-10-31T20,208,2,0,0,0,0,0,0,0,2,0,1,0,6,2,0,0,10,0,0,0,41,1,0,0,0,0,3,1,9,18,0,1,2,0,0,0,2,1,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,1,0,1,1,0,0,4,6,1,0,2,2,0,1,0,50,0,0,0,0
2021-10-31T21,155,1,0,1,0,0,0,0,0,1,0,0,0,3,3,0,0,13,0,0,0,27,1,0,0,0,0,0,0,10,12,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,8,0,0,1,1,0,0,0,23,0,1,0,0
2021-10-31T22,142,0,0,1,0,0,0,0,0,0,0,1,0,2,3,0,0,6,0,0,0,37,1,0,0,0,0,1,0,11,10,0,1,2,0,0,0,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,1,0,2,1,0,1,1,0,1,5,0,0,0,1,0,1,0,31,0,0,0,0
2021-10-31T23,151,1,0,2,0,1,0,3,0,0,0,3,0,6,1,0,0,9,0,0,0,20,1,0,0,0,0,0,0,7,9,0,0,1,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,8,0,0,0,0,0,1,0,43,0,0,0,2
2021-11-01T00,115,1,0,1,0,0,0,2,0,0,0,2,0,5,0,0,0,7,0,1,0,8,0,0,0,0,0,0,0,3,9,0,1,2,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,9,0,0,0,0,2,1,2,39,0,0,0,1
2021-11-01T01,105,0,2,0,0,0,0,4,0,0,0,1,0,4,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,5,4,0,1,1,0,0,0,0,0,0,0,6,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,8,0,0,0,0,0,2,1,35,0,0,0,1
2021-11-01T02,111,1,0,0,0,1,0,4,0,0,0,0,0,8,0,0,0,9,0,0,0,4,0,0,0,0,0,0,1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,11,0,0,1,1,0,3,1,46,0,0,0,1
2021-11-01T03,84,1,1,0,0,1,0,0,0,0,0,1,0,4,0,0,0,9,0,0,0,5,0,1,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,2,0,1,0,0,0,0,0,1,1,0,0,1,7,0,0,1,0,0,3,0,28,0,1,0,1
2021-11-01T04,75,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,0,33,0,0,0,1
2021-11-01T05,76,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,8,0,0,1,0,0,3,0,22,0,5,0,1
2021-11-01T06,96,1,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,1,2,0,0,4,0,0,4,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,0,0,3,0,0,2,0,2,0,0,0,0,0,0,5,0,0,1,6,0,0,1,1,0,1,0,27,0,1,0,1
2021-11-01T07,93,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,6,0,0,0,0,0,0,0,5,4,0,0,2,0,0,5,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,15,0,0,5,0,0,1,0,25,0,1,0,1
2021-11-01T08,96,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,7,0,0,0,13,0,0,0,0,0,0,1,2,5,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,11,0,0,4,0,0,5,0,24,0,0,0,1
