bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MD,ME,MK,ML,MO,MX,MY,MZ,NG,NL,NO,NZ,PH,PL,PR,PT,RO,RS,RU,RW,SC,SE,SG,SK,TH,TN,TR,TW,UA,US,UY,VN,ZA
2021-12-26T17,202,2,1,1,1,0,0,0,0,1,0,0,1,2,1,0,0,8,0,0,43,0,0,0,0,8,0,17,6,0,0,1,0,1,0,0,0,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,10,0,0,0,0,0,6,0,0,3,0,0,3,6,0,14,0,1,8,0,29,0,0,0
2021-12-26T18,233,2,0,0,1,0,0,1,0,2,0,0,0,6,0,0,0,9,0,0,54,0,0,0,0,15,0,12,6,0,2,0,0,1,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,2,2,0,4,0,0,3,6,0,10,0,1,6,0,35,0,0,0
2021-12-26T19,208,3,0,0,2,0,0,0,0,2,0,0,2,6,3,0,0,6,0,0,52,0,0,0,0,14,0,8,9,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,2,3,1,2,0,0,2,6,0,9,0,1,5,0,26,0,0,1
2021-12-26T20,204,2,0,0,1,0,0,0,0,0,0,0,2,11,3,0,0,6,0,0,40,0,0,0,0,10,0,10,9,1,1,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,3,1,1,1,0,0,4,7,0,3,0,1,5,0,42,0,0,0
2021-12-26T21,214,4,0,0,0,0,0,0,0,1,0,0,1,9,4,0,0,11,0,0,53,1,0,0,0,5,0,6,15,1,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,3,0,0,4,0,0,5,7,0,3,0,0,4,0,34,0,0,0
2021-12-26T22,158,2,0,0,1,1,0,0,0,3,0,0,2,3,2,1,0,11,0,0,37,0,0,0,0,1,0,4,9,1,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,1,0,3,0,0,2,6,0,0,0,0,5,0,33,1,0,0
2021-12-26T23,159,2,0,1,0,1,0,0,0,2,0,0,3,4,0,0,0,11,0,0,26,0,0,0,0,3,0,8,12,1,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,2,0,0,3,0,0,2,7,0,2,0,0,5,0,29,0,7,0
2021-12-27T00,132,3,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,9,0,0,11,0,0,0,0,2,0,5,8,1,1,0,0,0,0,2,0,10,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,2,0,0,2,5,0,1,0,0,4,1,45,1,0,0
2021-12-27T01,106,4,0,0,1,1,0,0,0,0,0,0,2,4,0,0,0,8,0,0,5,0,0,0,0,1,0,2,5,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,1,0,3,0,0,2,8,0,0,0,0,4,1,35,1,0,0
2021-12-27T02,84,3,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,4,0,0,6,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,3,0,0,2,6,0,0,0,0,3,1,34,0,0,0
2021-12-27T03,74,1,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,5,0,0,4,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,2,0,0,2,5,0,0,0,0,1,0,29,0,0,1
2021-12-27T04,79,2,0,0,1,2,0,0,0,0,0,0,0,7,0,0,0,6,0,0,4,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,5,0,0,2,6,0,1,0,0,1,1,27,0,0,1
2021-12-27T05,68,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,5,1,0,4,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,2,0,0,2,5,0,1,0,0,2,0,25,0,0,0
2021-12-27T06,70,2,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,7,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,2,8,0,5,0,0,1,1,23,0,1,0
2021-12-27T07,74,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,7,0,0,6,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,6,0,5,0,0,4,1,21,0,0,0
2021-12-27T08,68,2,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,5,0,0,8,0,0,0,0,0,0,4,3,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,3,0,0,2,5,0,3,0,0,1,0,16,0,0,0
2021-12-27T09,97,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,7,0,0,17,0,0,0,0,2,0,7,3,1,2,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,1,0,0,0,1,0,3,0,0,2,8,0,5,0,0,1,0,12,0,0,0
2021-12-27T10,108,2,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,5,0,0,25,0,0,0,0,2,0,4,5,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,1,0,0,4,0,0,2,9,0,2,0,0,2,0,15,0,0,0
2021-12-27T11,132,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,7,0,1,28,0,0,0,0,1,0,4,7,0,1,0,0,1,0,1,0,11,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,5,0,0,2,7,0,8,0,0,5,0,17,0,0,0
2021-12-27T12,177,1,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,8,0,0,36,0,0,0,0,0,0,8,7,0,3,0,0,1,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,1,2,0,1,0,0,4,0,0,2,7,0,18,0,1,4,1,32,0,0,0
2021-12-27T13,135,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,9,0,0,27,0,0,0,0,0,2,8,7,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,3,0,0,2,9,0,13,0,1,4,1,15,0,0,0
2021-12-27T14,203,1,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,10,0,0,50,0,0,0,0,0,1,14,13,0,3,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,1,0,1,0,0,6,0,0,3,11,0,17,0,1,4,2,23,0,0,0
2021-12-27T15,243,1,0,0,3,0,0,0,0,1,0,0,0,5,1,1,0,19,0,0,66,0,0,0,0,1,1,14,12,0,3,0,0,2,0,0,0,11,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,35,0,0,1,0,0,0,0,0,6,0,0,3,13,0,12,0,2,6,0,19,0,0,0
