bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MD,ME,MK,ML,MO,MX,MY,MZ,NG,NL,NO,NZ,PH,PL,PR,PT,RO,RS,RU,RW,SC,SE,SG,SK,TH,TN,TR,TW,UA,US,UY,VN,ZA
2021-12-28T20,264,2,0,2,2,0,0,0,0,1,0,0,0,9,1,0,0,3,0,0,71,0,0,0,0,7,0,12,18,1,1,0,0,0,1,0,0,22,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,3,1,2,2,0,4,1,0,2,7,1,5,0,2,1,0,36,0,0,0
2021-12-28T21,217,2,0,1,2,0,0,0,0,0,0,0,0,6,2,0,1,6,0,0,69,0,0,0,0,3,0,8,13,1,0,0,0,1,0,0,0,19,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,3,0,0,3,0,0,2,7,1,4,0,0,0,1,26,0,0,0
2021-12-28T22,173,1,0,2,0,3,0,0,0,0,0,0,0,3,1,0,0,6,0,0,47,1,0,0,0,2,0,6,12,1,1,0,0,2,0,0,0,12,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,2,1,0,3,0,0,2,6,0,4,0,0,0,0,24,0,0,0
2021-12-28T23,150,0,0,2,0,2,0,0,0,1,0,0,0,5,2,0,0,6,0,0,33,0,0,0,0,2,0,6,15,1,0,0,0,2,0,0,0,7,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,2,0,0,4,0,0,2,5,0,2,0,0,0,0,26,0,0,0
2021-12-29T00,132,2,0,1,0,1,0,0,0,1,0,0,2,6,4,0,0,6,0,0,17,0,0,0,0,3,0,3,7,1,0,0,0,1,0,0,0,6,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,1,8,0,1,0,0,0,0,41,0,0,0
2021-12-29T01,114,2,0,0,0,1,0,0,0,0,0,0,3,11,0,1,0,5,0,0,10,0,0,0,0,1,0,2,6,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,8,0,0,0,0,0,2,2,0,3,0,0,1,9,0,0,0,0,1,0,34,0,0,0
2021-12-29T02,113,2,0,0,0,1,0,0,0,0,1,0,1,9,0,0,0,4,0,0,9,0,0,0,0,1,0,5,6,0,1,0,2,3,0,0,0,2,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,3,0,0,1,7,0,1,0,0,2,0,40,0,0,0
2021-12-29T03,106,1,0,0,0,1,0,0,0,0,0,0,0,12,0,1,0,6,0,0,7,0,0,0,0,1,0,3,7,0,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,3,0,0,1,7,0,2,0,0,0,1,37,1,0,0
2021-12-29T04,90,1,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,8,0,0,5,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,7,0,2,0,0,0,0,32,0,6,0
2021-12-29T05,77,1,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,5,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,7,0,1,0,0,0,1,35,0,1,0
2021-12-29T06,72,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,6,0,0,7,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,1,7,0,2,0,0,0,0,28,0,0,0
2021-12-29T07,73,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,7,0,0,10,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,2,6,0,2,0,0,1,2,14,0,0,0
2021-12-29T08,93,1,1,0,0,1,0,0,0,1,0,0,0,2,1,0,0,5,0,0,13,0,0,0,0,1,0,4,2,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,1,0,0,0,0,0,0,7,0,0,1,5,0,6,0,0,2,0,20,0,0,0
2021-12-29T09,103,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,22,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,18,0,0,0,0,0,0,0,0,6,0,0,1,6,0,3,0,0,2,2,11,0,0,0
2021-12-29T10,121,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,30,0,0,0,0,5,0,10,6,1,0,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,2,7,0,2,0,0,2,0,14,0,0,0
2021-12-29T11,127,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,8,0,0,25,0,0,0,0,3,0,4,5,1,1,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,1,0,0,0,0,6,1,0,2,9,1,4,0,0,4,0,20,0,0,0
2021-12-29T12,134,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,0,26,0,0,0,0,2,0,4,9,0,2,0,1,0,0,0,0,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,19,0,0,0,1,0,0,1,0,5,0,0,1,7,0,7,0,1,4,0,20,0,0,0
2021-12-29T13,179,2,0,0,1,0,0,0,0,2,0,0,0,3,4,0,0,9,0,0,39,0,0,0,0,0,0,9,8,1,2,0,1,0,0,0,0,9,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,32,0,0,1,0,0,0,0,0,2,0,0,2,10,0,15,0,0,3,0,16,0,0,0
2021-12-29T14,209,3,0,0,2,0,0,0,0,1,0,0,0,1,3,0,0,7,0,0,76,0,0,0,0,0,0,6,12,0,1,0,1,0,0,0,0,9,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,29,0,0,1,0,0,1,0,0,5,0,0,3,9,1,10,0,1,4,0,16,0,0,0
2021-12-29T15,244,4,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,6,0,0,87,0,0,0,0,1,0,10,15,0,3,0,1,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,37,0,0,1,0,0,0,1,0,5,0,0,4,6,0,14,0,1,5,0,21,0,0,0
2021-12-29T16,265,2,3,0,2,0,0,0,0,2,0,0,1,11,2,0,0,7,0,0,102,0,0,0,0,4,0,8,17,0,1,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,4,0,0,0,0,4,0,0,6,6,0,15,0,2,4,1,19,0,0,0
2021-12-29T17,268,0,2,0,1,0,0,0,0,1,0,0,1,7,4,0,0,6,0,0,88,0,0,0,0,5,0,12,17,0,1,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,1,3,0,1,1,0,6,1,0,8,6,1,9,0,2,2,0,27,0,1,0
2021-12-29T18,308,2,1,0,1,0,0,0,0,4,0,0,0,11,1,0,0,7,0,0,103,0,0,0,0,13,0,12,13,1,1,0,0,2,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,50,0,0,0,2,0,1,4,0,6,0,0,5,5,0,8,0,1,4,1,24,0,0,0
2021-12-29T19,301,3,0,0,0,1,0,0,0,8,0,0,1,10,5,0,0,3,0,0,88,0,0,0,0,13,0,11,12,1,0,0,0,1,0,0,0,20,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,3,0,4,0,0,5,7,0,8,1,2,0,1,37,0,0,0
2021-12-29T20,264,4,0,0,2,0,0,0,0,6,0,0,0,11,2,0,0,7,0,0,64,0,0,0,0,10,0,10,19,1,0,0,0,1,0,0,0,28,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,39,1,0,0,0,0,0,1,0,3,0,0,5,5,0,2,0,1,0,0,37,0,0,0
2021-12-29T21,209,2,0,0,0,1,0,0,0,1,0,0,0,7,1,1,0,3,0,0,51,0,0,0,0,5,0,6,14,1,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,2,0,1,0,0,3,0,0,3,6,0,1,0,0,1,0,39,1,0,0
2021-12-29T22,202,3,0,0,0,2,0,0,0,1,0,0,1,13,0,1,0,4,0,0,42,0,0,0,0,4,0,8,20,1,0,0,0,1,1,0,0,17,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,2,0,1,0,0,5,0,0,2,6,0,2,0,1,0,1,29,0,5,0
2021-12-29T23,177,2,0,0,1,1,0,0,0,1,0,0,1,14,1,0,0,7,0,0,37,1,0,0,0,1,0,5,14,1,1,0,0,1,0,0,0,15,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,3,0,0,5,0,0,2,5,0,0,0,0,0,0,35,0,0,0
2021-12-30T00,147,2,0,0,1,2,0,0,0,1,0,0,0,16,1,0,0,5,0,0,19,1,0,0,0,1,0,3,12,1,0,0,0,0,0,0,0,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,4,2,0,5,0,0,2,6,0,1,0,0,0,1,43,1,0,0
2021-12-30T01,133,2,0,0,0,2,0,0,0,0,0,1,0,18,0,0,0,6,0,1,10,0,0,0,0,1,0,5,10,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,3,0,0,2,5,0,3,0,1,2,0,45,0,0,0
2021-12-30T02,128,1,0,1,0,2,0,0,0,0,0,0,0,16,0,0,0,4,0,0,5,0,0,0,0,1,0,4,7,0,0,0,0,0,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,4,0,0,2,6,0,3,0,0,1,2,54,0,1,0
2021-12-30T03,108,2,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,4,0,0,5,0,0,0,0,0,0,3,5,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,4,1,0,0,0,0,0,6,0,0,2,5,0,2,0,0,0,0,50,1,0,0
2021-12-30T04,114,2,0,1,0,2,0,0,0,0,0,0,3,5,0,0,0,10,0,0,6,0,0,0,0,0,0,2,4,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,3,1,0,0,0,0,0,2,0,0,2,5,0,3,0,0,1,1,49,0,0,0
2021-12-30T05,96,2,0,0,0,2,0,0,0,0,0,0,1,7,0,0,0,5,0,0,6,0,0,0,0,0,0,3,3,0,0,0,2,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,3,0,0,2,7,0,1,0,0,0,1,33,0,0,0
2021-12-30T06,89,2,0,0,0,5,0,0,0,0,0,0,2,5,0,0,0,11,0,0,7,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,3,0,0,2,5,0,2,0,0,0,1,26,0,0,0
2021-12-30T07,88,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,14,0,0,12,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,6,0,0,1,0,0,0,0,0,3,0,0,2,6,0,4,0,0,0,1,19,0,0,0
2021-12-30T08,101,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,25,0,0,0,0,1,0,6,5,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,4,0,0,2,9,0,3,0,0,0,1,19,0,0,0
2021-12-30T09,111,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,35,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,17,0,0,2,0,0,0,0,0,4,0,0,3,5,0,2,0,1,2,0,15,0,0,0
2021-12-30T10,133,2,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,6,0,0,33,0,1,0,0,1,0,9,5,0,2,0,0,1,0,0,0,9,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,19,0,0,3,0,0,0,1,0,1,0,0,3,7,0,2,0,0,1,0,14,0,0,0
2021-12-30T11,136,1,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,6,0,1,31,0,0,0,0,4,0,5,7,0,1,0,1,0,0,0,0,5,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,3,0,0,1,0,0,3,0,0,2,10,0,2,0,0,1,4,16,0,0,0
2021-12-30T12,158,3,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,8,0,1,31,1,0,0,0,4,0,9,8,0,1,0,1,2,0,0,0,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,17,0,0,3,0,0,1,1,0,1,0,0,2,12,0,5,0,0,2,1,22,0,0,0
2021-12-30T13,171,6,0,0,0,1,0,0,0,4,0,0,0,1,1,1,0,12,0,0,38,0,0,0,0,5,1,11,7,0,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,22,1,0,2,1,0,0,0,0,4,0,0,5,9,0,3,0,0,2,1,19,0,0,0
2021-12-30T14,172,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,9,0,0,44,0,0,0,0,2,0,13,10,1,2,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,25,1,0,1,0,0,1,0,0,3,0,0,4,10,0,2,0,0,2,0,21,0,0,0
2021-12-30T15,194,1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,56,0,0,0,0,5,0,8,13,0,1,0,0,1,0,0,0,7,3,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,1,1,0,0,1,0,3,0,0,5,5,0,5,0,0,3,3,18,0,0,0
2021-12-30T16,232,2,5,0,1,0,0,0,0,0,0,0,1,4,2,0,0,7,0,0,63,0,0,1,0,6,0,18,18,2,3,0,0,1,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,2,0,0,1,0,3,0,0,5,5,0,3,0,0,2,0,19,0,7,0
2021-12-30T17,250,1,2,0,1,0,0,0,0,1,0,0,1,5,1,0,0,3,0,0,84,0,0,0,0,7,0,19,20,1,1,0,0,2,2,1,0,20,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22,0,0,1,1,0,2,1,0,4,0,0,5,6,0,6,0,0,3,0,22,0,0,0
2021-12-30T18,300,2,2,1,0,0,0,0,0,1,0,0,1,6,3,0,0,5,0,0,78,0,0,0,1,9,0,7,23,1,2,0,0,0,1,0,0,27,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,39,0,0,1,4,0,1,1,0,7,0,0,7,6,0,4,0,1,3,2,48,0,1,0
2021-12-30T19,281,2,1,0,0,1,0,0,0,2,0,0,0,19,1,0,0,1,0,1,83,0,0,0,1,9,0,10,22,1,2,0,0,2,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,1,0,0,2,0,5,0,0,7,5,0,4,0,0,0,2,32,0,0,0
2021-12-30T20,235,1,0,0,4,2,0,0,0,1,0,0,0,18,1,1,0,1,0,1,55,0,0,0,1,3,0,10,14,1,1,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,2,0,0,2,0,5,0,0,4,5,0,4,0,1,0,0,28,1,0,0
2021-12-30T21,205,1,0,1,0,0,0,0,0,1,0,0,0,11,3,0,0,2,0,1,51,0,0,0,0,1,0,11,13,1,1,0,0,0,1,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,2,0,3,0,0,3,7,0,1,0,0,1,1,25,0,0,0
2021-12-30T22,180,1,0,2,1,1,0,0,0,1,0,0,0,12,2,0,0,6,0,0,33,0,0,0,0,2,0,8,16,1,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,2,1,0,3,0,0,2,6,0,1,0,0,1,0,28,0,0,0
2021-12-30T23,157,1,0,1,1,0,0,0,0,0,0,0,0,15,1,0,0,2,0,0,30,0,0,0,0,1,0,8,13,1,1,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,4,0,0,1,6,0,1,0,0,2,2,30,0,0,0
2021-12-31T00,110,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,17,0,0,0,0,2,0,3,4,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,1,0,1,0,0,4,0,0,1,8,0,0,0,0,1,0,33,0,0,0
