bucket,total,--,AD,AE,AR,AT,AU,BB,BD,BE,BG,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,EE,ES,FI,FR,GB,GE,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,MD,MK,ML,MO,MT,MX,MY,MZ,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,SC,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,VE,VN,YE,ZA
2021-12-19T16,252,2,0,1,0,2,0,0,0,0,0,3,10,1,1,0,5,0,0,66,2,0,1,8,0,15,15,0,0,0,0,2,0,0,0,1,0,0,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,33,0,2,0,1,0,3,1,2,0,4,0,4,11,0,0,9,0,0,4,1,22,0,0,0,0,0
2021-12-19T17,273,1,0,0,0,2,0,0,0,3,1,3,12,3,1,0,9,0,0,72,1,0,0,14,0,15,20,0,0,0,0,1,0,0,0,0,0,0,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,2,0,1,0,3,0,6,6,0,0,9,0,0,2,0,29,0,0,0,0,0
2021-12-19T18,303,1,0,0,2,1,0,0,0,10,0,4,13,3,0,1,7,0,0,90,0,0,0,12,0,16,15,0,0,1,0,2,0,0,0,0,0,0,21,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,1,1,0,1,0,3,0,0,0,8,0,7,8,0,0,5,0,0,2,1,30,0,0,5,0,0
2021-12-19T19,274,3,0,0,3,1,0,0,0,4,0,3,12,0,0,0,9,0,0,89,0,0,0,10,0,8,10,0,0,1,0,2,0,0,2,1,0,0,14,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,34,1,0,0,0,1,5,2,3,0,4,1,4,5,0,1,3,0,0,1,0,27,0,0,1,0,0
2021-12-19T20,235,1,0,0,1,2,1,0,0,3,0,2,20,1,0,0,7,0,0,49,0,0,0,5,0,11,11,0,0,1,0,0,0,0,0,1,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,4,1,1,0,4,0,4,7,0,0,4,0,0,2,0,35,0,0,1,0,0
2021-12-19T21,229,1,0,0,0,2,0,0,0,2,0,1,14,2,0,0,11,1,0,51,1,0,0,7,0,6,13,0,0,1,0,0,0,0,0,0,1,0,17,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,3,1,0,1,5,0,3,7,0,0,1,0,0,1,1,35,0,0,0,0,0
2021-12-19T22,169,2,0,0,0,1,0,0,0,2,0,3,5,2,0,0,7,0,0,31,0,0,0,2,0,7,9,0,0,1,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24,0,1,0,0,0,2,1,0,0,3,0,2,6,0,0,0,0,0,3,0,28,0,0,0,0,0
2021-12-19T23,158,2,0,0,1,1,0,0,0,1,0,1,19,1,0,0,9,0,0,16,0,0,0,1,0,5,11,0,0,1,0,1,1,0,1,0,0,0,15,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,1,0,0,0,4,0,3,7,0,0,1,0,0,2,2,30,0,0,0,0,1
2021-12-20T00,146,2,0,0,0,0,0,1,0,2,1,1,19,0,0,0,4,0,0,13,0,0,0,1,0,7,9,0,0,1,0,0,0,0,1,0,1,0,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,14,0,0,0,1,0,0,0,2,0,3,0,2,7,0,0,0,0,0,3,0,40,0,0,0,0,0
2021-12-20T01,118,1,0,0,0,0,0,1,0,0,0,0,13,0,0,0,10,0,0,9,0,0,0,0,0,5,9,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,1,0,0,4,0,3,6,0,0,0,0,0,2,0,35,0,0,0,0,0
