bucket,total,--,AD,AE,AL,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BM,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GI,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JM,JP,KE,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MD,ME,MK,ML,MM,MO,MQ,MT,MV,MX,MY,MZ,NA,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,UA,US,UY,VE,VN,YE,ZA,ZM
2021-12-12,3052,13,0,1,0,7,5,9,0,0,0,0,17,1,0,0,6,2,70,12,0,2,0,65,1,0,0,3,413,2,0,0,0,1,1,25,1,64,87,0,0,0,1,0,10,0,0,3,7,1,3,0,0,83,0,18,2,1,4,0,0,1,5,1,3,1,1,0,0,0,0,2,1,0,1,0,0,1,1,10,0,0,0,0,172,1,0,4,1,0,12,1,12,0,4,0,0,10,0,1276,0,0,0,0,25,95,1,4,43,0,4,0,18,11,371,1,0,15,0,2,0
2021-12-13,2304,6,0,2,0,8,10,7,0,1,0,0,15,1,0,0,9,0,55,8,0,3,0,62,0,1,0,1,705,4,0,0,1,1,1,31,0,34,99,0,1,0,2,1,13,0,0,5,10,1,1,1,0,74,0,29,0,1,5,0,0,0,6,0,0,2,1,0,0,1,0,2,0,0,2,1,0,0,1,18,0,0,0,0,398,6,0,6,1,0,8,0,9,0,4,1,0,9,2,27,0,0,0,0,14,72,0,5,39,0,3,0,15,8,415,0,0,19,0,0,0
2021-12-14,2449,12,0,2,1,9,12,10,0,0,0,1,10,1,0,0,20,0,96,9,0,3,1,54,3,1,0,3,699,4,0,0,0,1,0,27,2,51,99,0,1,0,3,0,12,0,1,4,6,1,3,0,0,85,0,21,0,1,3,0,0,0,1,0,1,5,0,0,0,3,0,0,1,1,1,0,0,1,0,14,0,0,0,0,388,2,0,1,1,0,18,0,7,0,6,0,0,9,3,22,1,0,0,0,26,61,0,4,40,1,4,0,20,114,403,0,0,16,0,2,0
2021-12-15,2238,12,0,2,0,4,11,7,0,0,0,0,22,0,0,0,26,0,101,12,0,2,0,58,2,0,0,0,616,1,0,0,1,1,0,34,1,49,90,0,0,0,1,0,18,0,0,2,0,1,7,0,0,79,0,30,0,0,4,0,0,0,2,0,0,2,1,0,0,3,0,0,1,0,0,0,0,0,2,6,0,0,0,0,342,3,0,0,0,0,19,0,7,0,8,0,0,3,2,20,2,0,0,0,26,69,1,2,40,0,6,0,21,11,433,0,0,12,0,0,0
2021-12-16,2099,9,1,4,0,4,6,4,0,0,0,0,7,0,1,0,20,0,86,6,0,4,0,54,2,0,1,1,576,5,0,0,0,0,1,38,4,53,97,0,0,0,2,0,11,0,1,3,7,1,2,0,0,80,0,14,1,1,7,0,0,0,3,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,9,1,0,0,0,370,3,0,6,1,0,15,0,9,0,4,0,0,8,1,20,0,0,0,0,13,58,0,2,40,0,5,0,24,10,361,0,0,15,0,1,0
2021-12-17,1688,9,0,6,0,2,5,10,0,1,0,1,9,1,0,0,14,0,78,7,0,2,0,48,0,0,1,0,438,2,0,0,2,1,0,37,0,43,106,0,0,0,1,0,9,0,1,0,6,0,1,0,0,67,0,10,0,0,4,0,1,0,4,0,0,7,2,0,0,0,0,0,0,0,0,0,0,1,2,7,1,0,0,0,192,4,0,0,0,1,5,0,4,0,6,0,0,8,1,12,1,1,0,0,16,49,0,2,40,1,3,1,18,10,358,0,0,7,0,1,0
2021-12-18,1553,9,0,5,1,7,6,9,0,1,0,1,14,1,0,0,16,0,94,8,0,3,1,56,1,0,0,2,336,3,0,0,0,1,1,26,1,55,75,0,0,0,2,0,15,0,0,3,9,1,3,0,0,89,0,9,0,1,0,0,0,0,1,1,0,8,0,0,0,0,0,0,1,0,1,0,0,0,4,7,1,0,0,0,153,0,0,0,0,0,2,0,14,1,5,0,0,12,0,19,0,0,0,0,19,61,0,2,25,0,3,0,14,7,315,0,1,9,0,2,0
2021-12-19,1782,10,0,6,0,9,6,13,0,0,0,2,20,2,0,0,18,0,95,8,0,2,1,77,2,0,0,0,438,3,0,0,0,1,0,41,0,58,91,0,0,0,1,0,19,0,3,0,5,2,5,1,0,93,0,11,0,0,3,0,0,0,1,0,0,4,1,0,0,1,0,0,1,0,1,0,0,0,0,3,1,0,0,0,174,4,0,2,0,0,4,1,11,0,6,0,0,11,1,20,0,0,1,0,26,52,0,2,34,0,4,0,26,8,317,0,1,15,0,3,0
2021-12-20,2028,9,0,0,0,7,8,6,0,0,1,0,10,3,0,0,13,0,84,10,0,1,0,77,1,0,0,2,510,2,1,0,0,1,0,24,0,66,89,1,0,0,3,1,10,0,0,0,7,2,11,1,0,72,0,25,0,1,5,0,0,0,0,0,0,6,1,0,0,2,0,0,1,0,1,0,0,0,0,3,0,0,0,0,311,6,0,4,0,0,4,0,10,0,9,0,0,14,1,21,0,0,1,0,16,42,4,1,40,0,2,0,20,7,422,0,0,13,1,1,0
2021-12-21,2132,12,0,4,0,1,10,15,0,0,0,0,8,0,0,0,14,0,91,15,0,1,1,81,1,0,0,1,529,4,3,0,0,0,0,32,2,73,89,0,1,0,1,0,11,0,1,1,9,1,10,1,0,91,0,21,0,0,5,0,0,0,1,0,0,10,1,0,0,5,0,0,1,0,1,0,0,0,2,5,0,0,0,1,329,4,0,0,0,0,6,0,11,0,6,0,0,9,1,20,0,0,0,0,18,58,0,2,44,1,4,0,24,6,410,0,0,12,0,0,0
2021-12-22,2026,17,0,6,0,4,6,7,0,0,0,2,11,1,0,0,8,0,81,21,0,1,0,59,2,0,0,0,450,4,2,0,0,1,0,29,2,61,94,0,0,0,1,2,14,0,3,2,9,1,7,0,0,80,0,29,1,1,2,0,0,0,0,0,0,9,2,0,0,3,0,2,1,0,1,0,1,0,4,4,0,0,0,0,341,0,0,1,0,0,2,0,10,0,9,0,0,10,3,18,0,0,0,0,17,42,0,2,53,0,6,0,24,13,416,0,1,8,0,2,0
2021-12-23,91,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,4,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,2,1,22,0,0,0,0,0,0
