bucket,total,--,AE,AR,AT,AU,BA,BB,BE,BR,CA,CH,CL,CN,CO,CR,DE,DK,EC,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KH,KR,LK,LT,LU,MD,MK,MN,MO,MT,MX,MY,NL,NO,NZ,PA,PE,PH,PL,PT,RO,RS,RU,RW,SA,SE,SG,SK,SV,TH,TR,TT,TW,UA,US,UY,VN,ZA
2021-10-01,1069,2,9,2,4,42,2,4,7,3,55,5,9,2,2,1,196,0,0,0,37,0,41,85,0,10,0,1,2,3,1,0,0,0,75,0,0,0,3,0,1,0,1,2,0,1,0,4,16,64,1,5,1,0,22,4,7,2,0,11,0,0,13,19,3,0,91,3,1,58,0,130,4,0,2
2021-10-02,990,0,7,5,0,39,1,0,5,11,61,7,5,1,2,0,164,1,0,0,22,1,44,57,3,5,0,2,0,5,0,0,0,0,70,0,0,0,2,0,0,0,1,2,0,3,1,8,15,85,0,2,0,1,34,4,5,6,0,7,0,0,7,12,4,0,74,5,0,52,1,132,6,3,0
2021-10-03,1097,1,4,3,0,45,4,4,6,8,70,7,6,2,0,0,195,0,0,1,31,3,31,74,0,16,0,1,0,4,1,0,0,1,89,3,0,0,3,0,0,0,1,2,0,1,0,1,21,68,1,0,0,0,14,5,6,7,1,4,0,0,30,36,1,0,76,2,0,63,2,142,0,0,0
2021-10-04,1010,5,0,22,6,25,1,0,10,9,76,7,3,5,0,0,192,4,0,0,23,1,32,70,2,11,1,0,4,11,2,1,0,0,70,1,0,0,0,1,0,0,1,2,0,1,0,5,4,61,0,1,1,0,21,5,4,3,0,14,0,0,26,21,1,1,84,2,0,37,0,119,0,1,0
2021-10-05,186,2,1,5,0,15,0,0,1,2,37,0,0,3,1,0,11,0,1,0,0,0,3,5,1,2,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,3,1,1,0,0,0,0,0,1,5,0,0,9,0,0,8,0,53,0,0,2
2021-10-30,745,3,0,2,0,3,3,0,6,5,35,5,2,35,0,0,139,0,0,1,23,1,34,43,1,5,0,0,0,3,1,2,0,0,51,1,0,1,2,0,6,0,0,0,0,0,0,1,0,60,1,2,1,0,1,2,7,3,0,13,1,0,10,23,1,0,26,4,0,7,1,158,0,9,1
2021-10-31,1650,10,1,5,3,6,2,3,8,13,64,6,3,72,1,0,236,1,0,0,31,2,59,95,4,14,2,1,4,11,2,4,1,0,65,6,1,1,2,0,6,1,0,0,1,0,0,4,12,93,3,2,0,0,13,4,6,8,1,24,1,6,27,61,3,0,69,9,1,21,101,420,0,11,3
