bucket,total,--,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BN,BO,BR,BT,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,GU,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LK,LT,LU,LV,MA,MD,ME,MG,MK,MM,MN,MO,MT,MU,MX,MY,NC,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PR,PS,PT,PY,RE,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SV,TG,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2024-06-11,1694,9,1,1,0,0,5,4,17,0,0,0,2,5,8,0,1,20,1,0,0,50,11,0,4,1,75,0,0,0,0,0,143,0,0,0,0,2,0,20,0,4,68,75,0,0,0,0,0,14,1,1,2,7,57,0,16,1,3,0,55,0,45,0,2,8,1,1,0,2,1,0,0,0,0,0,1,0,2,1,0,0,2,7,1,1,47,5,0,8,0,0,0,8,0,11,0,0,5,0,0,8,0,8,3,0,0,13,33,1,0,0,0,65,0,3,0,17,0,2,0,685,0,1,0,5,7,0,0
2024-06-12,1354,11,0,0,0,1,6,1,9,0,1,0,4,4,7,0,0,11,0,0,0,46,6,0,4,2,99,2,0,0,0,1,122,2,0,1,0,0,0,17,0,7,45,76,0,0,2,0,0,25,0,0,0,0,15,0,7,0,5,1,60,0,34,0,1,8,1,1,0,2,0,0,0,0,0,0,0,0,2,3,0,0,1,5,0,4,55,6,0,10,0,0,0,9,1,8,0,0,2,1,0,12,0,20,6,1,0,7,34,0,0,0,0,61,1,6,0,20,0,5,0,414,0,0,0,8,5,0,0
2024-06-13,1379,9,0,1,0,0,4,1,8,0,2,0,1,2,11,0,1,9,0,0,1,64,7,0,4,0,115,1,0,0,0,2,102,0,0,0,0,5,0,21,0,1,54,77,0,0,1,0,0,44,0,1,0,4,1,2,9,0,2,0,59,0,31,1,3,14,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,11,9,1,0,36,7,0,9,0,0,1,4,0,13,0,0,2,0,0,10,0,13,2,0,0,7,24,2,0,0,0,56,0,3,0,19,0,2,1,456,0,1,0,5,3,0,0
2024-06-14,1133,9,0,0,0,0,6,2,15,0,0,0,2,2,10,0,0,13,0,0,0,55,3,0,1,1,90,1,1,0,1,1,115,0,1,0,0,0,0,26,0,1,45,45,0,0,1,0,0,20,0,0,2,2,9,1,11,1,2,0,50,0,25,0,1,10,1,2,0,2,0,1,0,1,2,0,0,0,1,1,0,0,3,4,0,0,37,3,0,10,0,1,1,5,0,8,0,0,3,0,0,7,0,16,4,0,1,6,19,1,0,0,0,56,0,9,0,15,0,4,0,319,0,0,0,2,7,0,0
2024-06-15,1387,14,1,0,0,0,3,1,12,0,1,1,2,12,5,0,0,12,0,0,0,62,8,0,1,1,80,2,0,0,0,2,115,1,0,0,0,0,0,20,0,0,58,44,0,0,0,0,0,34,0,0,2,5,2,1,14,0,0,0,43,0,28,0,2,11,2,0,0,3,1,0,1,0,0,0,0,1,2,2,0,0,0,5,1,0,41,2,1,13,0,0,0,4,0,7,0,0,3,0,0,10,0,22,6,0,0,11,26,0,0,0,0,62,0,6,0,19,0,2,0,523,0,0,0,9,2,0,0
2024-06-16,1576,19,2,0,0,0,4,1,11,0,1,0,3,9,7,0,0,11,0,0,0,53,7,0,3,0,87,1,0,0,0,4,155,1,0,0,1,0,0,16,0,0,62,58,0,0,0,0,0,28,0,0,1,3,27,1,15,0,1,0,55,0,52,0,4,12,1,0,0,3,0,0,0,0,0,0,0,1,3,1,0,0,4,6,0,0,47,3,0,13,0,0,0,6,1,6,0,0,2,0,0,7,0,13,4,0,1,13,26,0,5,0,1,53,0,3,0,31,0,3,1,594,0,0,1,4,4,0,0
2024-06-17,1280,12,1,0,0,0,6,2,4,0,1,0,3,4,8,0,0,11,0,0,0,64,6,0,3,0,73,0,0,0,0,0,104,4,0,0,0,0,0,13,0,1,49,64,0,0,2,0,0,15,0,0,3,3,1,0,12,0,4,1,57,0,32,0,4,16,0,2,0,1,0,0,0,0,0,0,0,1,3,1,0,0,5,2,0,2,46,2,0,13,0,0,0,4,0,8,1,0,3,0,0,4,1,20,6,0,1,9,29,2,0,0,0,56,0,3,0,19,0,2,0,439,0,0,0,8,4,0,0
2024-06-18,1315,24,2,0,0,0,4,3,7,0,1,0,2,6,10,0,1,15,0,0,0,52,6,0,4,0,94,3,0,0,0,0,147,1,0,0,0,0,2,17,0,0,68,65,1,0,1,1,0,11,0,0,1,5,1,1,13,0,4,0,56,0,67,0,1,9,1,1,0,2,0,0,1,0,0,0,0,0,1,1,0,1,4,0,0,1,40,2,0,4,0,0,0,6,1,13,0,0,2,1,0,10,1,17,5,0,0,9,36,1,0,0,0,47,0,4,0,20,0,3,1,364,0,0,0,4,5,0,0
2024-06-19,1199,14,1,0,0,0,5,5,7,0,0,0,1,4,8,0,1,8,0,0,0,55,4,1,2,0,92,3,0,0,0,0,131,2,0,0,2,4,1,14,1,1,47,58,0,0,1,0,2,12,0,1,1,3,31,0,10,1,3,0,51,0,34,0,0,7,2,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,7,0,0,0,46,3,1,4,1,0,2,4,1,8,0,0,2,0,0,7,0,19,3,0,0,5,25,0,1,0,0,50,0,5,0,13,0,0,0,345,1,0,0,6,3,1,0
2024-06-20,976,3,1,0,0,0,5,3,8,0,2,0,2,2,8,0,0,7,0,0,0,33,4,0,2,0,86,0,0,0,0,1,102,0,0,0,1,0,0,14,0,1,38,41,0,0,2,0,0,28,0,1,1,2,2,0,9,0,3,0,35,0,19,1,0,8,2,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,3,6,1,0,26,4,0,4,0,0,0,10,2,12,0,0,0,0,0,7,0,15,2,0,0,7,21,0,0,0,0,50,0,5,0,13,0,1,0,300,0,0,0,4,1,0,0
