bucket,total,--,AD,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BI,BO,BR,BT,BW,BY,BZ,CA,CH,CL,CM,CN,CO,CR,CU,CW,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GA,GB,GE,GH,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KN,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,MK,MM,MN,MO,MT,MU,MW,MX,MY,MZ,NC,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PM,PR,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SV,SY,SZ,TG,TH,TN,TR,TT,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2024-03-11,1656,13,0,1,0,0,0,7,5,9,0,2,0,1,7,9,0,0,0,11,1,0,0,0,86,9,1,1,90,4,2,0,0,0,180,2,0,0,0,1,1,17,0,0,49,0,69,0,0,0,1,0,23,1,1,2,1,50,2,10,0,3,2,73,0,70,0,0,2,0,11,3,1,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,5,1,0,1,0,0,58,5,0,13,0,1,6,2,12,0,0,2,0,0,7,0,21,0,0,0,27,45,0,1,0,0,0,0,0,49,0,5,0,19,2,0,523,0,0,1,8,2,0,0
2024-03-12,1636,14,0,1,0,0,0,5,5,8,0,1,0,2,8,8,0,0,0,14,1,0,0,0,76,7,1,0,114,2,0,0,0,0,153,4,0,0,0,0,0,13,0,1,62,0,68,0,0,0,0,0,19,1,4,2,0,30,1,18,1,1,3,54,0,104,0,0,1,0,7,1,1,0,1,1,0,1,0,0,2,0,0,0,4,1,0,0,5,2,0,0,1,0,53,10,0,3,1,0,2,0,13,0,0,3,0,0,11,0,15,0,0,0,15,32,0,0,0,0,0,0,0,53,0,6,0,23,2,0,543,2,0,0,11,4,0,0
2024-03-13,1496,24,0,1,0,0,0,4,6,23,0,3,0,1,4,8,0,0,0,6,0,0,0,0,69,9,0,0,98,1,1,0,0,0,160,1,0,0,2,0,1,17,0,5,60,0,70,0,0,0,2,0,19,0,0,3,1,18,1,13,1,5,3,73,0,53,0,0,3,0,11,0,2,0,0,1,0,0,0,2,1,1,0,0,1,2,0,0,5,4,0,1,0,0,47,4,0,10,0,0,7,1,13,0,0,4,0,0,7,0,28,0,0,0,22,32,0,2,1,0,0,0,1,66,0,3,0,22,2,0,411,0,1,0,8,3,1,0
2024-03-14,1448,17,0,1,0,0,1,3,3,8,0,2,0,2,4,6,0,0,2,19,0,0,1,0,75,6,0,1,119,2,0,0,0,1,137,3,0,1,0,0,0,18,0,5,64,0,86,0,0,0,1,0,21,0,1,1,5,1,2,10,1,5,1,69,0,79,0,0,1,0,8,0,2,0,1,0,0,0,0,1,2,0,0,0,1,0,1,1,9,6,0,0,0,0,45,5,0,6,0,0,3,0,13,0,0,7,1,0,10,0,17,1,0,0,16,34,0,1,0,0,0,0,1,53,0,5,0,13,5,1,379,1,1,0,7,5,1,0
2024-03-15,1449,13,1,0,0,0,1,1,5,10,0,3,0,2,7,6,0,0,0,17,0,1,1,0,72,10,1,0,100,0,0,0,0,2,151,2,2,1,0,2,0,17,0,4,61,0,65,0,0,0,2,0,29,0,0,3,6,1,2,19,1,5,1,73,0,92,2,0,1,0,9,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,11,9,0,1,0,0,55,3,0,10,0,1,5,0,16,0,0,5,0,0,9,0,16,1,0,0,12,40,0,0,0,0,0,0,0,32,1,6,0,20,3,0,368,0,2,0,11,2,0,0
2024-03-16,1696,12,0,1,0,0,0,2,2,16,0,1,0,3,7,6,0,0,0,14,0,0,0,0,72,9,2,0,90,1,0,0,0,0,136,2,0,1,0,0,0,17,0,2,54,0,75,0,0,1,2,0,35,0,0,3,1,35,0,23,1,4,1,83,0,139,0,0,3,0,16,0,3,0,1,0,0,0,0,0,2,0,1,0,2,1,0,0,4,5,0,1,0,0,49,5,1,10,0,0,5,1,10,0,0,4,0,0,11,0,21,2,0,0,16,41,0,1,0,0,0,0,0,48,0,4,0,21,7,0,534,0,0,0,7,6,0,0
2024-03-17,1409,12,0,1,0,0,0,1,4,7,0,2,0,0,5,7,0,0,0,8,0,0,0,0,71,11,1,0,100,0,0,0,1,1,133,3,0,2,2,1,0,18,1,5,80,0,63,0,0,0,2,0,19,1,0,5,2,2,1,6,1,2,1,81,1,67,0,1,3,0,10,2,1,0,0,1,0,1,0,1,2,0,1,0,2,0,0,0,5,4,0,1,0,0,65,4,0,7,0,0,7,1,13,0,0,5,0,0,9,0,16,2,0,0,21,27,0,1,0,0,0,0,0,37,1,7,0,29,5,1,371,0,0,0,9,5,0,0
2024-03-18,1705,22,0,2,0,1,0,4,7,23,0,1,0,3,11,9,3,1,1,11,0,0,1,1,89,11,1,0,106,1,0,0,0,1,181,2,0,0,0,0,0,10,0,0,66,0,72,0,0,0,2,0,17,0,1,1,7,13,0,34,1,3,0,65,0,95,0,0,0,0,10,2,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,3,2,1,1,0,0,60,3,1,10,0,0,4,0,13,0,0,2,0,0,10,0,33,2,0,0,20,41,0,1,0,0,0,0,0,51,0,3,0,26,2,0,502,0,0,0,6,10,1,0
2024-03-19,1472,19,0,1,0,1,0,3,7,7,0,1,0,3,10,5,0,1,0,19,0,0,0,0,69,5,1,0,93,4,0,0,0,0,157,3,0,2,3,0,0,10,0,2,67,0,87,0,0,0,1,0,12,0,1,3,5,1,5,24,1,1,1,63,0,73,0,1,1,1,12,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,6,1,0,0,0,47,5,1,3,0,0,3,0,11,0,1,5,1,0,8,0,27,1,2,0,16,30,0,1,0,0,0,0,0,48,0,9,0,22,5,0,414,0,0,1,7,4,0,0
2024-03-20,1431,22,0,1,0,1,0,8,7,5,0,1,0,2,4,6,0,1,2,17,0,0,2,0,72,6,4,0,100,2,0,0,0,1,141,0,0,1,0,2,1,16,0,0,64,0,71,0,0,0,0,3,18,0,0,3,3,28,1,21,0,0,0,77,0,54,0,0,1,0,8,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,3,0,0,0,0,49,7,2,5,0,1,2,0,9,0,2,4,0,0,13,0,24,2,0,0,15,46,0,0,0,0,0,1,0,55,0,4,0,16,3,0,372,0,0,1,4,3,0,0
2024-03-21,1358,14,0,1,0,0,0,6,8,7,0,1,0,1,9,6,1,0,0,12,0,0,0,0,76,12,2,0,85,6,1,0,0,0,123,3,0,1,0,0,0,19,0,3,65,0,74,0,0,0,1,0,30,0,0,1,4,2,1,24,1,1,1,70,0,85,0,0,0,0,13,2,2,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,6,4,0,1,0,0,48,6,0,0,0,2,3,1,4,0,2,2,0,0,13,0,25,1,1,0,14,24,0,0,0,1,1,1,0,35,1,9,0,19,7,0,341,0,0,0,6,0,0,0
2024-03-22,1361,12,0,3,0,0,0,4,5,7,0,0,0,1,8,13,0,0,1,16,0,0,0,1,92,7,2,0,94,5,0,0,0,2,133,1,0,2,0,4,0,16,0,0,58,0,56,0,0,0,2,0,42,0,0,2,4,1,1,12,1,6,1,63,0,53,0,1,1,0,11,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,11,4,0,1,1,0,53,7,0,2,0,1,3,0,11,0,0,4,0,0,11,0,13,2,0,0,8,23,0,1,0,0,1,1,0,45,0,4,0,29,4,0,365,0,0,0,6,0,0,0
2024-03-23,1501,17,0,2,0,0,0,4,4,24,0,0,0,2,4,9,0,0,0,8,0,0,0,0,82,6,1,2,113,1,1,0,0,2,131,2,0,1,1,3,0,18,0,2,68,0,68,0,0,0,0,0,32,0,0,2,8,1,1,12,1,2,1,73,0,75,0,0,1,0,57,2,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,6,5,0,1,0,0,49,5,0,7,0,2,6,3,11,0,0,6,0,0,13,0,17,0,0,0,9,25,0,2,0,0,0,1,0,59,0,2,0,18,3,0,396,0,0,1,4,1,0,0
2024-03-24,1481,20,0,0,0,0,0,3,2,12,0,0,0,2,6,10,0,0,0,7,0,0,0,0,88,8,1,0,86,1,0,0,0,1,141,2,0,0,0,6,1,20,0,2,67,1,58,0,0,0,2,1,19,0,0,3,4,32,2,22,1,4,1,81,0,61,0,0,0,0,53,1,1,0,0,1,1,2,0,1,1,0,0,1,2,0,0,0,3,5,0,1,1,0,48,0,0,6,0,2,4,2,10,0,0,7,0,0,14,0,16,2,0,0,24,22,0,0,0,0,0,1,0,52,1,5,0,28,8,0,358,1,0,1,10,7,0,0
2024-03-25,1806,18,0,1,0,0,1,5,3,25,1,0,0,4,7,8,0,0,0,6,0,0,0,0,98,6,1,0,94,6,0,0,0,0,167,6,2,0,1,0,0,10,0,1,58,0,67,0,0,0,1,0,18,0,0,3,2,34,0,19,0,2,0,77,0,93,0,0,1,0,40,0,3,0,0,0,0,1,0,0,1,1,1,1,2,0,0,0,5,3,0,0,0,0,59,3,1,7,0,0,8,2,12,0,0,6,0,0,12,0,26,2,1,0,19,33,0,0,0,0,0,0,0,41,0,3,0,24,3,0,633,0,0,1,4,2,0,0
2024-03-26,1840,15,0,1,0,0,0,3,3,9,1,3,0,0,6,7,0,0,0,20,0,0,0,0,87,9,3,1,122,1,0,0,1,3,166,5,0,0,3,0,0,19,1,0,70,0,79,0,0,0,0,0,16,0,1,5,9,36,1,28,1,6,0,72,0,93,0,0,2,0,28,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,6,0,0,1,0,41,1,0,12,0,1,7,0,9,0,0,4,1,1,12,0,25,2,0,0,12,59,0,0,0,0,0,0,0,33,0,3,0,22,5,0,627,0,0,0,10,4,0,0
2024-03-27,1494,13,0,0,0,1,0,1,4,7,0,1,0,6,6,5,0,0,1,12,0,0,0,0,67,11,0,0,119,1,0,0,0,2,150,1,1,1,2,0,0,23,0,4,57,0,88,0,0,0,0,0,20,0,1,2,3,3,0,22,1,2,0,83,0,54,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,4,6,0,0,0,0,49,2,1,8,0,1,7,2,9,0,0,3,1,0,10,0,22,5,0,0,19,49,0,2,0,0,0,0,0,41,0,4,0,27,4,0,414,0,0,0,4,7,0,1
2024-03-28,1461,11,0,2,0,0,0,7,1,15,0,1,0,4,6,3,0,0,1,16,0,0,1,1,97,8,2,0,96,3,0,0,0,3,148,0,0,0,1,0,0,22,0,3,77,0,90,0,0,0,0,0,25,0,0,1,2,1,0,9,0,3,0,66,0,43,0,0,1,2,15,0,3,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,1,3,0,1,0,0,51,2,1,6,0,0,3,0,11,0,0,7,0,0,15,0,26,1,1,0,8,37,0,1,0,0,0,0,0,45,1,6,0,21,3,0,404,0,0,0,5,5,0,0
2024-03-29,1444,18,0,0,0,0,1,9,2,5,1,2,0,1,6,3,0,0,1,16,0,0,0,0,71,6,1,1,110,2,0,1,0,1,130,1,1,1,0,0,3,24,1,3,52,0,61,0,0,0,2,1,25,0,0,2,5,0,0,8,1,3,1,59,0,78,0,0,1,1,12,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,3,8,0,0,0,0,57,1,0,7,0,0,3,1,11,0,0,3,0,0,8,0,30,3,0,0,14,42,0,1,0,0,0,0,0,48,0,6,0,22,4,0,415,0,1,0,11,4,0,0
2024-03-30,1317,15,0,1,0,0,0,4,6,7,0,0,0,3,6,4,0,0,0,15,0,0,0,1,74,7,1,0,105,1,0,0,0,0,120,0,0,0,1,0,1,12,0,1,57,0,39,0,0,0,0,0,24,0,0,1,4,2,3,7,0,3,1,68,0,60,0,1,4,0,16,0,2,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,2,3,0,0,0,0,40,1,0,9,0,0,8,2,10,0,0,4,1,1,9,0,27,2,0,0,8,19,0,3,0,0,0,0,0,55,0,6,0,26,6,0,383,0,0,0,4,5,0,0
2024-03-31,1379,16,0,1,0,0,0,0,4,9,0,0,0,2,4,7,0,0,0,16,0,0,0,0,74,6,0,0,90,0,0,0,0,0,133,2,0,0,0,0,0,15,0,2,53,0,53,0,0,0,0,0,21,0,0,3,3,1,7,15,0,7,0,54,0,63,1,0,1,0,18,0,2,0,0,1,0,1,0,1,0,0,1,1,3,0,0,0,1,4,0,0,0,0,48,3,1,12,0,1,4,1,8,0,0,2,1,0,7,0,23,1,0,0,11,9,0,1,1,0,0,0,0,53,0,4,0,26,5,0,445,0,0,1,6,9,0,0
