bucket,total,--,AE,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BG,BI,BJ,BN,BO,BR,BT,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GF,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MD,ME,MK,MM,MN,MO,MT,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RE,RO,RS,RU,RW,SA,SC,SE,SG,SK,SY,TG,TH,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2024-05-11,1226,11,1,0,2,3,7,0,0,1,0,3,6,8,0,0,0,0,10,0,0,0,51,6,0,1,1,82,2,0,0,0,115,1,0,0,0,0,0,14,0,1,46,49,0,0,1,0,0,30,0,0,2,3,3,0,8,1,0,1,51,0,1,51,1,1,17,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,3,0,1,48,4,1,7,0,0,4,1,10,0,0,6,0,1,8,0,18,4,0,0,6,22,1,0,0,54,0,0,4,0,13,0,0,0,396,0,1,0,6,7,0
2024-05-12,1224,14,2,0,1,3,11,0,0,2,0,1,7,8,0,0,0,1,5,0,0,0,66,8,0,0,1,85,1,0,0,1,121,4,0,1,0,4,0,21,0,1,62,44,0,0,0,0,1,19,0,0,2,0,2,1,7,0,0,0,62,0,0,30,1,3,14,1,0,0,0,0,1,1,1,0,1,0,0,2,1,0,0,1,4,0,0,37,3,0,12,0,0,5,2,11,0,0,6,0,0,15,0,18,1,0,0,16,21,1,0,0,51,1,0,6,0,14,0,1,0,369,0,0,0,2,1,1
2024-05-13,1368,17,2,0,3,8,9,1,0,1,0,2,9,13,0,0,0,1,14,0,0,0,62,10,0,2,0,102,3,0,0,0,115,0,0,0,2,0,0,15,1,2,55,57,0,0,0,1,0,20,0,2,0,2,2,0,26,1,2,0,65,0,0,53,0,3,12,1,2,0,0,2,2,1,1,0,0,0,1,2,2,0,0,2,6,0,0,59,6,0,10,0,0,7,1,12,0,0,3,1,0,20,0,15,1,0,0,17,33,1,0,0,57,0,0,3,0,16,0,0,0,380,0,0,0,4,5,0
2024-05-14,1407,13,2,0,1,6,7,0,0,2,0,3,7,8,0,0,0,0,19,0,0,0,74,6,1,4,1,82,2,0,0,0,167,2,0,0,0,0,0,16,0,4,59,64,1,0,0,0,0,23,0,1,1,2,3,0,16,1,2,1,58,0,0,61,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,5,2,0,0,49,6,0,6,0,0,3,1,11,0,0,2,0,1,18,0,10,3,1,0,16,21,1,0,0,60,1,0,5,0,19,0,3,0,427,0,0,0,4,1,0
2024-05-15,1373,21,2,0,7,1,11,0,0,3,0,5,5,8,1,0,0,0,9,0,2,0,73,10,0,4,0,59,1,0,0,1,173,2,0,1,3,1,0,22,0,5,56,60,0,0,0,1,0,35,0,1,1,2,0,0,10,0,1,0,77,0,2,42,1,3,16,0,1,0,0,1,1,0,0,0,1,1,0,2,1,0,0,1,7,0,1,53,5,0,6,0,0,9,0,8,0,0,2,1,0,17,0,17,2,1,0,17,31,2,0,0,61,0,0,7,0,12,0,4,0,349,1,1,0,5,7,0
2024-05-16,1383,10,2,0,6,1,16,0,1,1,0,1,4,7,1,0,0,2,12,0,0,0,71,8,0,8,0,102,1,0,0,1,139,6,0,1,0,1,0,16,0,0,85,73,0,0,0,3,0,31,0,0,1,2,1,1,13,0,2,0,64,0,0,51,0,3,11,0,0,0,0,1,0,1,1,0,1,1,1,2,1,0,0,1,6,0,0,36,4,0,6,0,0,5,3,12,0,0,4,0,0,18,0,17,3,2,0,10,33,1,0,0,70,0,0,7,0,9,0,0,0,357,1,0,1,7,2,0
2024-05-17,1262,6,2,0,2,5,10,0,1,1,0,1,6,8,0,0,0,1,12,1,0,0,51,6,0,2,1,80,2,1,0,1,134,0,0,0,0,1,0,17,0,0,62,36,0,0,0,0,0,23,0,0,1,2,3,1,9,0,2,0,56,0,0,55,0,2,16,0,0,0,0,1,0,1,0,1,0,0,0,3,1,1,0,1,2,0,1,55,2,0,10,0,1,2,1,13,0,1,5,0,0,17,1,13,3,0,0,6,25,0,0,0,77,0,0,3,0,17,0,1,1,361,0,0,1,10,4,0
2024-05-18,1245,9,2,0,1,4,7,0,0,1,0,2,7,6,0,0,0,1,18,0,0,0,65,6,0,2,0,75,0,0,0,1,125,2,0,0,1,0,0,15,0,3,68,45,0,0,0,1,0,25,0,0,0,3,1,1,3,0,2,0,64,0,0,18,0,1,12,1,1,0,0,3,0,1,1,1,0,0,1,1,0,0,0,5,4,0,0,42,3,0,11,0,1,4,2,12,0,0,5,0,0,14,0,10,7,1,0,8,26,0,0,0,66,0,0,3,0,15,0,2,0,390,0,0,1,2,4,0
2024-05-19,1327,18,1,0,2,1,10,0,0,1,0,3,4,6,0,0,0,0,11,0,0,1,81,5,0,2,0,134,0,0,0,0,134,1,1,0,0,0,0,17,0,1,69,40,0,0,0,0,0,18,0,0,1,3,4,1,9,1,2,0,78,0,0,37,0,1,9,0,0,0,0,3,0,1,0,2,0,0,1,1,2,0,0,5,5,0,0,43,2,0,11,0,0,4,3,11,1,0,3,0,0,17,0,9,3,0,0,8,18,0,1,0,66,0,0,5,0,28,0,2,0,357,0,0,0,5,3,0
2024-05-20,1186,13,0,0,6,2,10,0,0,0,0,4,6,9,0,0,0,0,8,0,0,0,61,10,0,3,1,73,1,0,1,2,111,2,0,1,0,0,0,22,0,1,70,57,0,0,0,1,0,17,0,2,0,1,4,0,7,0,1,0,71,0,0,27,0,0,12,2,0,0,0,2,0,2,0,1,0,0,0,1,2,0,0,2,3,0,0,53,2,0,8,0,0,0,2,15,0,0,2,1,0,10,1,18,6,0,1,8,20,1,0,0,61,0,0,6,0,17,0,0,0,314,0,1,0,6,1,0
2024-05-21,1236,15,0,1,3,0,13,0,0,1,0,2,13,6,0,0,0,0,10,0,0,0,65,7,0,3,1,89,0,0,0,4,158,1,0,1,0,0,0,21,1,5,61,44,0,0,0,0,0,17,0,0,0,3,2,0,9,0,2,0,61,0,0,29,0,0,16,0,0,0,0,2,0,1,0,2,0,0,0,1,1,0,0,2,4,0,2,57,4,0,3,0,0,4,2,13,0,0,5,0,0,7,0,15,3,0,1,11,21,0,0,0,69,0,1,5,0,12,0,2,0,315,0,0,3,3,1,0
2024-05-22,1155,10,2,0,3,0,11,0,0,0,0,1,5,7,0,0,0,0,8,0,0,0,66,10,0,1,1,82,0,0,0,2,124,0,0,1,0,0,0,17,0,2,65,46,1,0,0,1,0,22,0,2,1,4,2,0,4,0,1,0,66,0,0,13,0,0,13,0,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,3,4,0,1,46,4,1,4,0,0,4,1,13,0,0,3,1,0,15,1,10,1,0,0,5,28,0,0,0,61,0,0,3,0,18,0,0,0,323,0,0,0,1,4,0
2024-05-23,1233,7,0,0,5,2,8,0,0,1,0,2,3,8,0,0,0,0,9,0,0,0,74,3,0,3,0,70,0,0,0,3,115,0,0,0,0,0,0,23,0,9,63,69,0,0,0,1,0,35,0,3,2,6,1,0,8,0,1,0,53,0,0,27,0,1,11,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,4,4,0,0,42,8,0,3,0,0,4,1,9,0,0,0,0,0,13,0,20,5,0,1,9,27,1,0,0,53,0,0,0,0,10,0,3,0,379,1,0,0,3,2,0
2024-05-24,1324,8,4,0,6,3,11,0,0,0,0,2,6,8,0,0,1,0,11,0,0,0,59,7,0,2,1,84,0,0,0,3,136,0,0,0,0,0,0,27,0,2,56,53,0,0,0,0,0,41,0,0,1,2,1,0,9,0,1,0,60,0,0,27,0,1,9,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,4,4,0,0,60,2,0,9,0,0,4,0,12,0,0,2,0,0,17,0,8,3,0,0,9,24,0,0,0,50,0,0,17,0,16,0,1,0,425,0,0,0,1,8,0
2024-05-25,1315,7,2,0,1,0,13,0,0,0,0,1,4,9,0,0,0,0,15,0,0,0,63,7,0,2,0,88,1,1,0,1,97,0,0,0,0,0,1,22,0,6,47,46,0,0,0,1,0,30,0,0,2,2,2,2,8,1,0,0,53,0,0,22,1,3,12,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,52,2,0,6,0,0,5,1,9,0,0,5,0,0,11,1,7,1,0,0,14,21,0,0,0,62,0,1,54,0,16,0,1,0,457,0,0,1,3,4,0
2024-05-26,1123,8,0,0,8,1,11,0,0,1,0,2,4,8,0,0,0,0,4,0,0,0,69,5,0,0,3,81,0,0,0,0,122,1,0,1,0,1,0,26,0,3,56,32,0,0,0,0,0,15,0,1,2,4,1,2,4,0,0,0,66,0,0,9,0,1,8,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,3,2,0,0,58,2,0,7,0,1,4,0,9,0,0,4,0,0,10,0,14,4,0,0,8,14,1,0,0,45,0,0,3,1,22,0,2,0,339,0,0,0,2,3,0
2024-05-27,1624,16,1,0,4,1,13,0,0,1,0,3,7,9,0,0,0,0,18,0,0,0,62,9,0,2,0,82,1,0,0,2,135,4,0,0,0,0,2,19,0,2,55,76,2,0,0,1,0,19,0,3,2,2,27,0,16,0,1,0,54,1,0,34,0,3,13,2,1,0,0,2,0,1,0,0,0,1,1,1,2,0,0,1,1,0,1,57,5,0,6,0,0,5,0,14,0,0,4,0,0,13,0,23,5,0,0,17,44,0,0,0,64,0,0,2,0,19,0,2,0,619,0,0,0,6,3,0
2024-05-28,90,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
