bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BD,BE,BG,BJ,BO,BR,BT,BY,BZ,CA,CD,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KG,KH,KN,KR,KZ,LA,LB,LC,LT,LU,LV,MA,MD,MG,MK,MM,MN,MO,MT,MU,MW,MX,MY,MZ,NC,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SE,SG,SI,SK,SN,SY,SZ,TH,TL,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2024-04-11,1551,8,1,0,0,9,0,12,0,2,8,8,0,3,16,0,0,0,78,0,10,0,3,1,119,2,0,0,0,0,131,0,3,1,0,1,0,18,0,2,57,79,2,0,1,0,25,0,0,4,5,0,3,30,0,3,59,73,1,0,1,0,37,3,0,0,0,2,0,1,2,0,0,1,0,1,0,0,0,0,3,3,0,1,0,0,0,60,4,0,1,1,0,1,4,1,9,0,4,0,0,6,0,27,2,0,16,42,0,1,0,0,1,46,0,2,4,19,5,1,452,0,0,0,6,2,0,1
2024-04-12,1287,8,5,0,0,6,2,8,0,0,4,5,0,1,19,0,0,0,63,2,10,1,2,1,119,5,0,0,0,0,142,0,0,1,0,1,0,16,0,1,55,63,0,0,1,0,21,0,1,0,1,2,2,15,1,4,61,58,0,0,0,0,24,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,3,0,53,3,1,2,0,0,1,4,5,7,0,4,0,0,6,1,13,2,0,8,20,0,1,1,0,1,41,0,0,3,29,3,0,331,0,0,0,1,2,0,0
2024-04-13,1265,8,2,0,0,1,2,11,0,4,5,7,0,0,12,0,0,0,81,0,7,0,0,0,97,4,0,0,0,0,104,3,0,1,1,0,0,15,0,1,40,61,0,0,1,0,27,0,0,2,4,0,0,13,0,1,68,51,0,1,1,0,18,2,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,5,1,0,0,0,0,0,54,2,0,2,0,0,0,4,0,10,0,3,0,0,7,0,16,2,0,10,17,0,0,0,1,1,42,0,0,2,22,5,0,384,2,0,0,10,2,0,0
2024-04-14,1368,16,2,0,0,6,1,5,0,2,8,8,0,2,8,0,3,0,78,0,6,1,5,0,97,2,0,0,0,1,139,2,0,0,0,2,1,29,0,1,67,49,0,0,1,0,27,0,0,2,2,0,1,24,2,3,59,43,0,0,0,0,22,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,53,2,0,1,0,0,0,5,1,8,0,4,0,0,6,0,18,2,0,18,21,0,0,0,0,1,33,0,0,6,22,1,0,425,0,0,1,1,0,0,0
2024-04-15,1504,11,4,0,0,6,5,3,2,3,7,4,0,2,17,0,0,0,80,0,9,1,2,1,123,1,2,0,1,0,141,2,0,0,0,0,0,13,0,1,65,52,2,0,1,1,14,0,0,5,5,26,0,25,1,6,68,83,0,0,1,0,24,3,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,3,2,0,0,0,1,1,65,4,0,1,0,0,0,5,1,11,0,6,1,0,8,0,22,3,0,17,34,0,0,1,0,1,52,0,0,7,22,6,1,390,0,0,2,8,1,0,0
2024-04-16,1405,13,3,0,0,3,3,15,1,4,8,5,0,0,12,0,2,0,74,0,10,0,1,0,93,3,0,0,0,1,153,0,0,0,0,2,1,19,0,4,64,68,0,0,0,0,26,0,0,2,1,0,0,23,1,0,72,43,0,0,0,0,18,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,4,6,0,0,0,2,0,62,6,0,1,0,0,0,4,1,7,0,3,1,0,7,0,16,1,0,13,17,0,0,0,0,1,39,0,0,4,20,4,0,432,0,0,0,0,0,0,0
2024-04-17,1515,22,2,0,2,9,5,6,1,1,7,4,0,0,14,1,1,1,46,0,19,0,4,0,110,2,0,0,0,0,178,2,0,0,2,0,0,10,0,3,54,68,1,0,1,1,25,1,1,1,2,3,0,25,0,3,64,102,0,0,1,0,26,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,7,9,0,0,0,0,0,65,3,0,4,0,0,1,5,0,13,0,3,0,0,10,1,18,4,0,15,33,0,1,0,0,1,48,1,0,2,14,5,0,407,0,0,1,7,0,0,1
2024-04-18,1742,16,2,0,0,9,5,36,1,8,4,7,0,1,15,0,0,0,88,0,9,0,3,0,154,1,0,0,0,1,153,1,0,1,0,1,0,15,1,1,61,60,0,0,0,0,32,0,0,1,4,1,1,25,1,3,61,81,1,0,1,0,30,0,1,0,0,1,1,0,0,1,0,1,2,1,1,0,1,0,4,3,0,0,0,0,0,46,5,0,6,0,0,0,9,3,11,0,5,0,0,10,1,27,6,0,9,46,1,0,0,0,2,40,0,0,4,24,3,0,560,0,0,0,6,5,0,0
2024-04-19,1406,14,2,0,0,7,2,10,1,2,4,8,0,1,13,0,1,0,56,0,12,0,5,1,74,1,0,0,0,1,147,0,0,0,0,0,0,16,0,1,59,61,0,0,1,0,26,0,2,3,3,0,1,20,1,4,53,81,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,6,4,0,0,1,0,0,59,2,1,6,0,0,1,6,0,11,0,4,1,0,4,0,13,3,0,4,24,0,0,0,0,1,53,0,0,3,23,2,0,447,0,0,1,6,8,0,0
2024-04-20,446,6,0,0,0,1,0,5,0,2,0,1,0,0,1,0,0,0,34,0,6,0,0,0,19,0,0,0,0,0,18,0,0,1,0,0,0,3,0,0,9,11,0,0,1,0,9,0,0,0,0,13,0,4,0,0,4,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,7,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,3,3,0,1,11,0,0,0,0,1,7,0,0,0,2,0,0,232,0,0,0,3,2,0,0
