bucket,total,--,AE,AL,AM,AO,AR,AT,AU,BA,BD,BE,BG,BH,BJ,BO,BR,BY,CA,CG,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GP,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LI,LK,LT,LU,LV,MA,MD,ME,MK,MM,MN,MO,MT,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RE,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SL,TH,TL,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2024-08-01,1226,12,2,1,0,0,8,2,12,0,2,8,7,0,0,0,12,0,59,0,4,0,0,0,68,3,1,0,104,2,1,0,0,3,0,15,0,3,39,62,0,0,0,0,0,0,17,0,0,1,2,3,2,8,0,2,0,48,2,14,1,0,2,11,0,0,1,0,1,1,0,0,0,2,0,0,0,1,1,0,1,8,8,0,0,48,4,0,7,0,0,3,1,12,0,0,4,0,0,6,0,15,3,0,0,9,33,1,0,0,52,0,1,6,8,0,0,0,436,0,0,0,6,4,0,0
2024-08-02,1437,12,3,0,0,0,5,4,12,0,0,6,10,0,0,1,20,0,60,0,4,0,2,0,102,2,0,0,129,1,0,0,0,0,0,10,0,0,37,51,0,0,0,0,0,0,28,1,1,0,0,1,0,10,0,1,0,42,0,31,0,1,0,10,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,2,4,0,0,47,3,0,7,0,0,5,0,12,1,0,0,1,0,5,0,13,1,0,0,3,41,1,0,0,32,0,0,4,12,0,1,0,634,0,0,0,3,2,0,0
2024-08-03,1203,11,0,0,0,0,5,5,7,0,2,6,10,1,0,1,13,0,46,1,3,0,1,0,87,0,0,1,96,1,1,1,0,0,0,7,0,1,49,50,0,0,0,0,0,0,21,0,1,0,3,2,2,23,0,5,0,39,0,19,1,0,0,13,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,1,0,0,6,0,0,44,4,1,4,0,0,6,1,14,0,0,2,0,0,9,0,27,1,0,0,8,34,1,1,0,39,0,0,4,8,1,3,0,438,0,0,0,5,0,0,0
2024-08-04,1323,26,3,0,0,0,4,4,8,1,2,7,12,0,0,1,8,0,59,0,6,0,0,1,108,1,1,2,124,5,1,1,0,0,0,16,1,1,55,40,0,0,0,0,2,0,23,0,1,1,9,5,0,16,0,3,0,44,0,12,3,0,0,21,0,1,0,0,0,2,0,0,0,1,0,0,0,1,1,2,1,2,9,0,0,57,3,0,6,0,0,4,0,10,0,1,2,2,1,6,0,28,3,0,0,16,27,2,0,0,51,0,0,2,17,0,5,0,414,0,0,1,6,1,0,0
2024-08-05,1164,9,0,1,0,0,4,2,6,1,2,8,9,0,0,0,4,0,66,0,3,0,1,1,83,4,0,0,114,4,0,0,0,0,1,14,0,1,41,63,0,0,0,0,1,0,19,0,0,1,2,2,2,18,1,2,0,38,0,10,0,0,1,12,0,0,5,0,0,1,0,0,0,1,0,1,0,1,1,0,0,4,7,0,0,62,4,0,9,0,0,4,1,14,0,0,2,0,0,6,1,19,5,0,1,6,21,1,0,0,46,1,0,5,11,0,0,0,363,0,0,0,5,4,1,0
2024-08-06,1284,11,1,0,0,0,5,5,11,0,2,6,10,0,0,1,3,0,70,0,2,0,1,1,73,3,0,1,116,2,1,0,0,0,2,11,0,0,55,48,0,0,0,0,0,0,20,0,0,0,5,1,0,12,1,3,0,32,0,13,0,0,4,10,0,1,3,0,1,1,1,0,0,2,0,1,0,0,1,0,1,8,11,0,1,49,4,1,10,0,1,5,0,13,0,0,4,0,0,10,1,26,6,0,0,7,26,1,0,0,47,0,0,4,14,0,2,0,471,0,0,3,4,1,0,0
2024-08-07,1192,10,0,0,0,0,3,4,4,0,3,5,10,0,0,0,14,0,56,0,8,0,1,2,77,1,0,1,133,2,0,0,0,2,0,7,0,2,50,43,0,0,0,0,1,0,16,0,0,0,3,3,0,8,0,0,1,52,0,8,0,0,2,11,0,0,2,0,0,1,0,1,0,3,0,1,1,0,1,0,0,5,6,0,1,48,6,1,13,0,0,7,0,12,0,0,2,0,0,3,0,15,3,0,0,10,29,2,0,0,41,0,0,4,9,0,3,0,411,0,0,0,4,4,0,0
2024-08-08,1263,11,2,0,0,0,6,3,8,0,4,5,9,0,0,0,11,0,61,0,4,0,1,0,78,2,1,0,98,1,0,0,0,0,0,14,0,2,39,70,0,0,0,0,3,0,30,0,0,1,4,3,0,11,0,1,0,54,0,12,0,0,3,17,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,9,12,0,0,49,2,1,12,0,0,3,1,12,0,0,2,0,0,4,1,13,3,0,0,12,28,2,0,0,50,0,1,4,6,0,0,0,450,0,0,1,8,2,0,0
2024-08-09,1253,19,2,0,0,0,2,3,12,1,0,3,9,0,0,0,9,0,71,0,7,0,1,1,110,0,0,2,101,4,0,0,0,2,0,6,0,3,43,55,0,0,0,1,1,0,27,0,0,0,7,1,1,20,0,1,0,35,0,23,0,0,3,5,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,8,6,0,0,46,3,0,11,0,1,8,0,11,0,0,3,0,1,5,0,23,5,0,0,8,18,3,0,0,42,0,0,4,16,0,3,0,419,1,1,1,3,6,0,0
2024-08-10,1151,15,1,0,0,0,5,4,3,1,4,8,9,0,0,1,11,0,51,0,4,0,2,0,105,3,0,0,73,0,0,0,0,0,0,6,0,2,47,45,0,0,0,0,2,0,29,0,0,3,2,3,2,9,0,1,0,40,0,12,0,0,3,12,0,3,1,0,0,1,1,2,0,2,0,0,0,0,1,0,1,4,9,0,3,49,3,0,4,0,1,7,1,8,0,0,6,1,0,2,0,21,2,0,0,8,17,2,0,0,42,0,0,5,7,1,3,0,402,1,0,3,7,2,0,0
2024-08-11,1271,11,4,0,0,0,8,3,9,2,2,9,5,0,0,0,9,2,61,0,4,0,2,1,68,5,0,0,126,5,0,1,0,0,0,7,0,4,36,50,0,0,0,0,1,0,17,0,0,2,2,16,1,13,1,1,0,41,0,21,0,0,5,9,1,0,2,0,0,1,2,3,1,1,0,1,0,0,1,1,0,4,5,0,0,42,3,0,12,0,0,7,1,7,0,0,2,0,0,6,0,10,4,0,0,16,21,2,0,0,36,0,0,3,21,0,1,0,481,0,0,0,5,4,0,0
2024-08-12,1139,13,3,0,0,0,7,3,5,1,2,6,7,0,0,0,3,0,62,0,5,0,0,0,73,1,0,0,96,0,0,0,0,0,0,13,0,4,44,46,0,0,0,0,1,0,23,1,0,0,2,3,0,11,0,2,1,35,0,14,2,0,1,8,0,1,0,0,0,1,0,1,0,0,0,0,1,1,3,0,0,8,7,1,0,44,1,0,18,0,0,10,0,10,0,0,4,0,0,4,0,10,3,1,0,11,19,1,0,0,33,0,0,2,10,0,1,0,429,0,0,0,4,2,0,0
2024-08-13,1357,8,2,0,1,0,5,4,12,1,1,10,15,0,0,0,15,0,71,0,4,0,5,1,109,2,0,3,128,3,2,1,0,0,0,14,0,0,52,56,0,0,0,0,1,0,20,0,0,0,3,2,0,11,0,5,1,36,0,15,0,0,3,8,0,1,2,0,0,1,0,0,1,1,0,1,0,2,1,0,0,1,5,1,0,49,2,0,14,0,1,7,0,10,0,0,6,0,0,5,0,14,2,0,0,15,26,2,1,0,26,0,0,2,12,0,7,1,493,0,1,1,11,2,0,0
2024-08-14,1317,15,1,0,0,0,4,4,7,1,1,5,6,0,0,0,10,0,58,0,9,0,3,1,98,3,1,4,131,4,3,1,0,0,0,15,0,3,45,66,0,0,0,0,0,0,22,0,0,0,5,2,0,18,0,3,0,44,0,17,1,0,2,9,0,2,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,2,11,1,0,70,1,0,14,0,0,7,1,12,0,0,4,0,0,8,0,21,5,0,0,11,39,1,0,0,48,0,1,4,5,0,3,0,403,0,0,0,7,4,0,0
2024-08-15,1217,16,4,0,0,1,5,2,8,0,1,7,16,0,0,1,22,0,71,0,5,0,6,0,87,0,0,1,100,1,0,1,0,1,0,11,0,3,49,66,0,0,0,0,0,1,32,0,0,0,2,1,0,12,0,8,0,44,0,14,0,0,2,8,0,0,1,0,0,2,0,1,0,2,0,0,0,1,2,0,0,11,9,0,0,52,3,0,10,1,0,5,0,13,0,0,3,1,0,7,0,14,4,0,0,10,28,1,0,0,41,0,0,2,3,1,2,1,366,0,0,0,8,3,0,0
2024-08-16,1218,9,10,1,1,1,6,3,3,1,2,5,7,0,0,0,5,0,61,0,6,0,2,1,71,1,0,2,110,2,0,0,0,2,0,7,1,2,44,59,0,0,0,0,0,0,37,0,0,0,8,2,0,11,0,2,0,45,0,11,0,0,1,8,0,0,0,1,0,1,0,0,0,0,0,1,1,2,1,0,0,3,6,0,0,59,3,0,9,0,1,9,0,13,0,0,5,0,0,3,0,10,2,0,0,8,24,2,0,0,38,0,0,4,11,0,2,0,440,0,1,0,6,2,0,0
2024-08-17,1261,10,0,0,1,0,6,3,7,1,3,8,5,0,0,0,11,0,57,0,10,0,7,0,68,1,0,0,90,1,0,0,0,1,0,16,0,1,56,51,0,0,0,0,1,0,16,0,0,0,1,2,0,10,0,3,1,48,0,22,0,0,2,7,0,1,1,0,1,1,0,2,0,1,0,0,0,1,1,0,0,2,6,1,1,49,2,0,8,0,0,7,1,9,0,0,5,0,0,7,0,17,4,1,0,16,16,2,0,0,51,0,0,1,8,0,3,0,497,0,0,4,5,2,0,0
2024-08-18,1148,13,0,1,0,0,5,2,12,1,1,7,9,0,0,0,15,0,59,0,8,0,0,1,87,2,0,0,109,0,0,0,1,1,0,11,2,7,60,69,0,0,0,0,1,0,16,0,0,1,3,1,2,10,0,3,0,59,0,17,0,0,2,14,0,0,0,0,0,1,0,1,0,2,0,1,1,1,3,0,0,2,8,0,1,47,1,0,2,0,3,5,1,7,0,0,5,0,0,6,0,12,3,0,0,19,17,2,0,0,16,0,0,2,8,0,2,0,349,0,0,0,4,3,1,0
2024-08-19,1131,12,0,0,0,0,7,4,6,1,2,9,12,0,1,0,14,0,69,0,5,0,2,1,74,0,0,2,88,1,0,0,0,0,0,14,1,2,46,66,0,0,0,0,0,1,13,0,1,0,1,2,0,24,0,2,0,57,0,6,0,0,1,7,0,0,0,0,0,4,0,0,0,0,0,1,1,1,1,0,0,2,3,0,2,56,0,0,7,0,0,2,1,10,0,0,6,0,0,2,0,15,5,0,0,13,29,2,0,1,31,0,0,4,12,0,2,0,353,0,0,0,4,7,0,0
2024-08-20,1275,8,1,0,0,1,8,6,7,2,3,5,12,0,0,0,11,0,57,0,8,0,0,0,100,1,0,1,98,5,1,1,1,0,1,16,0,2,50,60,0,0,1,0,1,2,20,0,2,0,1,3,2,15,0,4,0,59,0,11,0,0,3,5,0,0,1,0,0,1,0,0,0,0,0,1,1,3,1,0,0,9,11,0,1,58,3,0,8,0,0,4,1,11,0,1,5,0,0,5,0,20,4,0,0,12,20,2,0,0,34,0,0,5,17,0,2,0,432,0,0,0,2,4,0,1
