bucket,total,--,AE,AF,AL,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BI,BO,BR,BW,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GA,GB,GE,GH,GM,GP,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KR,KW,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,ME,MK,ML,MM,MN,MO,MT,MU,MW,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SO,SV,SY,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZW
2024-02-11,1450,15,3,1,0,0,1,6,4,0,1,0,2,7,3,0,0,1,10,0,0,0,67,6,0,2,0,145,2,0,0,1,154,3,0,1,0,2,1,23,0,6,66,0,64,0,0,0,0,2,24,0,0,1,4,1,1,17,1,3,1,94,0,0,37,0,0,0,9,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,0,0,2,1,1,0,8,4,0,1,0,54,1,0,8,0,0,7,1,6,0,0,7,1,0,7,0,29,3,0,1,30,20,0,0,0,0,0,0,51,1,5,0,17,1,2,0,371,0,0,0,0,8,4,0
2024-02-12,1323,14,2,0,0,1,3,4,5,0,0,0,2,5,4,0,0,0,14,0,0,0,75,6,0,1,0,105,3,0,1,1,130,2,0,0,0,0,0,20,1,2,54,0,60,0,0,0,0,2,24,0,0,1,3,1,0,13,0,0,0,69,0,0,41,1,0,2,13,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0,1,0,0,0,5,2,0,1,0,50,5,1,12,0,0,4,0,10,1,0,6,0,0,9,0,35,1,0,0,20,16,0,0,0,0,0,0,49,0,4,0,16,0,3,0,373,0,0,0,0,4,3,0
2024-02-13,1815,15,1,0,1,0,7,2,7,0,1,0,2,5,6,1,0,1,10,0,0,0,68,8,0,3,1,102,3,0,1,1,139,1,1,1,0,0,0,21,0,3,61,0,68,0,0,0,0,3,23,0,0,1,8,29,0,25,1,0,0,67,0,0,101,1,0,1,20,1,0,0,2,0,0,3,0,0,0,0,0,0,0,1,1,0,3,0,0,0,8,1,0,0,1,62,6,1,9,0,0,5,0,14,0,0,2,0,0,14,0,27,2,0,0,19,44,0,1,1,0,0,0,53,0,4,0,15,0,2,0,675,0,0,2,0,6,9,0
2024-02-14,1410,12,0,0,0,1,3,5,4,0,0,0,3,5,2,0,0,1,10,0,1,0,66,10,0,6,0,93,0,0,1,1,145,5,2,0,0,0,1,13,0,4,48,0,51,0,0,1,0,0,26,0,1,3,6,43,0,13,1,1,0,63,0,0,71,1,2,2,7,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,4,0,1,1,53,5,1,7,0,0,6,0,13,0,0,4,0,0,11,0,32,3,0,1,24,26,0,0,0,0,0,1,55,0,3,0,14,0,2,0,392,0,0,0,0,6,1,0
2024-02-15,1407,14,0,0,0,0,7,4,8,0,1,1,1,6,6,0,0,2,14,0,1,0,71,10,0,4,1,119,4,0,1,2,137,2,0,1,0,0,0,17,0,1,50,0,75,0,0,0,0,2,25,0,0,1,4,3,1,16,1,3,1,74,0,0,75,1,0,0,17,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,3,0,1,2,57,6,0,1,0,0,2,2,13,0,0,3,1,1,11,1,20,1,0,0,14,33,0,0,0,0,0,0,52,0,3,0,16,1,4,0,354,0,0,0,0,8,3,1
2024-02-16,1338,20,1,0,0,1,6,2,6,0,0,2,1,5,3,0,0,1,12,0,0,0,70,9,0,0,0,105,2,0,1,4,166,0,0,3,2,2,0,19,0,1,51,0,55,0,0,0,0,0,15,0,0,4,5,0,1,5,0,3,0,56,0,0,56,0,0,0,10,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,1,0,54,8,0,4,0,0,4,1,14,0,0,5,0,0,9,0,27,2,0,0,8,19,0,1,0,0,0,0,47,0,3,0,16,0,3,2,387,1,0,0,0,2,2,0
2024-02-17,1487,17,1,0,0,0,4,1,4,0,0,1,1,7,5,0,0,0,14,0,1,0,69,6,0,1,0,96,0,0,0,2,151,4,0,1,0,0,0,16,0,5,61,0,63,0,1,0,0,2,21,0,0,1,1,9,0,14,0,0,1,76,0,0,90,1,0,2,10,0,0,4,1,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5,2,0,0,0,63,5,0,2,0,0,5,1,12,0,0,6,0,0,8,0,17,4,0,0,12,21,0,0,0,0,0,0,58,0,4,0,30,0,2,0,450,0,0,0,0,6,3,0
2024-02-18,1776,14,1,0,0,0,0,3,8,0,1,1,1,5,3,0,0,1,17,0,1,0,70,5,0,1,0,139,1,1,0,1,184,5,0,1,0,4,0,19,0,7,65,0,58,0,0,0,0,0,15,0,0,4,4,28,2,17,1,1,0,78,0,0,101,0,0,1,14,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,6,0,1,0,68,6,0,5,0,0,4,0,11,0,0,4,0,0,11,0,29,4,0,0,18,36,0,0,0,0,0,0,53,0,3,0,29,0,6,0,575,0,0,0,0,6,5,0
2024-02-19,1569,14,2,0,0,0,6,4,6,0,1,1,1,6,4,0,1,1,12,0,2,0,84,8,0,1,0,155,0,1,0,2,166,4,0,1,1,2,0,12,0,3,49,0,63,0,0,0,0,0,15,0,1,1,4,2,3,19,1,0,1,74,0,0,80,0,0,2,17,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,1,0,0,9,1,0,1,0,53,7,1,11,0,0,7,1,12,0,0,4,0,0,9,2,30,2,0,0,19,36,1,2,0,0,0,0,64,0,5,0,24,1,2,0,408,1,0,2,0,7,3,0
2024-02-20,1413,8,0,0,0,0,5,3,5,0,2,0,3,11,6,0,0,0,8,0,0,0,75,10,0,1,0,93,2,0,0,4,159,6,0,1,0,0,0,17,0,3,49,0,70,0,0,0,0,0,14,0,0,1,1,0,0,7,0,0,0,71,2,0,36,0,0,1,3,0,0,0,2,0,0,5,1,0,0,0,1,1,0,0,1,0,2,0,0,0,5,3,0,1,1,65,6,0,8,0,0,4,1,9,0,0,3,0,0,9,0,24,1,0,1,16,24,1,0,0,0,0,0,46,0,2,0,23,0,8,0,453,0,0,0,0,6,3,0
2024-02-21,1279,9,1,0,0,0,3,2,4,0,1,0,1,4,6,0,0,0,15,0,0,1,72,11,0,0,0,83,0,0,0,2,161,0,0,1,2,1,0,17,0,5,65,1,89,0,0,0,0,2,9,1,0,2,1,4,2,5,0,1,0,66,1,0,23,0,0,0,6,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,2,0,1,2,71,5,0,6,1,0,6,0,10,0,0,7,0,0,11,0,24,1,0,0,13,16,2,0,0,0,0,0,33,1,3,0,17,0,4,0,340,0,0,0,0,4,4,0
2024-02-22,1389,13,3,0,0,0,3,2,8,0,1,0,1,5,6,0,0,0,9,0,0,0,61,10,0,1,0,77,1,0,0,2,151,3,0,1,0,0,0,20,0,2,63,0,82,1,0,0,0,0,34,0,3,2,1,1,0,16,0,0,2,82,0,0,49,0,0,1,8,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,2,0,1,2,0,0,2,9,0,1,0,47,2,0,9,1,0,4,1,10,0,0,3,0,0,6,0,21,2,0,1,14,33,2,0,0,0,0,0,49,0,3,0,15,0,5,0,406,0,0,0,0,1,5,0
2024-02-23,1518,16,0,0,0,0,3,4,6,0,0,1,1,8,7,0,0,0,14,0,2,0,64,10,0,2,0,151,4,1,0,0,181,3,0,0,0,1,0,19,1,2,51,0,74,0,0,0,1,0,37,0,0,2,2,0,1,6,0,0,1,62,0,0,41,0,0,1,11,0,0,1,3,0,0,5,0,0,1,0,2,0,0,0,0,0,2,3,0,1,3,6,0,1,0,72,2,0,9,0,0,11,1,11,0,0,8,0,0,6,1,28,3,0,0,12,23,2,0,0,0,0,0,52,0,4,0,22,0,4,0,408,2,0,0,1,11,6,0
2024-02-24,1765,8,2,0,0,0,2,8,7,0,1,0,3,7,5,0,0,0,16,0,0,0,87,13,0,0,0,98,1,0,0,1,175,0,1,1,0,0,0,21,0,3,63,0,50,0,0,0,0,1,33,0,0,3,2,41,2,13,0,0,1,68,0,0,57,0,0,2,12,0,0,1,1,0,0,5,0,0,0,0,1,0,0,0,2,0,3,2,0,1,2,2,0,1,1,72,1,0,6,0,1,6,0,11,0,0,7,0,0,5,3,24,2,0,0,13,43,1,0,0,0,0,0,60,0,5,0,36,1,5,0,617,1,0,0,0,9,6,0
2024-02-25,1406,15,1,0,0,0,3,3,7,0,1,0,3,2,3,0,0,0,14,0,0,0,76,8,0,0,0,91,1,0,0,2,170,4,0,1,0,2,0,27,0,2,70,0,58,0,0,0,0,0,20,0,0,3,1,15,1,6,1,2,0,95,0,0,34,0,0,1,10,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,4,0,1,1,56,4,0,7,0,0,5,0,11,0,0,9,0,0,6,2,21,2,0,0,23,17,0,0,0,0,0,0,50,0,3,0,29,0,4,0,385,0,1,0,0,2,3,0
2024-02-26,1359,15,1,0,0,0,8,3,8,0,1,0,1,8,3,0,0,0,7,0,1,0,76,14,0,0,0,79,0,0,0,0,154,3,0,1,0,0,1,21,0,1,66,0,61,0,0,0,0,0,14,0,3,3,4,3,0,12,0,3,0,75,0,0,38,0,0,2,11,0,0,2,0,0,0,1,2,1,0,0,2,0,0,0,1,0,1,1,0,0,1,2,0,1,0,63,3,0,8,0,0,7,0,7,0,0,6,0,0,7,1,29,3,0,1,23,20,0,0,0,0,0,0,54,0,4,0,14,0,4,0,382,0,0,0,0,5,2,0
2024-02-27,1566,11,0,0,0,0,4,6,18,0,0,0,0,5,2,0,0,0,12,0,0,0,60,10,0,2,0,115,1,0,0,2,165,2,0,1,0,0,0,19,0,3,54,0,62,0,0,0,0,4,26,0,1,1,5,11,1,14,1,2,0,82,0,0,51,0,0,1,12,0,0,0,1,0,1,4,0,1,0,0,2,0,0,0,0,1,2,3,0,0,1,6,0,1,1,50,9,0,11,0,1,6,1,3,0,0,7,0,0,6,1,17,4,0,0,17,28,2,0,0,0,1,0,40,0,6,0,19,0,5,0,531,0,0,0,0,5,6,0
2024-02-28,1324,9,2,0,0,1,7,6,8,0,0,0,3,2,4,0,0,0,12,0,0,0,69,11,0,3,0,67,0,0,0,1,155,2,0,1,3,0,0,12,0,3,54,0,77,0,0,0,0,1,38,0,2,2,3,0,2,5,0,0,0,73,0,0,15,0,0,2,12,0,0,0,2,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,7,3,0,1,0,57,5,0,9,0,0,6,1,11,0,0,5,0,0,4,1,18,0,0,0,31,19,0,1,0,0,0,0,49,0,2,0,20,1,3,0,388,0,0,0,0,5,3,0
2024-02-29,1601,7,1,0,0,0,8,3,9,0,1,0,1,6,3,0,0,0,7,0,0,0,84,10,0,2,0,100,1,0,0,0,154,3,1,1,0,0,0,19,0,5,63,0,82,0,0,0,0,1,61,0,0,1,1,22,5,7,0,0,0,72,0,0,44,0,0,3,18,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,2,0,2,0,0,0,3,3,0,1,0,58,6,0,8,0,0,5,2,10,0,0,3,0,0,10,1,21,2,0,1,12,41,0,0,0,0,0,0,41,0,3,0,19,0,2,0,522,0,0,0,0,6,6,0
