bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BR,BT,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,LA,LC,LT,LU,LV,MA,MD,MK,MM,MN,MO,MX,MY,NC,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RU,RW,SE,SG,SK,TG,TH,TN,TR,TW,UA,UG,US,VE,VN,ZA,ZW
2024-06-23T16,146,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,18,0,0,0,17,0,0,0,0,0,3,0,14,5,0,0,0,2,0,0,0,0,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,2,0,0,1,2,0,2,6,0,0,7,0,2,4,0,0,31,0,0,0,0
2024-06-23T17,200,2,0,0,1,0,0,0,0,0,1,0,0,3,2,0,0,15,0,0,0,26,0,0,0,0,0,3,0,8,6,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,7,1,1,0,0,0,0,4,0,0,1,2,0,2,6,0,0,3,0,2,1,0,0,81,0,0,0,0
2024-06-23T18,177,0,0,0,1,1,0,0,1,2,1,0,0,4,1,1,0,18,0,0,0,20,0,0,0,0,1,2,0,6,10,0,0,0,0,0,0,0,0,0,1,13,9,0,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,12,0,1,0,0,0,0,2,0,0,3,4,0,2,7,3,0,5,0,0,1,1,0,36,0,1,0,0
2024-06-23T19,168,1,0,0,1,1,0,0,1,0,1,0,0,7,1,1,0,16,0,0,0,27,0,0,0,0,0,4,0,7,11,0,0,0,2,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,3,0,1,2,1,1,2,6,0,0,3,0,1,0,0,0,32,1,1,0,0
2024-06-23T20,160,1,0,0,1,0,1,0,3,1,0,0,0,3,1,0,0,17,0,0,0,11,0,0,0,0,0,1,0,4,8,0,0,0,0,0,0,1,0,0,0,17,8,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,14,0,2,0,0,0,0,3,0,0,1,1,0,2,6,0,0,2,0,0,1,0,0,45,0,0,1,0
2024-06-23T21,149,2,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,21,0,0,0,18,0,0,1,0,0,1,0,7,14,0,0,0,1,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,0,0,0,0,2,0,0,0,0,1,1,6,0,0,1,0,0,0,0,0,36,0,0,1,0
2024-06-23T22,97,1,0,0,0,0,0,0,1,1,3,0,0,3,1,0,0,11,0,0,0,7,0,0,0,0,0,3,0,1,9,0,0,0,1,0,0,0,0,2,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,1,0,1,5,0,0,0,0,0,2,0,0,30,0,0,1,0
2024-06-23T23,113,3,1,2,0,1,0,0,0,0,1,0,0,7,0,0,0,13,0,0,0,5,0,0,0,0,0,1,0,2,4,0,1,0,0,0,2,0,0,2,0,4,5,0,2,0,0,1,0,0,0,0,0,0,1,1,0,2,0,4,0,1,0,0,0,0,0,0,1,0,4,0,1,5,0,0,1,0,1,1,0,0,30,0,3,0,0
2024-06-24T00,98,3,1,2,0,1,0,0,0,1,0,0,0,7,0,0,0,10,0,1,0,2,0,0,0,0,0,1,0,1,4,0,0,0,0,0,2,1,0,0,0,1,3,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,36,0,3,0,0
2024-06-24T01,66,0,0,1,0,1,0,0,0,1,2,0,0,8,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,27,0,0,0,0
