bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,EG,ES,ET,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KG,KH,KR,KZ,LA,LK,LT,LV,MA,ME,MK,MM,MN,MO,MX,MY,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RU,RW,SA,SE,SG,SK,SY,TH,TR,TW,UA,US,UZ,VN,ZA,ZW
2024-07-14T17,142,1,0,0,1,0,1,0,1,2,0,0,2,4,0,1,0,6,0,0,18,0,0,0,3,0,10,8,0,4,0,0,0,0,0,2,13,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,8,0,0,0,1,0,1,1,1,1,0,1,4,7,0,0,11,0,1,0,19,0,1,2,0
2024-07-14T18,131,3,0,0,0,0,0,0,1,2,0,0,1,5,1,1,0,7,0,0,18,0,0,0,4,0,6,8,0,0,0,0,0,0,0,0,8,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,3,0,3,2,0,0,2,5,0,0,8,0,0,0,28,1,0,0,0
2024-07-14T19,113,1,0,0,0,0,0,0,1,0,2,0,1,6,1,0,0,6,0,0,10,0,0,0,0,0,10,8,0,3,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,0,0,0,2,0,1,2,0,0,0,6,0,0,9,0,0,1,21,1,0,1,0
2024-07-14T20,115,3,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,4,0,0,14,1,0,0,0,0,12,5,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,10,0,0,0,1,0,2,0,0,0,0,0,0,6,0,0,3,0,1,0,28,0,0,0,0
2024-07-14T21,96,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,7,0,0,9,0,0,0,1,0,5,6,0,1,0,0,0,1,0,0,14,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,1,0,3,1,0,0,1,6,0,0,1,0,0,0,20,0,0,0,0
2024-07-14T22,90,2,0,0,0,0,0,0,2,0,1,0,1,4,2,0,0,8,0,0,9,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,0,1,28,0,0,0,0
2024-07-14T23,88,2,0,0,0,0,0,0,1,0,1,0,0,7,0,1,0,9,0,0,7,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,1,0,0,1,37,0,0,0,0
2024-07-15T00,74,1,0,1,0,0,0,0,1,1,0,0,2,3,0,0,0,6,0,0,6,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,34,0,0,0,0
2024-07-15T01,73,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,5,0,0,4,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,43,0,0,0,0
2024-07-15T02,96,0,0,0,0,1,0,0,1,0,2,0,1,9,0,0,0,8,0,0,6,0,0,0,0,0,2,2,0,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,40,0,1,0,0
2024-07-15T03,108,1,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,16,0,0,6,0,0,0,0,0,2,3,0,0,0,1,7,0,7,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,2,0,0,6,0,0,2,0,0,0,31,0,2,0,0
2024-07-15T04,79,1,0,1,0,0,0,0,3,0,0,0,0,3,0,0,1,7,0,0,4,0,0,0,0,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,5,0,0,3,0,0,0,36,0,1,0,0
2024-07-15T05,98,1,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,25,0,0,8,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,1,0,0,0,34,0,0,0,0
2024-07-15T06,69,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,6,0,0,6,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,35,0,0,0,0
2024-07-15T07,81,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,6,0,0,8,0,0,0,1,0,2,2,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,5,0,0,3,0,0,0,37,0,0,2,0
2024-07-15T08,79,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,5,0,0,15,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,1,1,0,0,0,5,0,0,5,0,0,0,28,0,0,0,0
2024-07-15T09,88,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,0,6,0,0,10,0,0,0,0,0,7,4,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,9,0,0,5,0,0,0,28,0,0,0,0
2024-07-15T10,94,1,0,0,0,0,0,0,2,0,1,0,1,3,0,0,0,10,0,0,8,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,2,0,2,3,0,0,0,6,0,0,4,0,0,0,28,0,0,0,0
2024-07-15T11,92,1,0,0,0,2,0,0,3,0,0,0,1,3,0,0,0,11,0,0,7,0,0,1,1,0,1,2,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,1,1,0,1,0,0,0,1,1,0,0,1,7,0,0,2,0,3,0,26,0,0,0,0
