bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KH,KR,KW,KZ,LA,LT,LU,LV,MA,MC,MD,MK,ML,MM,MN,MO,MT,MU,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RO,RS,RU,RW,SA,SE,SG,SI,SO,SY,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2024-02-04T00,109,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,8,0,0,1,0,0,0,2,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,8,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,5,0,0,0,0,0,3,1,0,40,0,0,0,0,0
2024-02-04T01,102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,10,0,1,0,0,0,0,3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,2,2,0,0,1,0,0,2,5,0,0,0,2,0,3,1,0,29,0,0,0,0,0
2024-02-04T02,130,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,5,0,0,4,0,0,0,10,0,1,0,0,0,1,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,5,0,0,0,1,0,3,0,0,49,0,0,0,0,0
2024-02-04T03,89,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,2,0,0,35,0,0,0,0,0
2024-02-04T04,85,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,1,0,0,0,5,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,41,0,0,0,0,0
2024-02-04T05,113,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0,2,9,0,0,0,0,0,3,0,0,50,0,0,0,1,0
2024-02-04T06,121,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,7,1,0,0,0,7,1,0,0,0,19,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,2,0,1,0,0,3,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,3,0,0,2,5,0,0,0,1,0,0,1,0,39,0,0,0,0,0
2024-02-04T07,99,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,0,6,1,0,0,0,9,1,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,1,0,1,0,0,4,0,9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,5,0,0,0,4,0,0,0,0,26,0,0,0,0,0
2024-02-04T08,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,1,0,0,4,3,0,1,0,0,0,0,0,0,0,0,1,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,12,0,0,0,1,0,2,0,0,41,0,0,0,0,0
2024-02-04T09,97,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,4,0,0,0,0,1,6,0,0,0,4,0,2,0,0,29,0,0,0,0,0
2024-02-04T10,101,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,0,5,0,0,0,1,19,0,0,0,0,0,0,1,0,0,6,8,0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,4,0,1,0,0,2,5,0,0,0,4,0,1,0,0,17,0,0,0,0,0
2024-02-04T11,138,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,3,0,0,1,1,0,0,0,5,0,0,0,0,13,1,0,0,0,0,0,1,0,2,2,7,0,0,0,0,0,0,0,0,0,0,1,1,5,10,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,10,0,0,0,5,0,1,0,0,44,0,0,0,0,0
2024-02-04T12,152,1,0,0,0,1,3,2,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,5,1,0,0,0,17,1,0,0,0,0,0,0,0,1,1,8,0,0,1,0,0,0,1,0,0,0,0,0,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,2,0,1,0,5,0,0,5,10,0,0,0,11,0,1,0,0,53,0,0,0,0,1
2024-02-04T13,145,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,2,3,0,0,0,10,0,0,0,0,30,0,0,0,0,1,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,0,2,0,2,0,3,0,0,6,6,0,0,0,4,2,3,0,0,29,0,0,0,0,0
2024-02-04T14,155,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,6,1,0,0,0,6,0,0,0,0,21,0,0,0,0,2,0,0,0,0,11,9,0,0,2,0,0,0,0,0,2,0,0,0,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,1,0,2,0,2,0,5,0,0,3,13,0,0,0,4,1,6,0,0,29,0,0,0,0,0
2024-02-04T15,188,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,5,3,0,0,0,9,0,0,0,0,28,0,0,0,0,0,0,3,0,0,8,11,0,0,1,0,1,0,0,1,1,0,1,0,9,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,3,0,2,0,3,0,0,3,5,0,0,0,12,0,4,0,0,49,0,0,0,0,0
