bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LK,LT,LV,MD,ME,MK,MM,MN,MO,MW,MX,MY,NE,NG,NL,NO,NP,NZ,PE,PH,PL,PT,PY,RO,RU,RW,SA,SE,SG,SN,SO,TH,TM,TN,TR,TW,TZ,UA,US,VN,ZA
2024-06-30T15,123,1,1,1,0,1,0,0,1,0,0,2,0,3,1,0,0,0,9,0,0,0,19,0,0,0,0,0,1,0,11,6,0,0,1,0,0,1,0,0,1,0,0,1,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,2,0,0,1,3,0,0,0,6,0,0,12,0,0,0,2,0,0,22,0,0
2024-06-30T16,133,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,15,0,0,0,19,0,0,0,0,0,2,0,8,7,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,1,0,1,0,0,0,1,2,0,0,0,5,0,0,15,0,0,0,0,0,0,22,0,0
2024-06-30T17,142,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,21,0,0,0,20,0,0,0,0,0,2,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,2,3,1,0,1,8,0,0,9,0,0,1,0,0,1,32,0,0
2024-06-30T18,182,0,0,1,1,0,0,0,2,0,0,2,0,2,0,0,0,0,29,1,0,0,29,0,0,0,0,0,5,0,4,9,0,0,3,0,0,1,0,0,1,0,0,0,11,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,2,1,0,0,0,1,1,0,7,0,0,7,0,0,3,0,0,1,40,1,0
2024-06-30T19,130,0,0,0,0,1,0,0,1,0,0,1,0,6,1,0,0,0,18,0,0,0,19,0,0,0,0,0,1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,1,0,0,0,0,0,3,5,0,0,5,0,0,2,0,0,0,25,0,0
2024-06-30T20,145,0,0,1,2,1,0,0,0,0,0,3,0,3,1,0,0,1,17,0,0,1,15,0,0,0,2,0,0,0,4,10,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,0,1,0,0,0,3,0,0,0,1,0,0,1,6,0,0,4,0,1,2,0,0,0,36,0,0
2024-06-30T21,130,0,0,0,0,0,0,1,2,0,0,2,0,1,1,0,0,0,16,0,0,0,14,0,0,0,2,1,1,0,2,6,0,1,1,0,0,0,1,0,1,0,0,0,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,0,0,1,1,0,0,1,7,0,0,5,0,1,2,0,0,0,35,0,0
2024-06-30T22,107,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,7,0,0,0,10,0,0,0,2,0,1,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,42,0,0
2024-06-30T23,85,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,1,0,1,0,0,7,0,0,1,0,0,0,0,0,0,36,1,0
2024-07-01T00,84,0,0,0,0,1,0,0,0,0,0,3,0,7,0,0,0,0,9,0,0,0,3,0,0,0,0,0,1,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,33,0,0
