bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,EE,EG,ES,FI,FR,GB,GE,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LK,LT,LV,MD,ME,MK,MN,MO,MT,MU,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SI,SY,TH,TN,TR,TW,UA,US,UY,VE,VN,ZA
2024-07-28T14,128,2,0,0,1,1,1,0,0,1,1,0,0,1,1,3,0,0,4,0,0,0,16,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,2,6,0,0,15,0,1,1,0,32,0,0,0,0
2024-07-28T15,125,1,0,0,0,1,0,0,0,1,0,0,0,1,2,7,0,0,7,0,0,0,13,0,0,0,0,1,2,12,7,0,0,4,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,2,6,0,0,17,0,0,1,0,20,0,0,0,0
2024-07-28T16,160,1,0,0,0,2,0,0,0,1,0,0,0,1,0,6,1,0,5,0,0,0,20,0,0,0,0,2,0,15,9,0,0,2,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,1,0,3,0,0,2,6,0,0,14,0,0,1,1,35,0,0,2,0
2024-07-28T17,142,2,0,0,0,0,0,0,0,1,2,0,0,2,2,4,0,0,3,0,0,0,19,0,0,0,0,1,0,8,8,0,0,1,0,0,1,0,1,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,4,5,0,0,10,0,3,0,0,34,0,0,0,0
2024-07-28T18,131,2,0,0,0,0,0,0,0,1,1,0,0,2,2,7,1,0,2,0,0,1,16,0,0,0,0,3,0,6,13,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,1,1,0,0,0,3,0,0,1,0,2,0,1,0,0,5,7,0,0,6,0,1,0,1,29,0,0,0,0
2024-07-28T19,145,3,0,0,0,0,0,0,0,1,1,0,0,1,0,8,1,0,2,0,0,0,18,0,0,0,0,1,1,8,10,0,0,1,0,0,0,1,0,0,1,0,1,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13,2,0,0,0,0,3,0,0,0,0,4,0,2,0,0,2,7,0,0,9,0,0,0,0,28,0,0,1,0
2024-07-28T20,143,2,0,0,0,0,0,0,1,1,0,0,0,2,0,7,1,0,6,0,0,0,16,0,0,0,0,3,0,5,9,0,0,1,0,0,0,1,0,0,0,0,1,0,21,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,2,8,0,0,6,0,2,0,0,29,0,0,1,1
2024-07-28T21,133,5,0,0,1,0,0,0,1,1,0,0,0,1,0,9,1,0,7,0,0,0,11,0,0,0,0,1,0,6,9,0,0,2,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,2,0,3,0,0,0,0,1,6,0,0,6,0,2,0,0,33,0,0,0,1
2024-07-28T22,94,1,0,0,1,0,0,0,0,1,1,1,0,0,0,4,1,0,2,0,0,0,10,0,0,0,0,2,2,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,0,0,5,0,0,0,0,23,0,0,0,0
2024-07-28T23,101,2,0,0,1,0,0,0,0,1,0,0,0,0,0,9,1,2,6,0,0,0,10,0,0,0,0,1,1,1,9,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,5,0,0,1,0,0,0,0,35,0,0,0,1
2024-07-29T00,74,1,1,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,6,0,0,0,4,0,0,0,0,1,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,28,0,0,0,0
2024-07-29T01,77,2,0,0,1,0,1,0,0,1,0,1,0,0,0,6,0,0,2,0,0,0,5,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0,0,1,0,0,2,0,35,0,0,0,0
2024-07-29T02,82,2,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,0,5,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,38,0,0,0,1
