bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CU,CW,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GA,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KG,KH,KN,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MM,MN,MO,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RU,RW,SA,SE,SG,SK,SZ,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZW
2024-03-24T00,125,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,2,0,0,3,0,9,0,0,1,0,0,1,0,0,1,0,0,1,6,7,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,4,0,0,0,0,0,0,2,0,0,0,4,2,0,0,1,7,0,1,1,0,0,0,0,36,0,0,1,0,1,0
2024-03-24T01,80,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,2,1,0,0,0,6,0,1,0,0,0,2,1,29,0,0,0,0,0,0
2024-03-24T02,115,5,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,10,1,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,4,0,1,0,0,0,13,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,0,0,1,1,35,0,0,0,0,1,0
2024-03-24T03,107,1,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,13,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1,0,0,0,13,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,5,0,1,0,0,0,4,0,29,0,0,0,0,0,0
2024-03-24T04,94,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,13,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,5,0,1,1,0,0,3,0,29,0,0,0,1,1,0
2024-03-24T05,75,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,6,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,1,1,0,0,3,0,29,0,0,0,0,0,0
2024-03-24T06,74,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,5,0,0,0,6,0,0,0,0,5,1,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,6,0,1,1,0,0,2,0,25,0,0,0,1,0,0
2024-03-24T07,91,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3,0,0,0,10,1,0,0,0,8,1,0,0,0,4,0,1,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,1,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,7,0,1,1,0,1,1,0,19,0,0,0,2,0,0
2024-03-24T08,111,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,0,0,0,7,1,0,0,0,8,0,0,0,0,3,0,0,0,1,2,0,3,0,0,2,0,0,0,9,0,0,0,1,0,4,4,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,8,0,1,1,0,1,6,0,24,1,0,0,1,1,0
2024-03-24T09,99,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,8,0,0,0,0,11,0,0,0,0,0,0,2,0,0,2,0,5,1,0,2,0,0,0,7,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,2,0,1,0,4,5,0,1,3,0,0,3,0,17,0,0,0,1,0,0
2024-03-24T10,114,3,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,2,1,0,0,7,0,0,0,1,13,0,0,0,0,0,0,1,0,1,6,0,5,1,0,1,0,0,1,1,0,3,0,0,0,7,6,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,2,0,0,0,2,4,0,0,0,8,0,1,3,0,0,2,1,16,0,0,0,0,0,0
2024-03-24T11,121,3,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,1,0,0,9,0,0,0,0,11,0,0,0,0,0,0,2,0,0,6,0,6,1,0,0,0,0,2,2,0,2,0,0,0,9,6,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,8,0,1,2,0,1,6,0,20,0,0,0,0,1,0
2024-03-24T12,115,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,2,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,1,0,0,7,0,8,0,0,0,0,0,0,1,0,0,0,1,0,2,6,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,1,1,0,0,3,2,0,0,1,6,0,1,5,0,1,7,0,19,0,0,0,0,0,0
2024-03-24T13,155,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,10,0,0,0,0,18,0,0,0,0,0,0,2,0,0,12,0,7,0,0,1,0,1,0,23,0,0,0,0,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,3,1,0,0,2,1,0,0,1,5,0,1,12,0,1,5,0,21,0,0,0,1,0,0
2024-03-24T14,157,1,0,0,0,0,1,1,0,0,0,1,3,0,1,0,0,4,0,0,0,8,0,0,0,0,21,0,0,0,0,2,0,1,0,0,6,0,8,0,0,2,0,0,0,5,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,3,1,0,0,3,1,0,0,4,5,0,1,12,0,0,6,1,30,0,0,0,1,0,0
2024-03-24T15,212,2,0,0,0,1,1,1,0,0,0,1,4,0,0,0,0,12,2,0,0,10,0,0,0,0,29,0,0,0,0,1,0,1,0,0,9,0,10,0,0,3,0,1,0,0,1,0,0,1,0,10,9,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,1,1,0,0,7,2,0,0,2,9,0,1,20,0,2,6,1,34,0,0,0,2,0,0
2024-03-24T16,200,2,0,0,0,1,1,2,0,0,0,2,5,0,1,0,0,6,2,0,0,7,0,0,0,1,23,0,0,0,0,0,0,2,0,0,16,0,10,0,0,0,0,1,0,2,0,0,0,1,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,4,1,0,0,5,2,0,0,3,8,0,1,15,0,2,7,4,33,0,0,0,2,1,0
2024-03-24T17,193,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,8,0,0,0,5,0,0,0,1,24,0,0,0,0,0,0,5,0,0,19,0,11,0,1,1,0,1,0,1,0,1,0,0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,1,0,2,0,0,0,5,2,0,0,2,5,0,1,17,0,1,4,0,37,0,0,0,0,0,0
2024-03-24T18,165,2,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,6,1,0,0,6,0,0,0,1,21,0,0,0,0,0,0,3,0,0,11,0,10,0,0,0,0,1,0,0,0,0,0,0,0,9,3,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,8,0,0,0,1,1,0,2,1,0,0,6,2,1,0,3,6,0,0,8,0,1,3,1,32,0,0,0,1,0,0
2024-03-24T19,202,2,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,5,2,1,0,7,0,0,0,0,33,0,0,0,0,0,0,6,0,0,9,1,14,0,0,3,0,1,2,0,0,2,0,1,0,9,13,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0,0,1,0,1,0,2,1,0,0,6,1,0,0,5,6,0,0,10,1,1,1,0,30,0,0,0,1,0,0
2024-03-24T20,186,2,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,7,1,0,0,6,0,0,0,0,27,0,0,0,0,0,0,4,0,1,11,0,12,0,0,0,0,1,2,1,0,3,0,0,0,16,11,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,17,0,0,0,0,0,0,2,0,0,0,3,2,0,0,5,6,0,0,2,1,1,1,0,28,0,0,0,0,0,0
2024-03-24T21,175,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,6,2,0,0,7,0,0,0,0,24,0,0,0,0,0,0,1,0,0,4,0,13,0,0,0,0,1,0,8,0,2,0,0,0,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,0,2,3,0,0,4,1,0,0,5,5,0,0,5,0,0,1,0,36,0,0,0,0,1,0
2024-03-24T22,146,2,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,5,1,1,0,4,0,0,0,0,13,0,0,0,0,0,0,3,0,0,9,0,11,0,0,1,0,0,0,0,1,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,3,0,0,2,2,0,0,1,5,0,0,2,0,0,0,0,37,0,0,0,0,0,0
2024-03-24T23,104,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,9,1,0,0,7,0,0,0,0,10,1,0,0,0,0,0,1,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,0,0,2,1,0,0,1,5,0,0,4,0,0,0,0,25,0,0,0,0,0,0
2024-03-25T00,97,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,7,2,0,0,5,0,0,0,0,7,1,0,0,0,0,0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,5,0,0,1,0,0,0,0,39,0,0,0,1,0,0
2024-03-25T01,161,4,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,19,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,6,0,0,0,1,6,0,0,1,0,0,0,0,84,0,0,0,0,0,0
2024-03-25T02,145,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,1,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,0,1,6,0,0,0,0,0,0,1,71,0,0,1,0,0,0
2024-03-25T03,128,2,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,9,0,0,0,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,2,1,0,0,1,6,0,0,1,0,0,0,1,49,0,0,0,0,0,0
2024-03-25T04,155,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,1,0,9,2,0,0,0,8,0,1,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,1,0,0,4,0,0,0,0,24,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,7,0,0,2,0,0,2,0,65,0,0,0,0,0,0
2024-03-25T05,158,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,1,1,0,11,2,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,6,0,0,2,0,0,1,0,0,0,0,0,0,0,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,6,0,0,1,0,0,2,0,67,0,0,0,0,0,0
2024-03-25T06,103,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,12,0,1,0,0,0,1,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,5,0,0,2,0,1,0,0,34,0,0,0,0,0,0
2024-03-25T07,90,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,6,0,0,0,0,0,1,0,43,0,0,0,0,0,0
2024-03-25T08,95,1,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,1,1,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,3,1,0,0,0,5,0,0,1,0,0,0,0,35,0,0,0,1,1,0
2024-03-25T09,92,2,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,6,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,1,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,5,0,0,1,0,0,2,0,31,0,0,0,0,0,0
2024-03-25T10,167,2,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,1,0,0,1,0,0,3,0,9,0,0,3,0,0,0,25,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,3,0,0,0,3,2,0,0,2,8,0,0,5,0,0,2,0,50,0,0,0,1,0,0
